Feature ID,Segment Identifier,Assessment Year,Tool Type,Upstream Reference Girth Weld,Distance to Upstream Girth Weld,Absolute Distance,Distance to Downstream Girth Weld,Feature Type,Feature Identification,Surface Location,Comment,Feature Orientation,Peak Depth of Corrosion or Crack Anomaly,Peak Depth of Dent Anomaly,Length of Anomaly,Width of Anomaly,Psafe,Pburst,Pburst/MAOP,Half Life Corrosion Growth Rate,Bend Radius,Long Seam Orientation,Feature Milepost,HCA,MAOP,Pipe O.D.,Pipe Wall Thickness,SMYS,100% SMYS,Maximum Operating Stress,Safety Factor for Original DOT Design Class Location,Installation Year,"Actual Tool Speed",Maximum Allowable Tool Speed,"ILI Vendor","Tool Run Date","Distance from Upstream Girth Weld to Upstream Reference","Distance from Upstream Girth Weld to Downstream Reference","Upstream Reference Description",Downstream Reference Description,Latitude,Longitude,Z Coordinate
16030,Greenville to Peters II,2015,GMFL,16030,39.73,57272.4,39.75,COMP,Girth weld,,Girth Weld - 16030,,,,,,,,,,,,10.85,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.40,,T.D. Williamson,4/29/2015,5980.8,4573.9,AGM 12,Valve,38.79144099,-89.58703940,529.3
16030,Greenville to Peters II,2015,GMFL,16030,6.44,57278.8,33.31,ANOM,Corrosion Cluster,EXT,Metal Loss,5:15,10,,1.2,0.5,1406.5,2122.0,2.50,0.0025,,,10.85,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.20,6.80,T.D. Williamson,4/29/2015,6020.5,4534.2,AGM 12,Valve,38.79142743,-89.58705421,529.3
16030,Greenville to Peters II,2015,GMFL,16030,15.40,57287.8,24.35,ANOM,Corrosion Cluster,EXT,Metal Loss,7:45,6,,0.9,0.5,1406.5,2138.2,2.52,0.0015,,,10.85,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.40,6.80,T.D. Williamson,4/29/2015,6020.5,4534.2,AGM 12,Valve,38.79140872,-89.58707457,529.2
16040,Greenville to Peters II,2015,GMFL,16040,39.75,57312.1,39.75,COMP,Girth weld,,Girth Weld - 16040,,,,,,,,,,,,10.85,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,6020.5,4534.2,AGM 12,Valve,38.79135791,-89.58712992,529.1
16050,Greenville to Peters II,2015,GMFL,16050,39.75,57351.9,39.68,COMP,Girth weld,,Girth Weld - 16050,,,,,,,,,,,,10.86,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,6060.3,4494.5,AGM 12,Valve,38.79127500,-89.58722069,529.3
16060,Greenville to Peters II,2015,GMFL,16060,39.68,57391.5,39.73,COMP,Girth weld,,Girth Weld - 16060,,,,,,,,,,,,10.87,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.00,,T.D. Williamson,4/29/2015,6100.1,4454.7,AGM 12,Valve,38.79119246,-89.58731163,529.4
16070,Greenville to Peters II,2015,GMFL,16070,39.73,57431.3,39.70,COMP,Girth weld,,Girth Weld - 16070,,,,,,,,,,,,10.88,,850,10.75,0.250,42000,1407,60.43,0.72,0,4.80,,T.D. Williamson,4/29/2015,6139.7,4415.0,AGM 12,Valve,38.79110972,-89.58740256,529.5
16080,Greenville to Peters II,2015,GMFL,16080,39.70,57471.0,39.69,COMP,Girth weld,,Girth Weld - 16080,,,,,,,,,,,,10.88,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.10,,T.D. Williamson,4/29/2015,6179.5,4375.3,AGM 12,Valve,38.79102700,-89.58749333,529.5
16090,Greenville to Peters II,2015,GMFL,16090,39.69,57510.7,39.76,COMP,Girth weld,,Girth Weld - 16090,,,,,,,,,,,,10.89,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.20,,T.D. Williamson,4/29/2015,6219.2,4335.6,AGM 12,Valve,38.79094394,-89.58758356,529.7
16100,Greenville to Peters II,2015,GMFL,16100,39.76,57550.4,39.79,COMP,Girth weld,,Girth Weld - 16100,,,,,,,,,,,,10.90,,850,10.75,0.250,42000,1407,60.43,0.72,0,5.10,,T.D. Williamson,4/29/2015,6258.9,4295.9,AGM 12,Valve,38.79086126,-89.58767472,530.0
