blanks
35,200,41.55,41.66,41.55,309.88,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67205552,-118.01855242,33.58,,,,,
36,210,41.56,41.55,41.56,351.43,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67198451,-118.01844884,33.61,,,,,
37,220,41.47,41.56,41.47,392.98,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67192137,-118.01833934,33.27,,,,,
38,220,41.47,0.39,41.08,393.38,Metal Loss,Internal,24,0.067,0.9,0.5,05:54,Manufacturing Related,ERW,0.280,X35,8.625,715,,0.348,2056,2856,33.67192078,-118.01833819,33.27,,,,,
39,220,41.47,11.09,30.39,404.07,Metal Loss,Internal,13,0.036,0.7,0.4,06:21,Manufacturing Related,ERW,0.280,X35,8.625,715,,0.342,2090,2903,33.67190575,-118.01830897,33.05,,,,,
40,230,41.47,41.47,41.47,434.45,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67186476,-118.01822479,32.33,,,,,
41,240,36.95,41.47,36.95,475.93,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67180541,-118.01811238,31.32,,,,,
42,250,3.25,36.95,3.25,512.88,Girth Weld,,,,,,,,Elbow,,,8.625,715,,,,,33.67174407,-118.01801942,30.14,,,,,
43,250,3.25,1.57,1.68,514.45,Bend,,,,,,08:57,90° 3D Left Forged Bend,Elbow,,,8.625,715,,,,,33.67174242,-118.01801494,30.03,,,,,
44,260,41.58,3.25,41.58,516.13,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67174369,-118.01800991,29.84,,,,,
45,270,41.34,41.58,41.34,557.72,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67182421,-118.01791805,28.20,,,,,
46,270,41.34,9.40,31.94,567.11,Bend,,,,,,00:04,6° 79D Sag Cold Bend,ERW,0.280,X35,8.625,715,,,,,33.67184240,-118.01789714,28.46,,,,,
47,270,41.34,33.30,8.04,591.02,Bend,,,,,,06:36,10° 97.2D Over Cold Bend,ERW,0.280,X35,8.625,715,,,,,33.67188740,-118.01784397,32.54,,,,,
48,280,41.45,41.34,41.45,599.05,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67190256,-118.01782543,32.85,,,,,
49,290,41.20,41.45,41.20,640.50,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67197713,-118.01772695,33.06,,,,,
50,300,41.70,41.20,41.70,681.70,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67204685,-118.01762417,32.78,,,,,
51,310,41.64,41.70,41.64,723.40,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67211316,-118.01751655,32.67,,,,,
52,320,41.64,41.64,41.64,765.04,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67217189,-118.01740335,32.79,,,,,
53,330,41.26,41.64,41.26,806.68,Girth Weld,,,,,,,,ERW,0.280,X35,8.625,715,,,,,33.67222361,-118.01728473,32.45,,,,,
