BHIIdentifier,PipelineFeature,INTEXTIDOD,Odometerft,DistancetoNextPipelineFeatureft,WTin,PipeGradepsi,PipeDescription,PipeDiameterin,MOPpsi,Depth,Depthin,Lengthin,Widthin,OClockOrientationhhmm,mB31GBurstpsi,ERF,EffDepth,EffLengthin,EffAreaBurstpsi,UpstreamUSReferenceName,DistanceToUSft,DownstreamDSReferenceName,DistanceFromDSReferenceft,DistancetoUSWeldft,DistancetoDSWeldft,Length2ndUSJointft,LengthUSJointft,LengthDefectJointft,DefectJointNumber,LengthDSJointft,Length2ndDSJointft,XYZInformationNAD83Latitude,XYZInformationNAD83Longitude,XYZInformationNAVD88Elevationft,Comments
GWD 23440,Girth Weld,,113578.35,23.27,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,1853.08,AGM 39,798.05,20.91,23.27,41.65,20.91,23.27,23440,29.68,30.60,33.8874305,-118.1152378,79.57,
GWD 23450,Girth Weld,,113601.62,29.68,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,1876.35,AGM 39,774.78,23.27,29.68,20.91,23.27,29.68,23450,30.60,31.11,33.8874298,-118.1153138,79.35,
GWD 23460,Girth Weld,,113631.31,30.60,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,1906.03,AGM 39,745.10,29.68,30.60,23.27,29.68,30.60,23460,31.11,33.90,33.8874290,-118.1154108,79.49,
GWD 23470,Girth Weld,,113661.91,31.11,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,1936.63,AGM 39,714.50,30.60,31.11,29.68,30.60,31.11,23470,33.90,33.32,33.8874277,-118.1155108,79.56,
GWD 23480,Girth Weld,,113693.01,33.90,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,1967.74,AGM 39,683.39,31.11,33.90,30.60,31.11,33.90,23480,33.32,29.38,33.8874265,-118.1156124,79.45,
GWD 23490,Girth Weld,,113726.92,33.32,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2001.64,AGM 39,649.49,33.90,33.32,31.11,33.90,33.32,23490,29.38,26.90,33.8874252,-118.1157232,79.07,
GWD 23500,Girth Weld,,113760.23,29.38,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2034.96,AGM 39,616.17,33.32,29.38,33.90,33.32,29.38,23500,26.90,42.53,33.8874239,-118.1158321,78.60,
GWD 23510,Girth Weld,,113789.62,26.90,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2064.34,AGM 39,586.79,29.38,26.90,33.32,29.38,26.90,23510,42.53,42.72,33.8874226,-118.1159281,78.28,
GWD 23520,Girth Weld,,113816.52,42.53,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2091.24,AGM 39,559.89,26.90,42.53,29.38,26.90,42.53,23520,42.72,42.99,33.8874215,-118.1160160,77.97,
GWD 23530,Girth Weld,,113859.05,42.72,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2133.78,AGM 39,517.35,42.53,42.72,26.90,42.53,42.72,23530,42.99,43.76,33.8874197,-118.1161550,77.23,
GWD 23540,Girth Weld,,113901.77,42.99,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2176.50,AGM 39,474.63,42.72,42.99,42.53,42.72,42.99,23540,43.76,40.13,33.8874179,-118.1162946,76.31,
GWD 23550,Girth Weld,,113944.76,43.76,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2219.49,AGM 39,431.64,42.99,43.76,42.72,42.99,43.76,23550,40.13,42.35,33.8874161,-118.1164350,75.33,
GWD 23560,Girth Weld,,113988.52,40.13,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2263.24,AGM 39,387.88,43.76,40.13,42.99,43.76,40.13,23560,42.35,25.55,33.8874142,-118.1165780,74.81,
GWD 23570,Girth Weld,,114028.66,42.35,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2303.38,AGM 39,347.75,40.13,42.35,43.76,40.13,42.35,23570,25.55,19.44,33.8874125,-118.1167092,74.10,
GWD 23580,Girth Weld,,114071.01,25.55,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2345.73,AGM 39,305.40,42.35,25.55,40.13,42.35,25.55,23580,19.44,40.32,33.8874103,-118.1168475,72.91,
GWD 23590,Girth Weld,,114096.56,19.44,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2371.29,AGM 39,279.84,25.55,19.44,42.35,25.55,19.44,23590,40.32,41.03,33.8874089,-118.1169310,71.83,
GWD 23600,Girth Weld,,114116.00,40.32,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2390.73,AGM 39,260.40,19.44,40.32,25.55,19.44,40.32,23600,41.03,20.71,33.8874080,-118.1169945,71.22,
GWD 23610,Girth Weld,,114156.32,41.03,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2431.05,AGM 39,220.08,40.32,41.03,19.44,40.32,41.03,23610,20.71,3.31,33.8874067,-118.1171262,69.78,
GWD 23620,Girth Weld,,114197.35,20.71,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2472.07,AGM 39,179.06,41.03,20.71,40.32,41.03,20.71,23620,3.31,41.89,33.8874047,-118.1172603,68.92,
GWD 23630,Girth Weld,,114218.05,1.93,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2492.78,AGM 39,158.35,20.71,3.31,41.03,20.71,3.31,23630,41.89,42.63,33.8874032,-118.1173279,68.58,
BND 196,Bend,,114219.99,1.38,0.188,35000,SMLS,8.625,680,,,42.554,,,,,,,,Valve 203,2494.71,AGM 39,156.42,1.93,1.38,41.03,20.71,3.31,23630,41.89,42.63,33.8874047,-118.1173338,68.59,3.0D 90.4 deg right turn sag bend
GWD 23640,Girth Weld,,114221.36,41.89,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2496.09,AGM 39,155.04,3.31,41.89,20.71,3.31,41.89,23640,42.63,34.92,33.8874079,-118.1173361,68.66,
GWD 23650,Girth Weld,,114263.25,42.63,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2537.98,AGM 39,113.15,41.89,42.63,3.31,41.89,42.63,23650,34.92,40.11,33.8875218,-118.1173381,70.75,
GWD 23660,Girth Weld,,114305.88,34.92,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2580.61,AGM 39,70.52,42.63,34.92,41.89,42.63,34.92,23660,40.11,39.25,33.8876379,-118.1173400,71.30,
GWD 23670,Girth Weld,,114340.81,35.60,0.188,35000,SMLS,8.625,680,,,,,,,,,,,Valve 203,2615.53,AGM 39,35.60,34.92,40.11,42.63,34.92,40.11,23670,39.25,42.62,33.8877331,-118.1173413,71.61,
MRK 17,Marker,,114376.40,4.51,0.188,35000,SMLS,8.625,680,,,,,11:39,,,,,,Valve 203,2651.13,AGM 40,2406.00,35.60,4.51,42.63,34.92,40.11,23670,39.25,42.62,33.8878301,-118.1173426,71.19,AGM 39 24' West of Curb - 5' East of C/L Woodruff AVE
GWD 23680,Girth Weld,,114380.91,39.25,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,4.51,AGM 40,2401.50,40.11,39.25,34.92,40.11,39.25,23680,42.62,40.49,33.8878425,-118.1173424,71.17,
GWD 23690,Girth Weld,,114420.16,42.62,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,43.75,AGM 40,2362.25,39.25,42.62,40.11,39.25,42.62,23690,40.49,43.05,33.8879502,-118.1173414,71.37,
GWD 23700,Girth Weld,,114462.78,40.49,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,86.37,AGM 40,2319.63,42.62,40.49,39.25,42.62,40.49,23700,43.05,41.87,33.8880673,-118.1173397,71.35,
GWD 23710,Girth Weld,,114503.26,43.05,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,126.86,AGM 40,2279.14,40.49,43.05,42.62,40.49,43.05,23710,41.87,42.84,33.8881785,-118.1173384,71.33,
GWD 23720,Girth Weld,,114546.31,41.87,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,169.91,AGM 40,2236.10,43.05,41.87,40.49,43.05,41.87,23720,42.84,41.94,33.8882967,-118.1173376,71.45,
GWD 23730,Girth Weld,,114588.18,42.84,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,211.78,AGM 40,2194.23,41.87,42.84,43.05,41.87,42.84,23730,41.94,43.88,33.8884117,-118.1173367,71.72,
GWD 23740,Girth Weld,,114631.02,41.94,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,254.62,AGM 40,2151.38,42.84,41.94,41.87,42.84,41.94,23740,43.88,42.28,33.8885293,-118.1173363,72.25,
GWD 23750,Girth Weld,,114672.97,43.88,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,296.56,AGM 40,2109.44,41.94,43.88,42.84,41.94,43.88,23750,42.28,37.30,33.8886445,-118.1173360,72.46,
GWD 23760,Girth Weld,,114716.85,42.28,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,340.45,AGM 40,2065.56,43.88,42.28,41.94,43.88,42.28,23760,37.30,42.69,33.8887650,-118.1173358,72.79,
GWD 23770,Girth Weld,,114759.13,37.30,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,382.73,AGM 40,2023.27,42.28,37.30,43.88,42.28,37.30,23770,42.69,27.46,33.8888811,-118.1173358,72.68,
GWD 23780,Girth Weld,,114796.43,42.69,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,420.03,AGM 40,1985.98,37.30,42.69,42.28,37.30,42.69,23780,27.46,30.17,33.8889835,-118.1173357,72.76,
GWD 23790,Girth Weld,,114839.12,27.46,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,462.72,AGM 40,1943.28,42.69,27.46,37.30,42.69,27.46,23790,30.17,3.27,33.8891008,-118.1173358,72.39,
GWD 23800,Girth Weld,,114866.58,30.17,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,490.18,AGM 40,1915.83,27.46,30.17,42.69,27.46,30.17,23800,3.27,29.57,33.8891762,-118.1173360,72.31,
GWD 23810,Girth Weld,,114896.75,1.79,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,520.34,AGM 40,1885.66,30.17,3.27,27.46,30.17,3.27,23810,29.57,43.32,33.8892590,-118.1173356,72.26,
BND 197,Bend,,114898.54,1.48,0.188,35000,SMLS,8.625,680,,,38.439,,,,,,,,AGM 39,522.13,AGM 40,1883.87,1.79,1.48,27.46,30.17,3.27,23810,29.57,43.32,33.8892636,-118.1173375,72.22,3.0D 88.9 deg left turn bend
GWD 23820,Girth Weld,,114900.02,29.57,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,523.61,AGM 40,1882.39,3.27,29.57,30.17,3.27,29.57,23820,43.32,40.77,33.8892654,-118.1173417,72.19,
GWD 23830,Girth Weld,,114929.58,43.32,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,553.18,AGM 40,1852.83,29.57,43.32,3.27,29.57,43.32,23830,40.77,43.15,33.8892649,-118.1174391,71.94,
GWD 23840,Girth Weld,,114972.90,40.77,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,596.50,AGM 40,1809.51,43.32,40.77,29.57,43.32,40.77,23840,43.15,42.99,33.8892640,-118.1175817,72.81,
GWD 23850,Girth Weld,,115013.67,43.15,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,637.26,AGM 40,1768.74,40.77,43.15,43.32,40.77,43.15,23850,42.99,32.90,33.8892633,-118.1177158,74.09,
GWD 23860,Girth Weld,,115056.82,42.99,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,680.42,AGM 40,1725.59,43.15,42.99,40.77,43.15,42.99,23860,32.90,42.08,33.8892629,-118.1178579,74.50,
GWD 23870,Girth Weld,,115099.81,32.90,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,723.40,AGM 40,1682.60,42.99,32.90,43.15,42.99,32.90,23870,42.08,39.09,33.8892621,-118.1179994,74.69,
GWD 23880,Girth Weld,,115132.70,42.08,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,756.30,AGM 40,1649.70,32.90,42.08,42.99,32.90,42.08,23880,39.09,39.21,33.8892615,-118.1181078,74.65,
GWD 23890,Girth Weld,,115174.79,39.09,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,798.38,AGM 40,1607.62,42.08,39.09,32.90,42.08,39.09,23890,39.21,42.35,33.8892606,-118.1182463,75.08,
GWD 23900,Girth Weld,,115213.88,39.21,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,837.48,AGM 40,1568.53,39.09,39.21,42.08,39.09,39.21,23900,42.35,41.38,33.8892600,-118.1183751,74.93,
GWD 23910,Girth Weld,,115253.09,42.35,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,876.68,AGM 40,1529.32,39.21,42.35,39.09,39.21,42.35,23910,41.38,26.51,33.8892590,-118.1185042,74.73,
GWD 23920,Girth Weld,,115295.44,41.38,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,919.04,AGM 40,1486.97,42.35,41.38,39.21,42.35,41.38,23920,26.51,1.41,33.8892580,-118.1186436,74.75,
GWD 23930,Girth Weld,,115336.82,26.51,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,960.42,AGM 40,1445.59,41.38,26.51,42.35,41.38,26.51,23930,1.41,5.75,33.8892568,-118.1187799,74.20,
GWD 23940,Girth Weld,,115363.33,1.41,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,986.92,AGM 40,1419.08,26.51,1.41,41.38,26.51,1.41,23940,5.75,8.10,33.8892563,-118.1188672,74.33,
GWD 23950,Girth Weld,,115364.74,5.75,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,988.33,AGM 40,1417.67,1.41,5.75,26.51,1.41,5.75,23950,8.10,40.30,33.8892562,-118.1188718,74.35,
GWD 23960,Girth Weld,,115370.49,8.10,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,994.08,AGM 40,1411.92,5.75,8.10,1.41,5.75,8.10,23960,40.30,43.35,33.8892562,-118.1188907,74.45,
GWD 23970,Girth Weld,,115378.59,40.30,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1002.18,AGM 40,1403.82,8.10,40.30,5.75,8.10,40.30,23970,43.35,41.63,33.8892560,-118.1189174,74.58,
GWD 23980,Girth Weld,,115418.89,43.35,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1042.48,AGM 40,1363.52,40.30,43.35,8.10,40.30,43.35,23980,41.63,40.38,33.8892546,-118.1190501,74.65,
GWD 23990,Girth Weld,,115462.23,41.63,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1085.83,AGM 40,1320.17,43.35,41.63,40.30,43.35,41.63,23990,40.38,42.75,33.8892530,-118.1191928,74.90,
GWD 24000,Girth Weld,,115503.86,40.38,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1127.46,AGM 40,1278.54,41.63,40.38,43.35,41.63,40.38,24000,42.75,42.81,33.8892525,-118.1193299,74.99,
GWD 24010,Girth Weld,,115544.25,42.75,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1167.84,AGM 40,1238.16,40.38,42.75,41.63,40.38,42.75,24010,42.81,42.12,33.8892512,-118.1194629,75.28,
GWD 24020,Girth Weld,,115587.00,42.81,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1210.60,AGM 40,1195.41,42.75,42.81,40.38,42.75,42.81,24020,42.12,43.82,33.8892494,-118.1196036,74.32,
GWD 24030,Girth Weld,,115629.81,42.12,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1253.40,AGM 40,1152.60,42.81,42.12,42.75,42.81,42.12,24030,43.82,43.15,33.8892483,-118.1197445,72.93,
GWD 24040,Girth Weld,,115671.92,43.82,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1295.52,AGM 40,1110.49,42.12,43.82,42.81,42.12,43.82,24040,43.15,41.67,33.8892473,-118.1198832,73.06,
GWD 24050,Girth Weld,,115715.74,43.15,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1339.34,AGM 40,1066.67,43.82,43.15,42.12,43.82,43.15,24050,41.67,41.95,33.8892461,-118.1200274,74.24,
GWD 24060,Girth Weld,,115758.89,41.67,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1382.49,AGM 40,1023.52,43.15,41.67,43.82,43.15,41.67,24060,41.95,41.50,33.8892449,-118.1201694,75.47,
GWD 24070,Girth Weld,,115800.56,41.95,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1424.16,AGM 40,981.84,41.67,41.95,43.15,41.67,41.95,24070,41.50,44.64,33.8892431,-118.1203066,75.88,
GWD 24080,Girth Weld,,115842.51,41.50,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1466.11,AGM 40,939.90,41.95,41.50,41.67,41.95,41.50,24080,44.64,41.42,33.8892412,-118.1204447,74.99,
GWD 24090,Girth Weld,,115884.01,44.64,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1507.61,AGM 40,898.40,41.50,44.64,41.95,41.50,44.64,24090,41.42,40.52,33.8892397,-118.1205813,75.20,
GWD 24100,Girth Weld,,115928.65,41.42,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1552.24,AGM 40,853.76,44.64,41.42,41.50,44.64,41.42,24100,40.52,42.37,33.8892386,-118.1207283,75.51,
GWD 24110,Girth Weld,,115970.07,40.52,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1593.67,AGM 40,812.34,41.42,40.52,44.64,41.42,40.52,24110,42.37,43.33,33.8892377,-118.1208647,75.28,
GWD 24120,Girth Weld,,116010.59,42.37,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1634.19,AGM 40,771.81,40.52,42.37,41.42,40.52,42.37,24120,43.33,44.02,33.8892364,-118.1209981,75.35,
GWD 24130,Girth Weld,,116052.96,43.33,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1676.56,AGM 40,729.45,42.37,43.33,40.52,42.37,43.33,24130,44.02,39.31,33.8892351,-118.1211376,75.26,
GWD 24140,Girth Weld,,116096.29,44.02,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1719.89,AGM 40,686.12,43.33,44.02,42.37,43.33,44.02,24140,39.31,39.65,33.8892335,-118.1212803,75.52,
GWD 24150,Girth Weld,,116140.31,39.31,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1763.91,AGM 40,642.10,44.02,39.31,43.33,44.02,39.31,24150,39.65,41.53,33.8892315,-118.1214253,75.51,
GWD 24160,Girth Weld,,116179.62,39.65,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1803.22,AGM 40,602.79,39.31,39.65,44.02,39.31,39.65,24160,41.53,27.42,33.8892307,-118.1215547,75.46,
GWD 24170,Girth Weld,,116219.27,41.53,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1842.87,AGM 40,563.14,39.65,41.53,39.31,39.65,41.53,24170,27.42,40.45,33.8892290,-118.1216852,75.67,
GWD 24180,Girth Weld,,116260.80,27.42,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1884.40,AGM 40,521.60,41.53,27.42,39.65,41.53,27.42,24180,40.45,3.11,33.8892265,-118.1218220,75.67,
GWD 24190,Girth Weld,,116288.22,40.45,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1911.81,AGM 40,494.19,27.42,40.45,41.53,27.42,40.45,24190,3.11,40.90,33.8892249,-118.1219122,74.95,
GWD 24200,Girth Weld,,116328.67,1.36,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1952.26,AGM 40,453.74,40.45,3.11,27.42,40.45,3.11,24200,40.90,41.57,33.8892238,-118.1220454,74.92,
BND 198,Bend,,116330.03,1.75,0.188,35000,SMLS,8.625,680,,,35.453,,,,,,,,AGM 39,1953.63,AGM 40,452.38,1.36,1.75,27.42,40.45,3.11,24200,40.90,41.57,33.8892252,-118.1220495,74.94,3.0D 88.9 deg right turn bend
GWD 24210,Girth Weld,,116331.78,40.90,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1955.37,AGM 40,450.63,3.11,40.90,40.45,3.11,40.90,24210,41.57,40.89,33.8892295,-118.1220516,75.00,
GWD 24220,Girth Weld,,116372.67,41.57,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,1996.27,AGM 40,409.73,40.90,41.57,3.11,40.90,41.57,24220,40.89,41.25,33.8893418,-118.1220536,75.26,
GWD 24230,Girth Weld,,116414.24,40.89,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,2037.83,AGM 40,368.17,41.57,40.89,40.90,41.57,40.89,24230,41.25,42.62,33.8894559,-118.1220566,75.82,
GWD 24240,Girth Weld,,116455.13,41.25,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,2078.72,AGM 40,327.28,40.89,41.25,41.57,40.89,41.25,24240,42.62,41.61,33.8895682,-118.1220601,75.47,
GWD 24250,Girth Weld,,116496.38,42.62,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,2119.97,AGM 40,286.03,41.25,42.62,40.89,41.25,42.62,24250,41.61,39.80,33.8896814,-118.1220633,75.09,
GWD 24260,Girth Weld,,116539.00,41.61,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,2162.60,AGM 40,243.41,42.62,41.61,41.25,42.62,41.61,24260,39.80,3.00,33.8897984,-118.1220673,75.44,
GWD 24270,Girth Weld,,116580.61,39.80,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,2204.21,AGM 40,201.80,41.61,39.80,42.62,41.61,39.80,24270,3.00,41.74,33.8899126,-118.1220706,75.57,
GWD 24280,Girth Weld,,116620.41,3.00,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,2244.01,AGM 40,162.00,39.80,3.00,41.61,39.80,3.00,24280,41.74,42.81,33.8900219,-118.1220716,75.07,
GWD 24290,Girth Weld,,116623.41,41.74,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,2247.01,AGM 40,159.00,3.00,41.74,39.80,3.00,41.74,24290,42.81,41.75,33.8900302,-118.1220716,75.05,
GWD 24300,Girth Weld,,116665.15,42.81,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,2288.74,AGM 40,117.26,41.74,42.81,3.00,41.74,42.81,24300,41.75,43.15,33.8901448,-118.1220721,75.21,
GWD 24310,Girth Weld,,116707.96,41.75,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,2331.56,AGM 40,74.45,42.81,41.75,41.74,42.81,41.75,24310,43.15,41.31,33.8902624,-118.1220725,75.18,
GWD 24320,Girth Weld,,116749.70,32.70,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,2373.30,AGM 40,32.70,41.75,43.15,42.81,41.75,43.15,24320,41.31,40.77,33.8903770,-118.1220726,75.22,
AGM 7,Above Ground Marker,,116782.41,10.45,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 39,2406.00,AGM 41,2203.67,32.70,10.45,42.81,41.75,43.15,24320,41.31,40.77,33.8904668,-118.1220724,74.92,AGM 40 7' West of Curb - Located in Eucalyptus AVE
GWD 24330,Girth Weld,,116792.86,41.31,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,10.45,AGM 41,2193.22,43.15,41.31,41.75,43.15,41.31,24330,40.77,41.73,33.8904951,-118.1220724,74.94,
GWD 24340,Girth Weld,,116834.17,40.77,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,51.76,AGM 41,2151.92,41.31,40.77,43.15,41.31,40.77,24340,41.73,44.30,33.8906070,-118.1220729,74.88,
GWD 24350,Girth Weld,,116874.93,41.73,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,92.53,AGM 41,2111.15,40.77,41.73,41.31,40.77,41.73,24350,44.30,40.27,33.8907175,-118.1220733,74.88,
GWD 24360,Girth Weld,,116916.66,44.30,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,134.25,AGM 41,2069.42,41.73,44.30,40.77,41.73,44.30,24360,40.27,42.47,33.8908305,-118.1220737,74.96,
GWD 24370,Girth Weld,,116960.96,40.27,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,178.55,AGM 41,2025.12,44.30,40.27,41.73,44.30,40.27,24370,42.47,40.59,33.8909505,-118.1220743,75.21,
GWD 24380,Girth Weld,,117001.23,42.47,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,218.83,AGM 41,1984.85,40.27,42.47,44.30,40.27,42.47,24380,40.59,40.48,33.8910596,-118.1220744,75.04,
GWD 24390,Girth Weld,,117043.70,40.59,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,261.29,AGM 41,1942.38,42.47,40.59,40.27,42.47,40.59,24390,40.48,40.60,33.8911747,-118.1220747,75.49,
GWD 24400,Girth Weld,,117084.29,40.48,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,301.89,AGM 41,1901.79,40.59,40.48,42.47,40.59,40.48,24400,40.60,36.45,33.8912846,-118.1220751,75.16,
GWD 24410,Girth Weld,,117124.78,40.60,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,342.37,AGM 41,1861.31,40.48,40.60,40.59,40.48,40.60,24410,36.45,40.75,33.8913943,-118.1220754,75.55,
GWD 24420,Girth Weld,,117165.37,36.45,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,382.97,AGM 41,1820.71,40.60,36.45,40.48,40.60,36.45,24420,40.75,44.07,33.8915043,-118.1220757,75.71,
GWD 24430,Girth Weld,,117201.83,40.75,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,419.42,AGM 41,1784.26,36.45,40.75,40.60,36.45,40.75,24430,44.07,40.72,33.8916030,-118.1220761,76.05,
GWD 24440,Girth Weld,,117242.57,44.07,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,460.16,AGM 41,1743.51,40.75,44.07,36.45,40.75,44.07,24440,40.72,39.49,33.8917134,-118.1220766,75.83,
GWD 24450,Girth Weld,,117286.65,40.72,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,504.24,AGM 41,1699.44,44.07,40.72,40.75,44.07,40.72,24450,39.49,40.03,33.8918328,-118.1220770,75.65,
GWD 24460,Girth Weld,,117327.37,39.49,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,544.96,AGM 41,1658.71,40.72,39.49,44.07,40.72,39.49,24460,40.03,39.86,33.8919431,-118.1220770,75.63,
GWD 24470,Girth Weld,,117366.86,40.03,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,584.45,AGM 41,1619.23,39.49,40.03,40.72,39.49,40.03,24470,39.86,38.21,33.8920501,-118.1220776,75.95,
GWD 24480,Girth Weld,,117406.89,39.86,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,624.48,AGM 41,1579.20,40.03,39.86,39.49,40.03,39.86,24480,38.21,39.54,33.8921585,-118.1220784,75.82,
GWD 24490,Girth Weld,,117446.75,38.21,0.188,35000,SMLS,8.625,680,,,,,,,,,,,AGM 40,664.34,AGM 41,1539.33,39.86,38.21,40.03,39.86,38.21,24490,39.54,36.18,33.8922665,-118.1220789,75.97,
