ID,Feature,Wheel Countft,Sta. Num.ft,Depth,WTin,SMYS,Lengthin,Widthin,Orientation clock,P MOD B31G   psi,ERF MOD B31GMOPP, of max. est. oper. press PMOPbased on 1150,Dist from US weldft,Dist from DS weldft,US AGM,Dist to US AGM ft,DS AGM,Dist to DS AGM ft,Joint Lengthft,Comments,LAT,LON,ALTITUDE
40014238,GROUP,22893.70,228+24,10%,0.219,52000,0.41,0.33,6:15,1525,0.75000,100.000%,5.18,2.13,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2726.64,"Valve (Receiver), Sta. 230+60, P66 Refinery",227.62,7.31,Metal Loss Internal,33.80079867,-118.24591759,29.850
40014239,GROUP,22893.87,228+24,10%,0.219,52000,0.72,0.55,6:15,1525,0.75000,100.000%,5.35,1.96,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2726.81,"Valve (Receiver), Sta. 230+60, P66 Refinery",227.45,7.31,Metal Loss Internal,33.80079914,-118.24591750,29.850
40014240,GROUP,22894.13,228+25,17%,0.219,52000,0.56,0.46,6:00,1525,0.75000,100.000%,5.61,1.70,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2727.07,"Valve (Receiver), Sta. 230+60, P66 Refinery",227.19,7.31,Metal Loss Internal,33.80079984,-118.24591735,29.840
40014241,GROUP,22894.43,228+25,15%,0.219,52000,0.72,1.54,6:00,1525,0.75000,100.000%,5.92,1.40,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2727.37,"Valve (Receiver), Sta. 230+60, P66 Refinery",226.89,7.31,Metal Loss Internal,33.80080066,-118.24591719,29.840
8190,WELD,22895.83,228+26,,,,,,,,,,,,,,,,1.88,,33.80080446,-118.24591674,29.820
10000274,LOCATION,22896.76,228+27,,,,,,,,,,0.93,0.95,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2729.70,"Valve (Receiver), Sta. 230+60, P66 Refinery",224.56,1.88,"Bend left - 45 deg., 3D",33.80080696,-118.24591725,29.790
8200,WELD,22897.71,228+28,,,,,,,,,,,,,,,,33.78,,33.80080926,-118.24591864,29.740
40014242,GROUP,22898.85,228+30,12%,0.219,52000,0.73,0.87,2:15,1525,0.75000,100.000%,1.15,32.63,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2731.79,"Valve (Receiver), Sta. 230+60, P66 Refinery",222.46,33.78,Metal Loss External,33.80081184,-118.24592077,29.660
40014243,GROUP,22905.69,228+37,15%,0.219,52000,0.45,0.33,6:00,1525,0.75000,100.000%,7.98,25.79,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2738.63,"Valve (Receiver), Sta. 230+60, P66 Refinery",215.63,33.78,Metal Loss Internal,33.80082700,-118.24593398,29.240
40014244,GROUP,22905.93,228+37,10%,0.219,52000,0.52,0.33,6:00,1525,0.75000,100.000%,8.22,25.56,"AGM 3, Sta. 200+00, 6' W OF C/L OF BLINN/ N. LANE",2738.86,"Valve (Receiver), Sta. 230+60, P66 Refinery",215.39,33.78,Metal Loss Internal,33.80082752,-118.24593444,29.220
