ID,Feature,Wheel Countft,Sta. Num.ft,Depth,WTin,SMYS,Lengthin,Widthin,Orientation clock,P MOD B31G   psi,ERF MOD B31GMOPP, of max. est. oper. press PMOPbased on 1150,Dist from US weldft,Dist from DS weldft,US AGM,Dist to US AGM ft,DS AGM,Dist to DS AGM ft,Joint Lengthft,Comments,LAT,LON,ALTITUDE
110,WELD,-1.85,0+00,,,,,,,,,,,,,,,,4.16,,33.76783190,-118.20867787,25.250
110,PIPE,-1.82,0+00,,0.279,52000,,,,,,,,,,,,,4.16,Wall Thickness,33.76783190,-118.20867787,25.250
10000000,LOCATION,-1.36,0+00,,,,,,,,,,0.49,3.68,,,"Valve (Launcher), Sta. 0+00, Beta Station",1.36,4.16,Flange,33.76783190,-118.20867787,25.250
10000001,LOCATION,0,0+00,,,,,,,,,,1.85,2.32,,,"Valve, Sta. 9+80, Check Valve",889.24,4.16,"Valve (Launcher), Sta. 0+00, Beta Station",33.76783189,-118.20867790,25.250
10000002,LOCATION,1.09,0+01,,,,,,,,,,2.93,1.23,"Valve (Launcher), Sta. 0+00, Beta Station",1.09,"Valve, Sta. 9+80, Check Valve",888.15,4.16,Flange,33.76782892,-118.20867789,25.240
120,WELD,2.32,0+03,,,,,,,,,,,,,,,,0.46,,33.76782554,-118.20867790,25.250
10000003,LOCATION,2.55,0+03,,,,,,,,,,0.23,0.23,"Valve (Launcher), Sta. 0+00, Beta Station",2.55,"Valve, Sta. 9+80, Check Valve",886.69,0.46,Fitting on top of pipe,33.76782490,-118.20867790,25.250
130,WELD,2.78,0+03,,,,,,,,,,,,,,,,2.07,,33.76782427,-118.20867790,25.240
10000004,LOCATION,3.81,0+03,,,,,,,,,,1.03,1.04,"Valve (Launcher), Sta. 0+00, Beta Station",3.81,"Valve, Sta. 9+80, Check Valve",885.43,2.07,"Bend down - 46 deg., 3D",33.76782152,-118.20867788,25.080
140,WELD,4.85,0+05,,,,,,,,,,,,,,,,4.94,,33.76781905,-118.20867784,24.580
10000005,LOCATION,5.67,0+06,,,,,,,,,,0.82,4.12,"Valve (Launcher), Sta. 0+00, Beta Station",5.67,"Valve, Sta. 9+80, Check Valve",883.57,4.94,Fitting on top of pipe,33.76781736,-118.20867782,24.030
150,WELD,9.79,0+11,,,,,,,,,,,,,,,,2.00,,33.76780941,-118.20867772,21.080
10000006,LOCATION,10.82,0+11,,,,,,,,,,1.03,0.97,"Valve (Launcher), Sta. 0+00, Beta Station",10.82,"Valve, Sta. 9+80, Check Valve",878.42,2.00,"Bend up - 47 deg., 3D",33.76780718,-118.20867771,20.450
160,WELD,11.79,0+13,,,,,,,,,,,,,,,,1.55,,33.76780471,-118.20867769,20.100
10000007,LOCATION,12.56,0+14,,,,,,,,,,0.77,0.78,"Valve (Launcher), Sta. 0+00, Beta Station",12.56,"Valve, Sta. 9+80, Check Valve",876.68,1.55,Tee @ 270 - Barred,33.76780262,-118.20867768,20.020
170,WELD,13.34,0+15,,,,,,,,,,,,,,,,1.35,,33.76780048,-118.20867769,20.000
180,WELD,14.69,0+16,,,,,,,,,,,,,,,,19.72,,33.76779677,-118.20867772,19.990
180,PIPE,14.71,0+16,,0.438,52000,,,,,,,,,,,,,19.72,Wall Thickness,33.76779677,-118.20867772,19.990
10000008,LOCATION,18.07,0+20,,,,,,,,,,3.38,16.34,"Valve (Launcher), Sta. 0+00, Beta Station",18.07,"Valve, Sta. 9+80, Check Valve",871.17,19.72,Fitting on top of pipe,33.76778750,-118.20867779,19.950
10000009,LOCATION,30.93,0+34,,,,,,,,,,16.24,3.48,"Valve (Launcher), Sta. 0+00, Beta Station",30.93,"Valve, Sta. 9+80, Check Valve",858.31,19.72,Pipe support,33.76775220,-118.20867783,19.750
190,WELD,34.41,0+38,,,,,,,,,,,,,,,,1.93,,33.76774265,-118.20867775,19.690
10000010,LOCATION,35.37,0+38,,,,,,,,,,0.96,0.98,"Valve (Launcher), Sta. 0+00, Beta Station",35.37,"Valve, Sta. 9+80, Check Valve",853.87,1.93,"Bend right - 90 deg., 1.5D",33.76774022,-118.20867874,19.680
200,WELD,36.34,0+40,,,,,,,,,,,,,,,,40.32,,33.76773896,-118.20868143,19.660
10000011,LOCATION,40.82,0+45,,,,,,,,,,4.47,35.84,"Valve (Launcher), Sta. 0+00, Beta Station",40.82,"Valve, Sta. 9+80, Check Valve",848.42,40.32,Pipe support,33.76773854,-118.20869609,19.560
210,WELD,76.66,0+84,,,,,,,,,,,,,,,,44.50,,33.76773580,-118.20881386,18.800
210,PIPE,76.68,0+85,,0.365,52000,,,,,,,,,,,,,44.50,Wall Thickness,33.76773580,-118.20881386,18.800
220,WELD,121.16,1+34,,,,,,,,,,,,,,,,1.73,,33.76773126,-118.20896002,18.420
10000012,LOCATION,122.03,1+34,,,,,,,,,,0.87,0.86,"Valve (Launcher), Sta. 0+00, Beta Station",122.03,"Valve, Sta. 9+80, Check Valve",767.21,1.73,"Bend right - 43 deg., 1.5D",33.76773159,-118.20896284,18.410
230,WELD,122.89,1+35,,,,,,,,,,,,,,,,2.96,,33.76773256,-118.20896537,18.400
240,WELD,125.85,1+39,,,,,,,,,,,,,,,,0.97,,33.76773760,-118.20897300,18.380
10000013,LOCATION,126.33,1+39,,,,,,,,,,0.48,0.49,"Valve (Launcher), Sta. 0+00, Beta Station",126.33,"Valve, Sta. 9+80, Check Valve",762.91,0.97,"Bend down - 24 deg., 1.5D",33.76773844,-118.20897422,18.320
250,WELD,126.82,1+40,,,,,,,,,,,,,,,,6.47,,33.76773927,-118.20897543,18.220
260,WELD,133.29,1+47,,,,,,,,,,,,,,,,0.92,,33.76774972,-118.20899060,15.720
10000014,LOCATION,133.76,1+47,,,,,,,,,,0.47,0.45,"Valve (Launcher), Sta. 0+00, Beta Station",133.76,"Valve, Sta. 9+80, Check Valve",755.48,0.92,"Bend up - 24 deg., 1.5D",33.76775051,-118.20899172,15.580
270,WELD,134.21,1+48,,,,,,,,,,,,,,,,19.04,,33.76775129,-118.20899284,15.500
280,WELD,153.26,1+69,,,,,,,,,,,,,,,,34.70,,33.76778488,-118.20904081,15.200
290,WELD,187.96,2+07,,,,,,,,,,,,,,,,1.12,,33.76784631,-118.20912797,15.000
10000015,LOCATION,188.51,2+07,,,,,,,,,,0.55,0.57,"Valve (Launcher), Sta. 0+00, Beta Station",188.51,"Valve, Sta. 9+80, Check Valve",700.73,1.12,"Bend left - 29 deg., 1.5D",33.76784711,-118.20912948,14.990
300,WELD,189.08,2+08,,,,,,,,,,,,,,,,44.63,,33.76784776,-118.20913118,14.980
310,WELD,233.71,2+58,,,,,,,,,,,,,,,,0.56,,33.76787422,-118.20927440,14.170
10000016,LOCATION,233.99,2+58,,,,,,,,,,0.28,0.28,"Valve (Launcher), Sta. 0+00, Beta Station",233.99,"Valve, Sta. 9+80, Check Valve",655.25,0.56,"Bend down - 12 deg., 3D",33.76787439,-118.20927529,14.150
320,WELD,234.27,2+58,,,,,,,,,,,,,,,,19.33,,33.76787456,-118.20927619,14.120
330,WELD,253.60,2+79,,,,,,,,,,,,,,,,0.52,,33.76788612,-118.20933680,10.030
10000017,LOCATION,253.86,2+80,,,,,,,,,,0.26,0.26,"Valve (Launcher), Sta. 0+00, Beta Station",253.86,"Valve, Sta. 9+80, Check Valve",635.38,0.52,"Bend up - 15 deg., 1.5D",33.76788628,-118.20933764,10.000
340,WELD,254.12,2+80,,,,,,,,,,,,,,,,12.77,,33.76788643,-118.20933846,9.970
350,WELD,266.89,2+94,,,,,,,,,,,,,,,,3.92,,33.76789402,-118.20937943,10.190
10000018,LOCATION,268.84,2+94,,,,,,,,,,1.96,1.96,"Valve (Launcher), Sta. 0+00, Beta Station",268.84,"Valve, Sta. 9+80, Check Valve",620.40,3.92,"Bend right - 92 deg., 3D",33.76789683,-118.20938467,10.330
360,WELD,270.80,2+98,,,,,,,,,,,,,,,,12.59,,33.76790176,-118.20938628,10.680
370,WELD,283.40,3+12,,,,,,,,,,,,,,,,0.52,,33.76793483,-118.20937766,13.150
10000019,LOCATION,283.66,3+12,,,,,,,,,,0.26,0.26,"Valve (Launcher), Sta. 0+00, Beta Station",283.66,"Valve, Sta. 9+80, Check Valve",605.58,0.52,"Bend down - 12 deg., 3D",33.76793553,-118.20937748,13.170
380,WELD,283.92,3+13,,,,,,,,,,,,,,,,33.68,,33.76793621,-118.20937730,13.190
380,PIPE,283.94,3+13,,0.438,52000,,,,,,,,,,,,,33.68,Wall Thickness,33.76793621,-118.20937730,13.190
390,WELD,317.60,3+50,,,,,,,,,,,,,,,,49.66,,33.76802552,-118.20934958,11.130
10000020,LOCATION,331.70,3+63,,,,,,,,,,14.10,35.56,"Valve (Launcher), Sta. 0+00, Beta Station",331.70,"Valve, Sta. 9+80, Check Valve",557.54,49.66,"Bend up - 9 deg., 36D ",33.76806265,-118.20933684,10.080
400,WELD,367.26,4+05,,,,,,,,,,,,,,,,49.28,,33.76815485,-118.20929928,12.240
410,WELD,416.54,4+59,,,,,,,,,,,,,,,,49.59,,33.76828021,-118.20923879,12.680
420,WELD,466.13,5+14,,,,,,,,,,,,,,,,49.66,,33.76840426,-118.20917187,12.640
430,WELD,515.79,5+68,,,,,,,,,,,,,,,,47.24,,33.76852414,-118.20909422,12.440
440,WELD,563.03,6+21,,,,,,,,,,,,,,,,1.91,,33.76863463,-118.20901298,11.640
10000021,LOCATION,563.99,6+21,,,,,,,,,,0.95,0.96,"Valve (Launcher), Sta. 0+00, Beta Station",563.99,"Valve, Sta. 9+80, Check Valve",325.25,1.91,"Bend left - 88 deg., 1.5D",33.76863711,-118.20901247,11.640
450,WELD,564.95,6+23,,,,,,,,,,,,,,,,45.40,,33.76863938,-118.20901378,11.640
460,WELD,610.35,6+73,,,,,,,,,,,,,,,,15.33,,33.76870930,-118.20913696,10.380
10000022,LOCATION,624.70,6+83,,,,,,,,,,14.35,0.99,"Valve (Launcher), Sta. 0+00, Beta Station",624.70,"Valve, Sta. 9+80, Check Valve",264.54,15.33,"Bend up - 14 deg., 49D ",33.76873137,-118.20917567,8.820
470,WELD,625.69,6+90,,,,,,,,,,,,,,,,17.09,,33.76873288,-118.20917836,8.830
480,WELD,642.78,7+08,,,,,,,,,,,,,,,,49.44,,33.76875908,-118.20922462,10.380
490,WELD,692.22,7+63,,,,,,,,,,,,,,,,45.84,,33.76883530,-118.20935865,11.420
10000023,LOCATION,706.90,7+79,,,,,,,,,,14.68,31.15,"Valve (Launcher), Sta. 0+00, Beta Station",706.90,"Valve, Sta. 9+80, Check Valve",182.34,45.84,Casing Begin,33.76885765,-118.20939868,10.480
10000024,LOCATION,708.79,7+81,,,,,,,,,,16.57,29.27,"Valve (Launcher), Sta. 0+00, Beta Station",708.79,"Valve, Sta. 9+80, Check Valve",180.45,45.84,Spacer 1 of 4,33.76886052,-118.20940384,10.530
10000025,LOCATION,734.73,8+10,,,,,,,,,,42.51,3.32,"Valve (Launcher), Sta. 0+00, Beta Station",734.73,"Valve, Sta. 9+80, Check Valve",154.51,45.84,Spacer 4 of 4,33.76889972,-118.20947496,11.370
10000026,LOCATION,737.14,8+12,,,,,,,,,,44.93,0.91,"Valve (Launcher), Sta. 0+00, Beta Station",737.14,"Valve, Sta. 9+80, Check Valve",152.10,45.84,Casing End,33.76890334,-118.20948160,11.460
500,WELD,738.05,8+13,,,,,,,,,,,,,,,,9.07,,33.76890471,-118.20948410,11.490
510,WELD,747.13,8+23,,,,,,,,,,,,,,,,14.11,,33.76891835,-118.20950901,11.830
10000027,LOCATION,753.97,8+27,,,,,,,,,,6.84,7.27,"Valve (Launcher), Sta. 0+00, Beta Station",753.97,"Valve, Sta. 9+80, Check Valve",135.27,14.11,"Bend right - 58 deg., 9D ",33.76893030,-118.20952604,12.050
520,WELD,761.24,8+39,,,,,,,,,,,,,,,,49.77,,33.76894963,-118.20953019,12.010
530,WELD,811.00,8+94,,,,,,,,,,,,,,,,12.75,,33.76908625,-118.20953048,11.630
540,WELD,823.75,9+08,,,,,,,,,,,,,,,,49.23,,33.76912125,-118.20953084,11.570
550,WELD,872.99,9+62,,,,,,,,,,,,,,,,3.07,,33.76925640,-118.20953188,11.410
550,PIPE,873.01,9+62,,0.365,52000,,,,,,,,,,,,,3.07,Wall Thickness,33.76925640,-118.20953188,11.410
560,WELD,876.06,9+65,,,,,,,,,,,,,,,,1.31,,33.76926483,-118.20953213,11.410
570,WELD,877.37,9+67,,,,,,,,,,,,,,,,4.00,,33.76926842,-118.20953230,11.390
10000028,LOCATION,879.35,9+67,,,,,,,,,,1.98,2.02,"Valve (Launcher), Sta. 0+00, Beta Station",879.35,"Valve, Sta. 9+80, Check Valve",9.89,4.00,"Bend up - 90 deg., 3D",33.76927343,-118.20953259,11.970
580,WELD,881.37,9+71,,,,,,,,,,,,,,,,1.66,,33.76927576,-118.20953273,13.710
590,WELD,883.03,9+73,,,,,,,,,,,,,,,,4.23,,33.76927577,-118.20953278,15.360
10000029,LOCATION,885.14,9+73,,,,,,,,,,2.11,2.11,"Valve (Launcher), Sta. 0+00, Beta Station",885.14,"Valve, Sta. 9+80, Check Valve",4.10,4.23,"Bend down - 90 deg., 3D",33.76927704,-118.20953287,17.350
10000030,LOCATION,886.98,9+78,,,,,,,,,,3.95,0.28,"Valve (Launcher), Sta. 0+00, Beta Station",886.98,"Valve, Sta. 9+80, Check Valve",2.26,4.23,Fitting on top of pipe,33.76928120,-118.20953294,18.260
600,WELD,887.25,9+78,,,,,,,,,,,,,,,,3.46,,33.76928195,-118.20953294,18.300
10000031,LOCATION,887.81,9+78,,,,,,,,,,0.55,2.91,"Valve (Launcher), Sta. 0+00, Beta Station",887.81,"Valve, Sta. 9+80, Check Valve",1.43,3.46,Flange,33.76928346,-118.20953294,18.340
10000032,LOCATION,889.24,9+80,,,,,,,,,,1.98,1.48,"Valve (Launcher), Sta. 0+00, Beta Station",889.24,"Valve, Sta. 9+85, MOV 27",4.72,3.46,"Valve, Sta. 9+80, Check Valve",33.76928739,-118.20953300,18.330
10000033,LOCATION,890.33,9+81,,,,,,,,,,3.07,0.39,"Valve, Sta. 9+80, Check Valve",1.09,"Valve, Sta. 9+85, MOV 27",3.63,3.46,Flange,33.76929053,-118.20953276,18.130
610,WELD,890.72,9+82,,,,,,,,,,,,,,,,1.38,,33.76929166,-118.20953267,18.050
10000034,LOCATION,891.37,9+82,,,,,,,,,,0.65,0.73,"Valve, Sta. 9+80, Check Valve",2.13,"Valve, Sta. 9+85, MOV 27",2.59,1.38,Tee @ 270 - Unbarred,33.76929355,-118.20953254,17.920
620,WELD,892.10,9+83,,,,,,,,,,,,,,,,3.77,,33.76929565,-118.20953238,17.780
10000035,LOCATION,892.59,9+84,,,,,,,,,,0.49,3.28,"Valve, Sta. 9+80, Check Valve",3.35,"Valve, Sta. 9+85, MOV 27",1.37,3.77,Flange,33.76929707,-118.20953227,17.690
10000036,LOCATION,893.96,9+85,,,,,,,,,,1.86,1.92,"Valve, Sta. 9+80, Check Valve",4.72,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5622.49,3.77,"Valve, Sta. 9+85, MOV 27",33.76930108,-118.20953200,17.420
10000037,LOCATION,895.33,9+86,,,,,,,,,,3.23,0.54,"Valve, Sta. 9+85, MOV 27",1.38,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5621.11,3.77,Flange,33.76930480,-118.20953198,17.430
630,WELD,895.87,9+87,,,,,,,,,,,,,,,,3.89,,33.76930627,-118.20953198,17.410
10000038,LOCATION,896.13,9+87,,,,,,,,,,0.26,3.63,"Valve, Sta. 9+85, MOV 27",2.17,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5620.32,3.89,Fitting on top of pipe,33.76930696,-118.20953198,17.380
10000039,LOCATION,897.85,9+87,,,,,,,,,,1.98,1.91,"Valve, Sta. 9+85, MOV 27",3.90,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5618.59,3.89,"Bend down - 88 deg., 3D",33.76931117,-118.20953204,16.700
640,WELD,899.76,9+91,,,,,,,,,,,,,,,,1.76,,33.76931322,-118.20953215,15.000
650,WELD,901.53,9+92,,,,,,,,,,,,,,,,4.16,,33.76931325,-118.20953226,13.240
10000040,LOCATION,903.57,9+93,,,,,,,,,,2.05,2.11,"Valve, Sta. 9+85, MOV 27",9.62,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5612.88,4.16,"Bend up - 93 deg., 3D",33.76931457,-118.20953249,11.300
660,WELD,905.68,9+97,,,,,,,,,,,,,,,,2.69,,33.76931940,-118.20953301,10.300
670,WELD,908.38,9+99,,,,,,,,,,,,,,,,4.09,,33.76932674,-118.20953368,10.240
10000041,LOCATION,910.39,9+99,,,,,,,,,,2.01,2.07,"Valve, Sta. 9+85, MOV 27",16.43,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5606.06,4.09,"Bend left - 91 deg., 3D",33.76933181,-118.20953598,10.240
680,WELD,912.46,10+03,,,,,,,,,,,,,,,,2.05,,33.76933425,-118.20954191,10.240
690,WELD,914.52,10+05,,,,,,,,,,,,,,,,1.39,,33.76933410,-118.20954861,10.240
700,WELD,915.91,10+07,,,,,,,,,,,,,,,,5.70,,33.76933373,-118.20955315,10.220
700,PIPE,915.93,10+07,,0.279,52000,,,,,,,,,,,,,5.70,Wall Thickness,33.76933373,-118.20955315,10.220
10000042,LOCATION,916.49,10+07,,,,,,,,,,0.58,5.12,"Valve, Sta. 9+85, MOV 27",22.53,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5599.96,5.70,Fitting on top of pipe,33.76933357,-118.20955506,10.200
10000043,LOCATION,917.53,10+08,,,,,,,,,,1.63,4.07,"Valve, Sta. 9+85, MOV 27",23.58,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5598.91,5.70,Fitting on top of pipe,33.76933328,-118.20955847,10.180
710,WELD,921.61,10+12,,,,,,,,,,,,,,,,2.03,,33.76933217,-118.20957177,10.170
10000044,LOCATION,922.62,10+12,,,,,,,,,,1.01,1.02,"Valve, Sta. 9+85, MOV 27",28.66,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5593.83,2.03,"Bend down - 47 deg., 3D",33.76933195,-118.20957498,9.960
720,WELD,923.64,10+14,,,,,,,,,,,,,,,,2.64,,33.76933182,-118.20957783,9.460
730,WELD,926.28,10+17,,,,,,,,,,,,,,,,4.12,,33.76933166,-118.20958402,7.600
10000045,LOCATION,928.33,10+17,,,,,,,,,,2.05,2.07,"Valve, Sta. 9+85, MOV 27",34.37,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5588.12,4.12,"Bend right-up - 90 deg., 3D",33.76933302,-118.20958845,6.200
740,WELD,930.40,10+21,,,,,,,,,,,,,,,,43.52,,33.76933776,-118.20959073,5.480
740,PIPE,930.42,10+21,,0.219,52000,,,,,,,,,,,,,43.52,Wall Thickness,33.76933776,-118.20959073,5.480
40000000,GROUP,933.62,10+24,24%,0.219,52000,0.65,0.58,6:00,1525,0.75000,100.000%,3.22,40.30,"Valve, Sta. 9+85, MOV 27",39.67,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5582.83,43.52,Metal Loss Internal,33.76934656,-118.20959093,5.390
40000001,GROUP,933.87,10+24,10%,0.219,52000,0.46,0.36,6:00,1525,0.75000,100.000%,3.47,40.05,"Valve, Sta. 9+85, MOV 27",39.91,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5582.58,43.52,Metal Loss Internal,33.76934724,-118.20959093,5.380
40000002,GROUP,934.01,10+24,15%,0.219,52000,0.52,0.62,6:00,1525,0.75000,100.000%,3.61,39.91,"Valve, Sta. 9+85, MOV 27",40.05,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5582.44,43.52,Metal Loss Internal,33.76934763,-118.20959093,5.380
40000003,GROUP,934.26,10+25,13%,0.219,52000,1.92,0.67,6:00,1525,0.75000,100.000%,3.85,39.67,"Valve, Sta. 9+85, MOV 27",40.30,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5582.19,43.52,Metal Loss Internal,33.76934830,-118.20959093,5.380
40000004,GROUP,935.45,10+26,13%,0.219,52000,0.56,0.36,6:00,1525,0.75000,100.000%,5.05,38.48,"Valve, Sta. 9+85, MOV 27",41.49,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5581.00,43.52,Metal Loss Internal,33.76935156,-118.20959093,5.380
40000005,GROUP,936.49,10+27,11%,0.219,52000,1.55,0.58,6:00,1525,0.75000,100.000%,6.09,37.43,"Valve, Sta. 9+85, MOV 27",42.54,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5579.96,43.52,Metal Loss Internal,33.76935442,-118.20959092,5.370
40000006,GROUP,939.84,10+30,10%,0.219,52000,0.74,0.42,6:15,1525,0.75000,100.000%,9.44,34.08,"Valve, Sta. 9+85, MOV 27",45.88,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5576.61,43.52,Metal Loss Internal,33.76936360,-118.20959089,5.340
40000007,GROUP,940.12,10+30,11%,0.219,52000,0.34,0.42,6:00,1525,0.75000,100.000%,9.72,33.80,"Valve, Sta. 9+85, MOV 27",46.17,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5576.33,43.52,Metal Loss Internal,33.76936437,-118.20959089,5.330
40000008,GROUP,940.68,10+31,12%,0.219,52000,1.80,0.45,6:00,1525,0.75000,100.000%,10.28,33.24,"Valve, Sta. 9+85, MOV 27",46.73,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5575.77,43.52,Metal Loss Internal,33.76936591,-118.20959088,5.320
40000009,GROUP,941.19,10+32,13%,0.219,52000,0.45,0.49,6:00,1525,0.75000,100.000%,10.79,32.73,"Valve, Sta. 9+85, MOV 27",47.24,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5575.25,43.52,Metal Loss Internal,33.76936731,-118.20959087,5.320
40000010,GROUP,941.54,10+32,25%,0.219,52000,1.05,0.74,6:00,1525,0.75000,100.000%,11.14,32.39,"Valve, Sta. 9+85, MOV 27",47.58,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5574.91,43.52,Metal Loss Internal,33.76936826,-118.20959087,5.310
40000011,GROUP,941.93,10+32,19%,0.219,52000,0.68,0.60,6:00,1525,0.75000,100.000%,11.52,32.00,"Valve, Sta. 9+85, MOV 27",47.97,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5574.52,43.52,Metal Loss Internal,33.76936932,-118.20959086,5.310
40000012,GROUP,942.18,10+32,13%,0.219,52000,1.02,0.69,6:00,1525,0.75000,100.000%,11.78,31.74,"Valve, Sta. 9+85, MOV 27",48.23,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5574.27,43.52,Metal Loss Internal,33.76937003,-118.20959086,5.310
40000013,GROUP,943.05,10+33,15%,0.219,52000,0.67,0.50,6:00,1525,0.75000,100.000%,12.65,30.88,"Valve, Sta. 9+85, MOV 27",49.09,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5573.40,43.52,Metal Loss Internal,33.76937239,-118.20959085,5.290
40000014,GROUP,943.33,10+34,11%,0.219,52000,0.61,0.46,6:00,1525,0.75000,100.000%,12.93,30.59,"Valve, Sta. 9+85, MOV 27",49.38,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5573.12,43.52,Metal Loss Internal,33.76937317,-118.20959085,5.290
40000015,GROUP,943.61,10+34,15%,0.219,52000,0.88,0.66,6:00,1525,0.75000,100.000%,13.21,30.31,"Valve, Sta. 9+85, MOV 27",49.65,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5572.84,43.52,Metal Loss Internal,33.76937393,-118.20959084,5.290
40000016,GROUP,944.12,10+34,13%,0.219,52000,0.54,0.33,6:00,1525,0.75000,100.000%,13.71,29.81,"Valve, Sta. 9+85, MOV 27",50.16,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5572.33,43.52,Metal Loss Internal,33.76937532,-118.20959084,5.280
40000017,GROUP,944.70,10+35,10%,0.219,52000,0.22,0.33,6:15,1525,0.75000,100.000%,14.30,29.23,"Valve, Sta. 9+85, MOV 27",50.74,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5571.75,43.52,Metal Loss Internal,33.76937691,-118.20959083,5.270
40000018,GROUP,945.19,10+35,13%,0.219,52000,0.64,0.55,6:00,1525,0.75000,100.000%,14.79,28.73,"Valve, Sta. 9+85, MOV 27",51.24,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5571.26,43.52,Metal Loss Internal,33.76937827,-118.20959082,5.270
40000020,GROUP,946.83,10+37,10%,0.219,52000,0.95,1.32,7:00,1525,0.75000,100.000%,16.43,27.09,"Valve, Sta. 9+85, MOV 27",52.87,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5569.62,43.52,Metal Loss Internal,33.76938276,-118.20959080,5.240
40000019,GROUP,946.87,10+37,14%,0.219,52000,2.54,1.26,5:30,1525,0.75000,100.000%,16.47,27.05,"Valve, Sta. 9+85, MOV 27",52.91,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5569.58,43.52,Metal Loss Internal,33.76938286,-118.20959080,5.240
40000021,GROUP,947.18,10+37,28%,0.219,52000,4.12,0.59,7:00,1525,0.75000,100.000%,16.78,26.74,"Valve, Sta. 9+85, MOV 27",53.23,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5569.27,43.52,Metal Loss Internal,33.76938372,-118.20959080,5.240
40000022,GROUP,947.76,10+38,14%,0.219,52000,4.54,2.51,6:15,1525,0.75000,100.000%,17.36,26.16,"Valve, Sta. 9+85, MOV 27",53.81,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5568.68,43.52,Metal Loss Internal,33.76938532,-118.20959079,5.230
40000023,GROUP,948.08,10+38,13%,0.219,52000,1.36,2.52,6:00,1525,0.75000,100.000%,17.68,25.84,"Valve, Sta. 9+85, MOV 27",54.12,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5568.37,43.52,Metal Loss Internal,33.76938618,-118.20959079,5.230
40000024,GROUP,948.29,10+38,10%,0.219,52000,0.71,1.15,6:15,1525,0.75000,100.000%,17.89,25.63,"Valve, Sta. 9+85, MOV 27",54.33,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5568.16,43.52,Metal Loss Internal,33.76938676,-118.20959078,5.230
40000025,GROUP,948.79,10+39,12%,0.219,52000,0.64,0.91,6:00,1525,0.75000,100.000%,18.39,25.13,"Valve, Sta. 9+85, MOV 27",54.84,"AGM 1, Sta. 65+20, AT CASING VENT/ 52' D/S OF C/L PIER B ST",5567.66,43.52,Metal Loss Internal,33.76938814,-118.20959077,5.220
