ILI Tool,Pipe Joint Number,Approx. Milepost (miles),Approx. Map Station (ft),Odometer (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Max Depth + Tolerance (%),Length (in),Width (in),Oreintation (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments
MFLCal,3,0.00,-0+02,-1.52,1,Weld,D3.07,,3.07,U1.52,,1.52,,,,,,,3.07,,,,,,,,33.8010201,-118.2346675,34.55,
MFLCal,3,0.00,-0+01,-1.07,2,Flange,U0.45,0.45,2.62,U1.07,,1.07,,,,,,,3.07,,,,,,,,33.8010213,-118.2346671,34.55,
MFLCal,3,0.00,0+00,0.00,3,Valve,U1.52,1.52,1.56,U0.00,0.00,1368.82,,,,,,,3.07,,,,,,,,33.8010241,-118.2346660,34.55,KM Carson Launch
MFLCal,3,0.00,0+01,1.10,4,Flange,D0.46,2.61,0.46,U1.10,1.10,1367.73,,,,,,,3.07,,,,,,,,33.8010270,-118.2346650,34.56,
MFLCal,6,0.00,0+02,1.56,5,Weld,U3.07,3.07,3.17,U1.56,1.56,1367.26,0.322,,,,,,3.17,,,,,,,,33.8010283,-118.2346645,34.56,
MFLCal,6,0.00,0+04,3.72,6,Tap,D1.01,2.16,1.01,U3.72,3.72,1365.10,0.322,,,,,4,3.17,,,,,,,,33.8010340,-118.2346624,34.58,
MFLCal,7,0.00,0+05,4.73,7,Weld,D0.95,3.17,0.95,U4.73,4.73,1364.09,,,,,,,0.95,,,,,,,,33.8010366,-118.2346615,34.59,
MFLCal,7,0.00,0+05,5.18,8,Flange,U0.45,0.45,0.50,U5.18,5.18,1363.64,,,,,,,0.95,,,,,,,,33.8010378,-118.2346610,34.59,
MFLCal,9,0.00,0+06,5.68,9,Weld,U0.95,0.95,1.17,U5.68,5.68,1363.14,,,,,,,1.17,,,,,,,,33.8010391,-118.2346606,34.60,
MFLCal,9,0.00,0+07,6.31,10,Tee,D0.55,0.63,0.55,U6.31,6.31,1362.52,,,,,,91,1.17,,,,,,,,33.8010408,-118.2346600,34.60,
MFLCal,10,0.00,0+07,6.85,11,Weld,U1.17,1.17,3.32,U6.85,6.85,1361.97,,,,,,,3.32,,,,,,,,33.8010422,-118.2346594,34.54,
MFLCal,10,0.00,0+09,8.66,12,Bend,D1.52,1.81,1.52,U8.66,8.66,1360.16,,,,,,180,3.32,,,,,,,,33.8010461,-118.2346581,33.61,90° 3D Over Forged Bend
MFLCal,11,0.00,0+11,10.17,13,Weld,U3.32,3.32,5.13,U10.17,10.17,1358.65,0.322,,,,,,5.13,,,,,,,,33.8010473,-118.2346577,32.18,
MFLCal,12,0.00,0+16,15.30,14,Weld,D3.24,5.13,3.24,U15.3,15.30,1353.52,0.406,,,,,,3.24,,,,,,,,33.8010475,-118.2346578,27.04,
MFLCal,12,0.00,0+18,16.96,15,Bend,D1.58,1.66,1.58,U16.96,16.96,1351.86,0.406,,,,,0,3.24,,,,,,,,33.8010463,-118.2346604,25.71,90° 3D Sag Forged Bend
MFLCal,13,0.00,0+19,18.54,16,Weld,D1.6,3.24,1.60,U18.54,18.54,1350.28,0.322,,,,,,1.60,,,,,,,,33.8010443,-118.2346648,25.38,
MFLCal,13,0.00,0+20,19.38,17,Bend,D0.76,0.84,0.76,U19.38,19.38,1349.44,0.322,,,,,270,1.60,,,,,,,,33.8010425,-118.2346666,25.39,45° 3D Left Forged Bend
MFLCal,14,0.00,0+21,20.14,18,Weld,U1.6,1.60,18.60,U20.14,20.14,1348.68,0.322,,,,,,18.60,,,,,,,,33.8010406,-118.2346675,25.40,
MFLCal,15,0.01,0+40,38.74,19,Weld,U18.6,18.60,19.61,U38.74,38.74,1330.08,0.322,,,,,,19.61,,,,,,,,33.8009916,-118.2346857,25.46,
MFLCal,16,0.01,0+60,58.35,20,Weld,D0.99,19.61,0.99,U58.35,58.35,1310.47,0.322,,,,,,0.99,,,,,,,,33.8009400,-118.2347052,25.44,
MFLCal,17,0.01,0+61,59.35,21,Weld,U0.99,0.99,19.97,U59.35,59.35,1309.47,0.322,,,,,,19.97,,,,,,,,33.8009374,-118.2347062,25.44,
MFLCal,18,0.02,0+82,79.32,22,Weld,D3.47,19.97,3.47,U79.32,79.32,1289.50,0.406,,,,,,3.47,,,,,,,,33.8008849,-118.2347261,25.44,
MFLCal,18,0.02,0+84,80.96,23,Bend,U1.64,1.64,1.83,U80.96,80.96,1287.86,0.406,,,,,117,3.47,,,,,,,,33.8008819,-118.2347299,25.44,90° 3D Right Forged Bend
MFLCal,19,0.02,0+86,82.79,24,Weld,D1.49,3.47,1.49,U82.79,82.79,1286.03,0.322,,,,,,1.49,,,,,,,,33.8008819,-118.2347358,25.44,
MFLCal,20,0.02,0+87,84.29,25,Weld,U1.49,1.49,16.78,U84.29,84.29,1284.54,0.322,,,,,,16.78,,,,,,,,33.8008830,-118.2347406,25.44,
MFLCal,21,0.02,1+04,101.07,26,Weld,U16.78,16.78,40.41,U101.07,101.07,1267.75,0.322,,,,,,40.41,,,,,,,,33.8008950,-118.2347941,25.46,
MFLCal,22,0.03,1+46,141.48,27,Weld,D40.29,40.41,40.29,U141.48,141.48,1227.34,0.322,,,,,,40.29,,,,,,,,33.8009250,-118.2349227,25.11,
MFLCal,23,0.04,1+88,181.78,28,Weld,D40.06,40.29,40.06,U181.78,181.78,1187.05,0.322,,,,,,40.06,,,,,,,,33.8009541,-118.2350512,25.04,
MFLCal,24,0.04,2+29,221.83,29,Weld,U40.06,40.06,40.28,U221.83,221.83,1146.99,0.322,,,,,,40.28,,,,,,,,33.8009827,-118.2351790,25.10,
MFLCal,25,0.05,2+71,262.11,30,Weld,D39.98,40.28,39.98,U262.11,262.11,1106.71,0.322,,,,,,39.98,,,,,,,,33.8010122,-118.2353073,25.78,
MFLCal,26,0.06,3+12,302.09,31,Weld,U39.98,39.98,40.30,U302.09,302.09,1066.73,0.322,,,,,,40.30,,,,,,,,33.8010416,-118.2354345,25.38,
MFLCal,27,0.07,3+54,342.39,32,Weld,D29.22,40.30,29.22,U342.39,342.39,1026.43,0.322,,,,,,29.22,,,,,,,,33.8010727,-118.2355623,24.41,
MFLCal,28,0.07,3+84,371.61,33,Weld,U29.22,29.22,30.90,U371.61,371.61,997.22,0.322,,,,,,30.90,,,,,,,,33.8010969,-118.2356544,24.61,
MFLCal,29,0.08,4+16,402.51,34,Weld,D1.58,30.90,1.58,U402.51,402.51,966.31,0.406,,,,,,1.58,,,,,,,,33.8011225,-118.2357517,24.78,
MFLCal,29,0.08,4+17,403.30,35,Bend,U0.79,0.79,0.79,U403.3,403.30,965.53,0.406,,,,,180,1.58,,,,,,,,33.8011232,-118.2357540,24.50,45° 3D Over Forged Bend
MFLCal,30,0.08,4+18,404.09,36,Weld,U1.58,1.58,2.09,U404.09,404.09,964.73,0.322,,,,,,2.09,,,,,,,,33.8011237,-118.2357559,24.02,
MFLCal,31,0.08,4+20,406.18,37,Weld,U2.09,2.09,3.29,U406.18,406.18,962.64,,,,,,,3.29,,,,,,,,33.8011251,-118.2357607,22.56,
MFLCal,31,0.08,4+22,407.89,38,Bend,D1.59,1.70,1.59,U407.89,407.89,960.93,,,,,,270,3.29,,,,,,,,33.8011236,-118.2357647,21.59,90° 3D Left Forged Bend
MFLCal,32,0.08,4+23,409.48,39,Weld,U3.29,3.29,3.31,U409.48,409.48,959.34,,,,,,,3.31,,,,,,,,33.8011199,-118.2357671,21.29,
MFLCal,32,0.08,4+25,411.26,40,Bend,D1.53,1.78,1.53,U411.26,411.26,957.56,,,,,,90,3.31,,,,,,,,33.8011167,-118.2357711,21.48,90° 3D Right Forged Bend
MFLCal,33,0.08,4+27,412.79,41,Weld,U3.31,3.31,15.73,U412.79,412.79,956.04,0.322,,,,,,15.73,,,,,,,,33.8011170,-118.2357759,21.87,
MFLCal,33,0.08,4+27,413.46,42,Triangular Marker,U0.68,0.68,15.05,U413.46,413.46,955.36,0.322,,,2.66,2.79,335,15.73,,,,,,,,33.8011175,-118.2357780,22.06,
MFLCal,33,0.08,4+38,424.05,43,Triangular Marker,D4.46,11.27,4.46,U424.05,424.05,944.77,0.322,,,,,4,15.73,,,,,,,,33.8011259,-118.2358103,25.07,
MFLCal,34,0.08,4+43,428.51,44,Weld,D0.51,15.73,0.51,U428.51,428.51,940.31,,,,,,,0.51,,,,,,,,33.8011292,-118.2358235,26.28,
MFLCal,34,0.08,4+43,428.76,45,Bend,U0.25,0.25,0.26,U428.76,428.76,940.06,,,,,,180,0.51,,,,,,,,33.8011294,-118.2358242,26.31,15° 3D Over Forged Bend
MFLCal,35,0.08,4+43,429.02,46,Weld,U0.51,0.51,22.32,U429.02,429.02,939.80,0.322,,,,,,22.32,,,,,,,,33.8011296,-118.2358250,26.35,
MFLCal,35,0.09,4+65,450.13,47,Triangular Marker,D1.21,21.11,1.21,U450.13,450.13,918.69,0.322,,,,,10,22.32,,,,,,,,33.8011466,-118.2358920,27.00,
MFLCal,36,0.09,4+67,451.34,48,Weld,U22.32,22.32,40.22,U451.34,451.34,917.48,0.322,,,,,,40.22,,,,,,,,33.8011474,-118.2358956,27.02,
MFLCal,36,0.09,4+69,453.15,49,Triangular Marker,U1.81,1.81,38.41,U453.15,453.15,915.67,0.322,,,,,6,40.22,,,,,,,,33.8011489,-118.2359017,27.05,
MFLCal,37,0.10,5+08,491.56,50,Weld,U40.22,40.22,40.28,U491.56,491.56,877.26,0.322,,,,,,40.28,,,,,,,,33.8011783,-118.2360232,27.67,
MFLCal,38,0.10,5+50,531.84,51,Weld,U40.28,40.28,40.33,U531.84,531.84,836.98,0.322,,,,,,40.33,,,,,,,,33.8012078,-118.2361515,27.58,
MFLCal,39,0.11,5+91,572.17,52,Weld,U40.33,40.33,40.33,U572.17,572.17,796.66,0.322,,,,,,40.33,,,,,,,,33.8012377,-118.2362795,24.65,
MFLCal,40,0.12,6+33,612.50,53,Weld,U40.33,40.33,40.36,U612.5,612.50,756.32,0.322,,,,,,40.36,,,,,,,,33.8012679,-118.2364076,23.22,
MFLCal,41,0.13,6+75,652.86,54,Weld,D37.06,40.36,37.06,U652.86,652.86,715.96,0.322,,,,,,37.06,,,,,,,,33.8012986,-118.2365358,23.50,
MFLCal,42,0.14,7+13,689.92,55,Weld,D1.58,37.06,1.58,D678.91,689.92,678.91,0.322,,,,,,1.58,,,,,,,,33.8013267,-118.2366534,24.06,
MFLCal,42,0.14,7+14,690.79,56,Bend,D0.71,0.88,0.71,D678.03,690.79,678.03,0.322,,,,,270,1.58,,,,,,,,33.8013264,-118.2366562,24.03,45° 3D Left Forged Bend
MFLCal,43,0.14,7+15,691.50,57,Weld,U1.58,1.58,28.70,D677.32,691.50,677.32,0.322,,,,,,28.70,,,,,,,,33.8013256,-118.2366583,23.98,
MFLCal,44,0.14,7+44,720.19,58,Weld,D1.57,28.70,1.57,D648.63,720.19,648.63,0.322,,,,,,1.57,,,,,,,,33.8012872,-118.2367409,21.71,
MFLCal,44,0.14,7+45,721.07,59,Bend,D0.7,0.88,0.70,D647.75,721.07,647.75,0.322,,,,,90,1.57,,,,,,,,33.8012869,-118.2367437,21.67,45° 3D Right Forged Bend
MFLCal,45,0.14,7+46,721.77,60,Weld,U1.57,1.57,3.20,D647.05,721.77,647.05,0.322,,,,,,3.20,,,,,,,,33.8012873,-118.2367460,21.67,
MFLCal,46,0.14,7+49,724.96,61,Weld,U3.2,3.20,11.09,D643.86,724.96,643.86,0.322,,,,,,11.09,,,,,,,,33.8012897,-118.2367561,21.72,
MFLCal,47,0.14,7+61,736.06,62,Weld,U11.09,11.09,20.18,D632.77,736.06,632.77,0.322,,,,,,20.18,,,,,,,,33.8012983,-118.2367913,21.95,
MFLCal,47,0.15,7+70,744.65,63,Casing Begin,U8.59,8.59,11.59,D624.17,744.65,624.17,0.322,,,,,,20.18,,,,,,,,33.8013052,-118.2368184,22.21,Alameda St & Southern Pacific RR
MFLCal,48,0.15,7+82,756.23,64,Weld,D20.07,20.18,20.07,D612.59,756.23,612.59,0.322,,,,,,20.07,,,,,,,,33.8013147,-118.2368550,22.45,
MFLCal,49,0.15,8+02,776.30,65,Weld,U20.07,20.07,21.12,D592.52,776.30,592.52,0.322,,,,,,21.12,,,,,,,,33.8013313,-118.2369182,22.70,
MFLCal,50,0.16,8+24,797.42,66,Weld,D19.04,21.12,19.04,D571.4,797.42,571.40,0.322,,,,,,19.04,,,,,,,,33.8013487,-118.2369848,22.92,
MFLCal,51,0.16,8+44,816.46,67,Weld,U19.04,19.04,20.12,D552.36,816.46,552.36,0.322,,,,,,20.12,,,,,,,,33.8013642,-118.2370449,23.07,
MFLCal,52,0.16,8+65,836.58,68,Weld,U20.12,20.12,20.16,D532.24,836.58,532.24,0.322,,,,,,20.16,,,,,,,,33.8013804,-118.2371084,22.99,
MFLCal,53,0.17,8+86,856.74,69,Weld,D19.99,20.16,19.99,D512.08,856.74,512.08,0.322,,,,,,19.99,,,,,,,,33.8013967,-118.2371721,23.09,
MFLCal,54,0.17,9+06,876.73,70,Weld,D19.86,19.99,19.86,D492.09,876.73,492.09,0.322,,,,,,19.86,,,,,,,,33.8014128,-118.2372353,23.01,
MFLCal,55,0.18,9+27,896.59,71,Weld,U19.86,19.86,20.14,D472.23,896.59,472.23,0.322,,,,,,20.14,,,,,,,,33.8014288,-118.2372980,22.87,
MFLCal,56,0.18,9+48,916.73,72,Weld,D20.12,20.14,20.12,D452.09,916.73,452.09,0.322,,,,,,20.12,,,,,,,,33.8014448,-118.2373618,22.74,
MFLCal,56,0.18,9+67,935.07,73,Casing End,D1.79,18.34,1.79,D433.75,935.07,433.75,0.322,,,,,,20.12,,,,,,,,33.8014595,-118.2374197,22.52,
MFLCal,57,0.18,9+68,936.86,74,Weld,D3.1,20.12,3.10,D431.97,936.86,431.97,,,,,,,3.10,,,,,,,,33.8014609,-118.2374254,22.52,
MFLCal,57,0.18,9+70,938.52,75,Bend,D1.44,1.66,1.44,D430.3,938.52,430.30,,,,,,315,3.10,,,,,,,,33.8014602,-118.2374301,23.12,90° 3D Sag Left Forged Bend
MFLCal,58,0.18,9+72,939.96,76,Weld,U3.1,3.10,5.55,D428.86,939.96,428.86,0.322,,,,,,5.55,,,,,,,,33.8014577,-118.2374319,24.06,
MFLCal,59,0.19,9+77,945.50,77,Weld,D1.63,5.55,1.63,D423.32,945.50,423.32,,,,,,,1.63,,,,,,,,33.8014470,-118.2374360,27.77,
MFLCal,59,0.19,9+78,946.33,78,Bend,D0.8,0.83,0.80,D422.49,946.33,422.49,,,,,,180,1.63,,,,,,,,33.8014451,-118.2374368,28.09,45° 3D Over Forged Bend
MFLCal,60,0.19,9+79,947.13,79,Weld,U1.63,1.63,2.22,D421.69,947.13,421.69,0.322,,,,,,2.22,,,,,,,,33.8014430,-118.2374376,28.18,
MFLCal,61,0.19,9+81,949.35,80,Weld,U2.22,2.22,11.97,D419.47,949.35,419.47,0.322,,,,,,11.97,,,,,,,,33.8014371,-118.2374397,28.08,
MFLCal,62,0.19,9+94,961.33,81,Weld,U11.97,11.97,40.27,D407.49,961.33,407.49,0.322,,,,,,40.27,,,,,,,,33.8014055,-118.2374512,27.59,
MFLCal,62,0.20,10+33,999.29,82,MCP,D2.3,37.97,2.30,D369.53,999.29,369.53,0.322,,,5,4.69,286,40.27,,,,,,,,33.8013053,-118.2374875,26.42,Close Metal Object
MFLCal,63,0.20,10+35,1001.60,83,Weld,D36.06,40.27,36.06,D367.23,1001.60,367.23,0.322,,,,,,36.06,,,,,,,,33.8012993,-118.2374897,26.36,
MFLCal,63,0.20,10+56,1021.51,84,ML Ext Manufacturing Related,D16.15,19.91,16.15,D347.34,1021.48,347.34,0.322,66,76,0.59,1.35,22,36.06,,2054,2016,2008,1927,2788,2676,33.8012468,-118.2375088,26.32,
MFLCal,63,0.20,10+57,1022.79,85,ML Ext Manufacturing Related,D14.87,21.20,14.87,D346.05,1022.77,346.05,0.322,61,71,0.66,1.53,63,36.06,,2048,2008,2005,1931,2784,2682,33.8012434,-118.2375101,26.34,
MFLCal,64,0.20,10+73,1037.66,86,Weld,D1.51,36.06,1.51,D331.16,1037.66,331.16,0.322,,,,,,1.51,,,,,,,,33.8012042,-118.2375245,26.70,
MFLCal,65,0.20,10+74,1039.16,87,Weld,U1.51,1.51,16.37,D329.66,1039.16,329.66,0.322,,,,,,16.37,,,,,,,,33.8012002,-118.2375260,26.75,
MFLCal,66,0.21,10+91,1055.53,88,Weld,U16.37,16.37,41.11,D313.29,1055.53,313.29,0.322,,,,,,41.11,,,,,,,,33.8011571,-118.2375418,27.49,
MFLCal,66,0.21,10+95,1059.42,89,ML Ext Cluster ,U3.89,3.89,37.21,D309.41,1059.41,309.41,0.322,19,34,2.38,2.59,194,41.11,,2020,1892,2089,2019,2901,2804,33.8011469,-118.2375456,27.68,
MFLCal,66,0.21,10+95,1059.87,90,ML Ext Cluster ,U4.34,4.34,36.77,D309.15,1059.67,309.15,0.322,20,35,3.17,5.12,190,41.11,,1972,1811,1984,1813,2755,2518,33.8011462,-118.2375459,27.69,
MFLCal,66,0.21,10+96,1060.22,91,ML Ext Cluster ,U4.69,4.69,36.42,D308.79,1060.04,308.79,0.322,49,64,3.17,4.05,200,41.11,,1634,1407,1794,1576,2492,2189,33.8011452,-118.2375462,27.71,
MFLCal,66,0.21,10+96,1060.47,92,ML Ext ,U4.94,4.94,36.17,D308.37,1060.45,308.37,0.322,23,38,0.66,0.52,221,41.11,,2126,2104,2121,2091,2946,2904,33.8011442,-118.2375466,27.72,
MFLCal,66,0.21,11+29,1092.30,93,ML Int ,D4.33,36.77,4.33,D276.54,1092.28,276.54,0.322,12,27,0.43,0.51,184,41.11,,2145,2137,2144,2134,2978,2964,33.8010603,-118.2375773,28.99,
MFLCal,67,0.21,11+34,1096.63,94,Weld,D41.02,41.11,41.02,D272.19,1096.63,272.19,0.322,,,,,,41.02,,,,,,,,33.8010488,-118.2375815,29.14,
MFLCal,68,0.22,11+76,1137.65,95,Weld,D40.26,41.02,40.26,D231.17,1137.65,231.17,0.322,,,,,,40.26,,,,,,,,33.8009407,-118.2376212,29.71,
MFLCal,69,0.23,12+18,1177.91,96,Weld,U40.26,40.26,40.89,D190.91,1177.91,190.91,0.322,,,,,,40.89,,,,,,,,33.8008347,-118.2376609,29.90,
MFLCal,69,0.23,12+30,1190.16,97,ML Ext Cluster ,U12.25,12.25,28.64,D178.82,1190.00,178.82,0.322,27,42,3.09,2.64,326,40.89,,1905,1734,2027,1905,2815,2645,33.8008029,-118.2376728,29.82,
MFLCal,69,0.23,12+31,1190.42,98,ML Ext Cluster ,U12.51,12.51,28.38,D178.46,1190.36,178.46,0.322,17,32,1.68,1.64,340,40.89,,2074,1988,2069,1965,2874,2729,33.8008019,-118.2376732,29.82,
MFLCal,69,0.24,12+45,1204.17,99,ML Int Manufacturing Related,D14.63,26.27,14.63,D164.66,1204.16,164.66,0.322,11,31,0.23,0.4,260,40.89,,2149,2146,2149,2144,2984,2978,33.8007656,-118.2376868,29.43,
MFLCal,69,0.24,12+46,1205.12,100,ML Int Cluster Manufacturing Related,D13.68,27.21,13.68,D163.75,1205.08,163.75,0.322,17,42,0.66,1.98,278,40.89,,2134,2096,2131,2081,2959,2891,33.8007632,-118.2376877,29.39,
MFLCal,69,0.24,12+46,1205.46,101,ML Int Manufacturing Related,D13.34,27.56,13.34,D163.37,1205.45,163.37,0.322,10,35,0.23,0.36,270,40.89,,2149,2145,2149,2143,2985,2977,33.8007622,-118.2376881,29.37,
MFLCal,70,0.24,12+60,1218.80,102,Weld,D40.67,40.89,40.67,D150.02,1218.80,150.02,0.322,,,,,,40.67,,,,,,,,33.8007271,-118.2377013,28.80,
MFLCal,70,0.24,12+70,1228.68,103,ML Int ,U9.88,9.88,30.79,D140.15,1228.67,140.15,0.322,16,31,0.43,0.43,176,40.67,,2144,2135,2142,2131,2975,2960,33.8007012,-118.2377109,28.52,
MFLCal,70,0.24,12+70,1228.95,104,ML Int ,U10.15,10.15,30.52,D139.88,1228.95,139.88,0.322,12,32,0.2,0.4,180,40.67,,2149,2147,2149,2146,2985,2981,33.8007004,-118.2377112,28.51,
MFLCal,70,0.24,12+71,1229.09,105,ML Int ,U10.29,10.29,30.38,D139.74,1229.08,139.74,0.322,11,31,0.23,0.4,174,40.67,,2149,2146,2149,2144,2984,2978,33.8007001,-118.2377114,28.51,
MFLCal,70,0.24,12+71,1229.33,106,ML Int ,U10.53,10.53,30.15,D139.52,1229.30,139.52,0.322,16,31,0.47,0.46,177,40.67,,2142,2132,2141,2128,2973,2955,33.8006995,-118.2377116,28.50,
MFLCal,70,0.24,12+74,1232.03,107,ML Int ,U13.23,13.23,27.44,D136.81,1232.02,136.81,0.322,10,25,0.55,0.68,174,40.67,,2144,2132,2143,2128,2976,2955,33.8006923,-118.2377142,28.42,
MFLCal,70,0.24,12+81,1239.52,108,ML Ext Cluster ,D19.95,20.72,19.95,D129.95,1238.87,129.95,0.322,17,32,9.81,4.47,93,40.67,,1903,1671,2018,1838,2802,2552,33.8006743,-118.2377210,28.23,
MFLCal,70,0.25,13+01,1258.88,109,ML Int ,D0.6,40.08,0.60,D109.95,1258.87,109.95,0.322,17,42,0.16,0.33,341,40.67,,2149,2147,2149,2146,2985,2981,33.8006217,-118.2377407,27.91,
MFLCal,71,0.25,13+02,1259.47,110,Weld,D39.53,40.67,39.53,D109.35,1259.47,109.35,0.322,,,,,,39.53,,,,,,,,33.8006201,-118.2377413,27.91,
MFLCal,71,0.25,13+24,1280.45,111,ML Ext Cluster ,D18.55,20.98,18.55,D88.44,1280.38,88.44,0.322,16,31,1.72,3.55,280,39.53,,2077,1990,2072,1958,2878,2719,33.8005650,-118.2377617,28.07,
MFLCal,71,0.25,13+24,1280.72,112,ML Ext Cluster ,D18.29,21.24,18.29,D88.2,1280.62,88.20,0.322,25,40,4.3,3.69,284,39.53,,1871,1673,1983,1793,2754,2490,33.8005644,-118.2377619,28.08,
MFLCal,71,0.25,13+34,1290.23,113,ML Int Manufacturing Related,D8.77,30.75,8.77,D78.6,1290.22,78.60,0.322,10,30,0.23,0.51,102,39.53,,2149,2146,2149,2145,2985,2979,33.8005391,-118.2377713,28.12,
MFLCal,72,0.25,13+43,1299.00,114,Weld,D34.96,39.53,34.96,D69.82,1299.00,69.82,0.322,,,,,,34.96,,,,,,,,33.8005159,-118.2377798,28.16,
MFLCal,72,0.25,13+45,1300.95,115,Dent,U1.95,1.95,33.01,D67.87,1300.95,67.87,0.322,1.00,,4.26,1.85,294,34.96,,,,,,,,33.8005108,-118.2377817,28.16,
MFLCal,73,0.26,13+79,1333.96,116,Weld,U34.96,34.96,41.06,D34.86,1333.96,34.86,0.322,,,,,,41.06,,,,,,,,33.8004237,-118.2378134,28.80,
MFLCal,73,0.26,13+89,1344.05,117,ML Ext Manufacturing Related,U10.09,10.09,30.97,D24.81,1344.01,24.81,0.322,14,29,0.63,0.75,86,41.06,,2138,2122,2136,2115,2967,2937,33.8003972,-118.2378230,29.09,
MFLCal,73,0.27,14+15,1368.82,118,AGM # 0110,D6.2,34.86,6.20,U0,0.00,4564.89,0.322,,,,,,41.06,,,,,,,,33.8003318,-118.2378468,29.94,
MFLCal,73,0.27,14+15,1368.91,119,Casing Begin,D6.11,34.95,6.11,U0.09,0.09,4564.80,0.322,,,,,,41.06,,,,,,,,33.8003315,-118.2378469,29.94,Union Pacific RR
MFLCal,74,0.27,14+21,1375.02,120,Weld,U41.06,41.06,41.44,U6.2,6.20,4558.69,0.322,,,,,,41.44,,,,,,,,33.8003154,-118.2378529,29.84,
MFLCal,74,0.28,14+60,1413.91,121,ML Int ,D2.55,38.89,2.55,U45.06,45.06,4519.83,0.322,21,46,0.55,0.33,130,41.44,,2135,2107,2132,2093,2961,2907,33.8002129,-118.2378913,29.34,
MFLCal,75,0.28,14+63,1416.46,122,Weld,D31.67,41.44,31.67,U47.64,47.64,4517.25,0.322,,,,,,31.67,,,,,,,,33.8002061,-118.2378938,29.33,
MFLCal,76,0.28,14+95,1448.13,123,Weld,U31.67,31.67,40.65,U79.31,79.31,4485.58,0.322,,,,,,40.65,,,,,,,,33.8001225,-118.2379246,29.15,
MFLCal,77,0.29,15+36,1488.78,124,Weld,D40.03,40.65,40.03,U119.96,119.96,4444.93,0.322,,,,,,40.03,,,,,,,,33.8000152,-118.2379648,29.18,
MFLCal,78,0.30,15+76,1528.80,125,Weld,U40.03,40.03,41.39,U159.98,159.98,4404.90,0.322,,,,,,41.39,,,,,,,,33.7999095,-118.2380036,29.21,
MFLCal,78,0.30,15+77,1529.99,126,ML Int ,U1.19,1.19,40.20,U161.17,161.17,4403.72,0.322,18,43,0.23,0.32,126,41.39,,2148,2143,2147,2140,2983,2973,33.7999064,-118.2380048,29.20,
MFLCal,78,0.30,15+92,1545.36,127,ML Ext Cluster ,U16.56,16.56,24.83,U176.33,176.33,4388.56,0.322,25,40,39.27,9.92,281,41.39,,1711,1443,1933,1652,2685,2295,33.7998663,-118.2380194,29.08,
MFLCal,78,0.30,15+96,1548.54,128,ML Ext ,U19.73,19.73,21.65,U179.71,179.71,4385.18,0.322,10,25,0.43,0.75,350,41.39,,2146,2139,2146,2136,2980,2967,33.7998574,-118.2380227,29.05,
MFLCal,78,0.30,15+96,1548.79,129,ML Ext Cluster ,U19.99,19.99,21.40,U179.85,179.85,4385.04,0.322,11,26,2.58,2.34,330,41.39,,2072,1948,2079,1951,2888,2710,33.7998570,-118.2380228,29.05,
MFLCal,78,0.30,15+96,1549.09,130,ML Ext Cluster ,U20.28,20.28,21.10,U180.24,180.24,4384.65,0.322,14,29,2.23,2.8,308,41.39,,2064,1952,2088,2002,2900,2780,33.7998560,-118.2380232,29.04,
MFLCal,78,0.30,15+97,1550.00,131,ML Ext Cluster ,D20.19,21.20,20.19,U180.65,180.65,4384.24,0.322,23,38,11.21,3.5,312,41.39,,1804,1562,1995,1802,2771,2502,33.7998549,-118.2380236,29.04,
MFLCal,78,0.30,15+98,1550.55,132,ML Ext ,D19.64,21.75,19.64,U181.69,181.69,4383.20,0.322,10,25,0.74,0.67,338,41.39,,2139,2118,2137,2110,2968,2931,33.7998521,-118.2380246,29.02,
MFLCal,79,0.31,16+17,1570.19,133,Weld,D33.78,41.39,33.78,U201.37,201.37,4363.52,0.322,,,,,,33.78,,,,,,,,33.7998001,-118.2380437,28.83,
MFLCal,80,0.31,16+51,1603.97,134,Weld,D29.56,33.78,29.56,U235.15,235.15,4329.74,0.322,,,,,,29.56,,,,,,,,33.7997109,-118.2380766,29.23,
MFLCal,80,0.32,16+76,1628.46,135,ML Ext ,D5.07,24.50,5.07,U259.61,259.61,4305.28,0.322,15,30,0.78,1.23,160,29.56,,2131,2105,2127,2094,2954,2909,33.7996464,-118.2381007,29.70,
MFLCal,81,0.32,16+81,1633.53,136,Weld,U29.56,29.56,40.25,U264.71,264.71,4300.18,0.322,,,,,,40.25,,,,,,,,33.7996330,-118.2381058,29.75,
MFLCal,82,0.33,17+21,1673.78,137,Weld,U40.25,40.25,40.72,U304.96,304.96,4259.93,0.322,,,,,,40.72,,,,,,,,33.7995269,-118.2381458,30.06,
