Global GW,Tool,Weld Number,Approx. Milepost (miles),"Approx. Map Station
 (ft)",Odometer (ft),Feature Number,Feature Description,"Distance to Nearest Weld 
(ft)","Distance to Upstream Weld 
(ft)","Distance to Downstream Weld 
(ft)","Distance to Nearest AGM 
(ft)","Distance to Upstream AGM
 (ft)","Distance to Downstream AGM  
(ft)","Wall Thickness of Joint or Boxed Metal Loss Anomaly (Median)
 (in)","Wall Thickness of Joint Only (Median) 
(in)",Max Depth (% from Joint Median),Max Depth +Tool Tolerance (% from Joint Median),"Dent Depth
 (%)",Length (in),"Width 
(in)",Orient. (deg),Pipe Lnth (ft),Long Seam Orient. (deg),"B31G mod Using Median Thickness Psafe 
(psi)","B31Gmod Using Median Thickness +Tool Tolerance Psafe 
(psi)","B31G Eff. Area Using Median Thickness Psafe 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance 
Psafe
 (psi)","B31G Eff. Area Using Median Thickness Pfailure 
(psi)","B31G Eff. Area Using Median Thickness +Tool Tolerance Pfailure 
(psi)",Lattitude NAD83,Longitude NAD83,"Elevation Above Mean Sea Level NAVD88
 (ft)",Comments,Valid Thickness Data Percent,Feature Type (Int/Ext/Mid),Depth of Feature (From Joint Median) (in),Depth Sizing Tolerance (in),Depth of Feature (From Joint Median +Tool Tolerance) (in),"Thickness Minimum Measured for Metal Loss (Minus Tool Tolerance) 
(in)","Thickness Minimum Measured (Tmm) 
(in)",API 579 MAOPr (psi),API 579 RSF,Piping Specifications,SMYS (ksi),MAOP Design (psi),"Nominal Pipe Diameter, OD 
(in)",T Median Measured (in),T Mean Measured (in),Distance from Launcher (ft),Station Position (ft),"Radius Inside (Median) 
(in)","Radius Inside (Mean)
 (in)","Radius Inside (Min)
 (in)",T Nominal (in),,,,,
3660,InVista,370,1.809,95+49,"11,008.58",GW3680,Weld; Begin 0.219 in wall. API 5L (X-52) LongSeam,U3.27,3.27,19.08,U59.50,59.50,"2,303.11",0.214,0.214,,,,,,,19.08,104,,,,,,,33.80833362,-118.25510882,36.1,,99.7,,,,,,0.201,"1,901",0.959,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.214,0.215,"11,008.58","9,549.47",4.118,4.118,3.045,0.219,,,,,
3670,InVista,371,1.812,95+69,"11,027.66",GW3690,Weld,D12.84,19.08,12.84,U78.58,78.58,"2,284.03",0.217,0.217,,,,,,,12.84,334,,,,,,,33.80833452,-118.25517148,36.0,,99.9,,,,,,0.209,"1,901",0.977,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.217,0.218,"11,027.66","9,568.60",4.098,4.098,2.958,0.219,,,,,
3680,InVista,372,1.815,95+81,"11,040.50",GW3700,Weld,U12.84,12.84,16.33,U91.42,91.42,"2,271.19",0.213,0.213,,,,,,,16.33,244,,,,,,,33.80833514,-118.25521387,36.0,,99.8,,,,,,0.191,"1,901",0.946,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.213,0.214,"11,040.50","9,581.46",4.119,4.118,2.918,0.219,,,,,
3690,InVista,373,1.818,95+98,"11,056.83",GW3710,Weld,D11.54,16.33,11.54,U107.75,107.75,"2,254.86",0.216,0.216,,,,,,,11.54,253,,,,,,,33.80833591,-118.25526733,36.0,,99.6,,,,,,0.206,"1,901",0.967,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.216,0.217,"11,056.83","9,597.82",4.112,4.112,2.880,0.219,,,,,
3690,InVista,373,1.818,96+00,"11,059.21",Willmington Ave (Survey),Road Centerline (approx),U2.38,2.38,9.16,U110.13,110.13,"2,252.48",0.214,,,,,0.06,0.08,359,,,,,,,,,33.80833602,-118.25527516,36.0,"Willmington Ave (Survey)
96+00.21
(Alignment sheet 4-A-725)",100.0,,,,,,0.214,,,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,,8.625,0.214,0.214,"11,059.21","9,600.21",,,,0.219,,,,,
3700,InVista,374,1.820,96+09,"11,068.37",GW3720,Weld,U11.54,11.54,29.08,U119.28,119.28,"2,243.33",0.217,0.217,,,,,,,29.08,128,,,,,,,33.80833646,-118.25530540,36.0,Small Laminations in Joint,99.9,,,,,,0.189,"1,901",0.956,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.217,0.218,"11,068.37","9,609.38",4.098,4.098,2.879,0.219,,,,,
3710,InVista,375,1.825,96+39,"11,097.44",GW3730,Weld,U29.08,29.08,41.99,U148.36,148.36,"2,214.25",0.216,0.216,,,,,,,41.99,188,,,,,,,33.80833784,-118.25540099,35.9,,99.7,,,,,,0.196,"1,901",0.906,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.216,0.217,"11,097.44","9,638.52",4.112,4.111,2.912,0.219,,,,,
3720,InVista,376,1.833,96+81,"11,139.43",GW3740,Weld; Begin 0.344 in wall. API 5L (A) Seamless,D1.50,41.99,1.50,U190.35,190.35,"2,172.26",0.328,0.328,,,,,,,1.50,,,,,,,,33.80833983,-118.25553898,35.8,,44.0,,,,,,0.280,"2,892",0.871,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,30,"2,987",8.625,0.328,0.369,"11,139.43","9,680.60",3.978,3.980,2.899,0.344,,,,,
3720,InVista,376,1.834,96+81,"11,140.22",BD,Bend; Possible Bend Signatures,D0.72,,,U191.14,191.14,"2,171.47",,,,,,,,,,,,,,,,,33.80833987,-118.25554168,35.8,Possible Bend Signatures,,,,,,,,,,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,30,,,,,"11,140.22","9,681.39",,,,0.344,,,,,
3730,InVista,377,1.834,96+82,"11,140.94",GW3750,Weld; Begin 0.219 in wall. API 5L (X-52) LongSeam,D1.32,1.50,1.32,U191.86,191.86,"2,170.75",0.215,0.215,,,,,,,1.32,274,,,,,,,33.80833989,-118.25554390,35.9,,97.3,,,,,,0.209,"1,901",0.905,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.215,0.219,"11,140.94","9,682.11",4.101,4.098,2.851,0.219,,,,,
3740,InVista,378,1.834,96+83,"11,142.26",GW3760,Weld,D1.18,1.32,1.18,U193.18,193.18,"2,169.43",0.216,0.216,,,,,,,1.18,199,,,,,,,33.80833990,-118.25554761,36.6,,98.1,,,,,,0.210,"1,901",0.904,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.216,0.218,"11,142.26","9,683.43",4.096,4.095,3.249,0.219,,,,,
3750,InVista,379,1.834,96+85,"11,143.44",GW3770,Weld; Begin 0.344 in wall. API 5L (A) Seamless,U1.18,1.18,1.51,U194.36,194.36,"2,168.25",0.326,0.326,,,,,,,1.51,,,,,,,,33.80833989,-118.25555085,37.2,,41.7,,,,,,0.279,"2,867",0.864,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,30,"2,987",8.625,0.326,0.365,"11,143.44","9,684.62",3.975,3.980,3.386,0.344,,,,,
3750,InVista,379,1.834,96+85,"11,144.22",BD,Bend,D0.73,,,U195.14,195.13,"2,167.48",,,,,,,,,,,,,,,,,33.80833990,-118.25555311,37.6,,,,,,,,,,,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,30,,,,,"11,144.22","9,685.39",,,,0.344,,,,,
3760,InVista,380,1.834,96+86,"11,144.95",GW3780,Weld; Begin 0.219 in wall. API 5L (X-52) LongSeam,U1.51,1.51,41.24,U195.87,195.87,"2,166.74",0.215,0.215,,,,,,,41.24,200,,,,,,,33.80833994,-118.25555554,37.6,,99.4,,,,,,0.149,"1,842",0.872,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.215,0.216,"11,144.95","9,686.13",4.112,4.112,2.902,0.219,,,,,
3760,InVista,380,1.835,96+86,"11,144.98",IML-3780-01,Internal Metal Loss,U0.03,0.03,41.20,U195.90,195.90,"2,166.71",0.216,0.215,31,42,,2.19,2.26,158,,,"1,962","1,834","2,023","1,881","2,809","2,613",33.80833994,-118.25555554,37.6,Intermittent; WT Inferred from IR; Not Associated with Deposits;,98.4,Internal,0.066,0.025,0.091,0.124,0.149,"1,878",0.889,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.216,0.213,"11,144.98","9,686.16",4.097,4.100,4.031,0.219,,,,,
3760,InVista,380,1.840,97+16,"11,174.32",LAM-3780-02,Lamination,D11.87,29.37,11.87,U225.23,225.23,"2,137.38",,,,,,17.72,1.37,4,,,,,,,,,33.80834138,-118.25565220,37.6,Intermittent,,Midwall,,,,,,,,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,,,,,"11,174.32","9,715.56",4.111,4.110,4.098,0.219,,,,,
3760,InVista,380,1.840,97+18,"11,176.50",LAM-3780-03,Lamination,D9.69,31.55,9.69,U227.42,227.42,"2,135.19",,,,,,14.27,0.89,6,,,,,,,,,33.80834149,-118.25565922,37.6,Intermittent,,Midwall,,,,,,,,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,,,,,"11,176.50","9,717.74",4.101,4.103,4.093,0.219,,,,,
3770,InVista,381,1.842,97+27,"11,186.18",GW3790,Weld,U41.24,41.24,44.98,U237.10,237.10,"2,125.51",0.212,0.212,,,,,,,44.98,289,,,,,,,33.80834197,-118.25569109,37.7,,99.9,,,,,,0.200,"1,901",0.958,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.212,0.213,"11,186.18","9,727.45",4.102,4.102,2.864,0.219,,,,,
3780,InVista,382,1.851,97+73,"11,231.16",GW3800,Weld,D40.05,44.98,40.05,U282.08,282.08,"2,080.53",0.213,0.213,,,,,,,40.05,295,,,,,,,33.80834418,-118.25583906,37.7,Long Seam Axially Aligned Across Girth Weld,99.9,,,,,,0.200,"1,901",0.973,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.213,0.214,"11,231.16","9,772.52",4.117,4.116,2.833,0.219,,,,,
3790,InVista,383,1.858,98+13,"11,271.21",GW3810,Weld,D39.50,40.05,39.50,U322.13,322.13,"2,040.48",0.212,0.212,,,,,,,39.50,116,,,,,,,33.80834615,-118.25597083,37.8,,99.8,,,,,,0.204,"1,901",0.976,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.212,0.213,"11,271.21","9,812.66",4.116,4.115,2.893,0.219,,,,,
3800,InVista,384,1.866,98+52,"11,310.71",GW3820,Weld,U39.50,39.50,41.80,U361.63,361.63,"2,000.98",0.214,0.214,,,,,,,41.80,64,,,,,,,33.80834696,-118.25610067,37.8,,99.9,,,,,,0.200,"1,901",0.972,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.214,0.214,"11,310.71","9,852.24",4.117,4.117,2.920,0.219,,,,,
3810,InVista,385,1.874,98+94,"11,352.51",GW3830,Weld,U41.80,41.80,42.07,U403.43,403.43,"1,959.18",0.215,0.215,,,,,,,42.07,101,,,,,,,33.80834722,-118.25623813,37.7,,99.9,,,,,,0.206,"1,901",0.974,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.215,0.216,"11,352.51","9,894.12",4.1,4.100,2.941,0.219,,,,,
3820,InVista,386,1.882,99+36,"11,394.57",GW3840,Weld,D41.99,42.07,41.99,U445.49,445.49,"1,917.12",0.218,0.218,,,,,,,41.99,293,,,,,,,33.80834747,-118.25637640,37.7,Metal Loss (<15.0%) in Joint,99.7,,,,,,0.171,"1,901",0.901,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.218,0.218,"11,394.57","9,936.28",4.11,4.110,2.861,0.219,,,,,
3820,InVista,386,1.883,99+44,"11,401.90",EML-3840-01,External Metal Loss,U7.33,7.32,34.67,U452.82,452.82,"1,909.79",0.211,0.218,22,33,,4.72,1.45,290,,,"1,971","1,802","2,032","1,838","2,823","2,553",33.80834751,-118.25640044,37.7,Crosses Long Seam,91.5,External,0.047,0.025,0.072,0.146,0.171,"1,901",0.901,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.211,0.209,"11,401.90","9,943.62",4.112,4.112,4.097,0.219,,,,,
3830,InVista,387,1.890,99+78,"11,436.57",GW3850,Weld,U41.99,41.99,42.01,U487.49,487.49,"1,875.12",0.217,0.217,,,,,,,42.01,293,,,,,,,33.80834626,-118.25651436,37.5,Long Seam Axially Aligned Across Girth Weld; Small Laminations in Joint,99.7,,,,,,0.206,"1,901",0.965,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.217,0.218,"11,436.57","9,978.36",4.098,4.097,2.850,0.219,,,,,
3840,InVista,388,1.898,100+20,"11,478.58",GW3860,Weld,D42.00,42.01,42.00,U529.50,529.50,"1,833.11",0.211,0.211,,,,,,,42.00,231,,,,,,,33.80834361,-118.25665260,37.2,Metal Loss (<15.0%) in Joint,99.7,,,,,,0.121,"1,901",0.902,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.211,0.212,"11,478.58","10,020.46",4.12,4.120,2.910,0.219,,,,,
3840,InVista,388,1.905,100+58,"11,515.64",EML-3860-01,External Metal Loss,D4.94,37.06,4.93,U566.56,566.56,"1,796.05",0.197,0.211,43,55,,1.94,2.42,338,,,"1,832","1,691","1,943","1,800","2,699","2,500",33.80834043,-118.25677429,36.6,,87.3,External,0.090,0.025,0.115,0.096,0.121,"1,901",0.902,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.197,0.190,"11,515.64","10,057.60",4.117,4.117,4.112,0.219,,,,,
3850,InVista,389,1.906,100+63,"11,520.58",GW3870,Weld,D10.53,42.00,10.53,U571.50,571.50,"1,791.11",0.213,0.213,,,,,,,10.53,129,,,,,,,33.80833999,-118.25679048,36.6,,99.8,,,,,,0.172,"1,901",0.961,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.213,0.214,"11,520.58","10,062.55",4.101,4.101,3.220,0.219,,,,,
3850,InVista,389,1.906,100+63,"11,520.76",EML-3870-01,External Metal Loss,U0.19,0.19,10.34,U571.68,571.68,"1,790.93",0.209,0.213,19,31,,1.53,1.29,71,,,"2,101","2,022","2,125","2,036","2,951","2,827",33.80833998,-118.25679129,36.6,,88.3,External,0.041,0.025,0.066,0.147,0.172,"1,901",0.965,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.209,0.210,"11,520.76","10,062.73",4.093,4.093,4.091,0.219,,,,,
3860,InVista,390,1.908,100+73,"11,531.11",GW3880,Weld; Begin 0.312 in wall. API 5L (A) LongSeam,D1.68,10.53,1.68,U582.03,582.03,"1,780.58",0.309,0.309,,,,,,,1.68,101,,,,,,,33.80833907,-118.25682530,36.4,,98.5,,,,,,0.286,"1,563",0.982,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,563",8.625,0.309,0.311,"11,531.11","10,073.10",3.996,3.995,3.016,0.312,,,,,
3870,InVista,391,1.908,100+75,"11,532.79",GW3890,Weld; Begin 0.219 in wall. API 5L (X-52) LongSeam,U1.68,1.68,4.27,U583.71,583.71,"1,778.90",0.213,0.213,,,,,,,4.27,355,,,,,,,33.80833893,-118.25683070,36.4,,99.4,,,,,,0.198,"1,901",0.906,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.213,0.214,"11,532.79","10,074.78",4.102,4.101,2.822,0.219,,,,,
3880,InVista,392,1.909,100+79,"11,537.05",GW3900,Weld; Begin 0.344 in wall. API 5L (A) Seamless,D1.77,4.27,1.76,U587.97,587.97,"1,774.64",0.328,0.328,,,,,,,1.76,,,,,,,,33.80833856,-118.25684474,36.3,,46.9,,,,,,0.278,"2,864",0.863,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,30,"2,987",8.625,0.328,0.353,"11,537.05","10,079.06",3.974,3.980,3.309,0.344,,,,,
3880,InVista,392,1.909,100+80,"11,537.97",BD,Bend,D0.85,,,U588.89,588.89,"1,773.72",,,,,,,,,,,,,,,,,33.80833849,-118.25684764,36.3,,,,,,,,,,,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,30,,,,,"11,537.97","10,079.97",,,,0.344,,,,,
3890,InVista,393,1.909,100+81,"11,538.82",GW3910,Weld; Begin 0.219 in wall. API 5L (X-52) LongSeam,U1.77,1.76,4.25,U589.74,589.74,"1,772.87",0.215,0.215,,,,,,,4.25,161,,,,,,,33.80833846,-118.25685061,36.3,,98.9,,,,,,0.206,"1,901",0.909,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.215,0.217,"11,538.82","10,080.83",4.112,4.111,3.159,0.219,,,,,
3900,InVista,394,1.910,100+85,"11,543.07",GW3920,Weld; Begin 0.344 in wall. API 5L (A) Seamless,D3.02,4.25,3.02,U593.98,593.98,"1,768.63",0.329,0.329,,,,,,,3.02,,,,,,,,33.80834145,-118.25686287,36.3,,36.1,,,,,,0.298,"2,987",0.917,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,30,"2,987",8.625,0.329,0.388,"11,543.07","10,085.08",3.978,3.979,2.543,0.344,,,,,
3900,InVista,394,1.910,100+87,"11,544.59",BD,Bend,D1.49,,,U595.51,595.51,"1,767.10",,,,,,,,,,,,,,,,,33.80834539,-118.25686406,36.3,,,,,,,,,,,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,30,,,,,"11,544.59","10,086.61",,,,0.344,,,,,
3910,InVista,395,1.911,100+88,"11,546.08",GW3930,Weld; Begin 0.219 in wall. API 5L (X-52) LongSeam,U3.02,3.02,4.75,U597.00,597.00,"1,765.61",0.213,0.213,,,,,,,4.75,197,,,,,,,33.80834967,-118.25686418,36.2,,98.9,,,,,,0.195,"1,901",0.934,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.213,0.214,"11,546.08","10,088.11",4.118,4.117,3.541,0.219,,,,,
3920,InVista,396,1.912,100+93,"11,550.83",GW3940,Weld,U4.75,4.75,25.52,U601.75,601.75,"1,760.86",0.215,0.215,,,,,,,25.52,45,,,,,,,33.80836249,-118.25686456,35.9,,99.7,,,,,,0.195,"1,901",0.955,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.215,0.216,"11,550.83","10,092.86",4.113,4.113,2.993,0.219,,,,,
3920,InVista,396,1.912,100+94,"11,551.66",CB,Casing (Begin),U0.83,0.83,24.69,U602.58,602.58,"1,760.03",,,,,,,,,,,,,,,,,33.80836474,-118.25686463,35.8,"Casing Begins 12"" Station 100+93.72",,,,,,,,,,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,,,,,"11,551.66","10,093.69",,,,0.219,,,,,
3930,InVista,397,1.916,101+18,"11,576.35",GW3950,Weld,U25.52,25.52,25.55,U627.27,627.27,"1,735.34",0.214,0.214,,,,,,,25.55,291,,,,,,,33.80843244,-118.25686662,34.2,,99.7,,,,,,0.203,"1,901",0.977,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.214,0.215,"11,576.35","10,118.44",4.116,4.116,3.099,0.219,,,,,
3940,InVista,398,1.921,101+44,"11,601.90",GW3960,Weld,D23.82,25.55,23.82,U652.82,652.82,"1,709.79",0.216,0.216,,,,,,,23.82,251,,,,,,,33.80850238,-118.25686868,32.6,,99.9,,,,,,0.160,"1,901",0.917,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.216,0.217,"11,601.90","10,144.04",4.097,4.096,2.791,0.219,,,,,
3940,InVista,398,1.925,101+67,"11,624.34",CE,Casing (End),D1.38,22.44,1.38,U675.26,675.26,"1,687.35",,,,,,,,,,,,,,,,,33.80856379,-118.25687049,31.2,"Casing Ends 12"" Station 101+66.54",,,,,,,,,,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,,,,,"11,624.34","10,166.53",,,,0.219,,,,,
3940,InVista,398,1.926,101+67,"11,625.01",EML-3960-02,External Metal Loss,D0.71,23.11,0.70,U675.93,675.93,"1,686.68",0.204,0.216,26,38,,2.48,4.52,351,,,"1,996","1,864","2,041","1,893","2,835","2,629",33.80856582,-118.25687054,31.1,,97.0,External,0.056,0.025,0.081,0.135,0.160,"1,901",0.917,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.204,0.208,"11,625.01","10,167.20",4.08,4.086,4.067,0.219,,,,,
3950,InVista,399,1.926,101+68,"11,625.72",GW3970,Weld,D2.55,23.82,2.55,U676.64,676.64,"1,685.97",0.215,0.215,,,,,,,2.55,81,,,,,,,33.80856761,-118.25687060,31.1,,98.8,,,,,,0.189,"1,759",0.832,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.215,0.217,"11,625.72","10,167.91",4.11,4.109,3.433,0.219,,,,,
3960,InVista,400,1.926,101+70,"11,628.27",GW3980,Weld; Begin 0.344 in wall. API 5L (A) Seamless,U2.55,2.55,3.20,U679.19,679.19,"1,683.42",0.319,0.319,,,,,,,3.20,,,,,,,,33.80857252,-118.25687585,31.1,,48.9,,,,,,0.236,"2,514",0.758,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,30,"2,987",8.625,0.319,0.351,"11,628.27","10,170.46",3.982,3.981,2.456,0.344,,,,,
3960,InVista,400,1.927,101+72,"11,630.04",BD,Bend; Possible Bend Signatures,D1.42,,,U680.96,680.96,"1,681.65",,,,,,,,,,,,,,,,,33.80857300,-118.25687937,32.2,Possible Bend Signatures,,,,,,,,,,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,30,,,,,"11,630.04","10,172.24",,,,0.344,,,,,
3970,InVista,401,1.927,101+74,"11,631.47",GW3990,Weld; Begin 0.219 in wall. API 5L (X-52) LongSeam,D3.14,3.20,3.14,U682.39,682.39,"1,680.22",0.216,0.216,,,,,,,3.14,323,,,,,,,33.80857299,-118.25688166,33.4,Metal Loss (<15.0%) in Joint,98.3,,,,,,0.190,"1,755",0.831,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.216,0.218,"11,631.47","10,173.64",4.109,4.108,3.479,0.219,,,,,
3980,InVista,402,1.927,101+77,"11,634.61",GW4000,Weld; Begin 0.344 in wall. API 5L (A) Seamless,D1.49,3.14,1.49,U685.52,685.52,"1,677.09",0.325,0.325,,,,,,,1.49,,,,,,,,33.80857289,-118.25688885,35.1,,41.8,,,,,,0.284,"2,969",0.895,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,30,"2,987",8.625,0.325,0.374,"11,634.61","10,176.73",3.976,3.980,3.783,0.344,,,,,
3980,InVista,402,1.928,101+77,"11,635.37",BD,Bend,D0.73,,,U686.29,686.28,"1,676.33",,,,,,,,,,,,,,,,,33.80857282,-118.25689155,35.1,,,,,,,,,,,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,30,,,,,"11,635.37","10,177.48",,,,0.344,,,,,
3990,InVista,403,1.928,101+78,"11,636.09",GW4010,Weld; Begin 0.219 in wall. API 5L (X-52) LongSeam,U1.49,1.49,11.59,U687.01,687.01,"1,675.60",0.216,0.216,,,,,,,11.59,347,,,,,,,33.80857276,-118.25689371,35.1,,99.7,,,,,,0.203,"1,901",0.926,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.216,0.217,"11,636.09","10,178.19",4.097,4.096,2.787,0.219,,,,,
4000,InVista,404,1.930,101+90,"11,647.68",GW4020,Weld,D6.10,11.59,6.10,U698.60,698.60,"1,664.01",0.217,0.217,,,,,,,6.10,280,,,,,,,33.80857177,-118.25693178,35.0,,99.6,,,,,,0.190,"1,901",0.921,API 5L (X-52); ASME B31.4; SMYS=52000; Pdesign=0,52,"1,901",8.625,0.217,0.217,"11,647.68","10,189.59",4.101,4.101,3.698,0.219,,,,,
4010,InVista,405,1.931,101+96,"11,653.79",GW4030,Weld; Begin 0.25 in wall. API 5L (A) LongSeam,D0.92,6.10,0.92,U704.71,704.71,"1,657.90",0.252,0.252,,,,,,,0.92,76,,,,,,,33.80857124,-118.25695201,35.0,,95.8,,,,,,0.214,975,0.876,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.252,0.256,"11,653.79","10,195.60",4.067,4.065,3.760,0.250,,,,,
4020,InVista,406,1.931,101+97,"11,654.71",GW4040,Weld,U0.92,0.92,48.19,U705.63,705.63,"1,656.98",0.250,0.250,,,,,,,48.19,274,,,,,,,33.80857116,-118.25695498,35.0,,99.7,,,,,,0.208,953,0.856,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.250,0.251,"11,654.71","10,196.50",4.067,4.066,2.797,0.250,,,,,
4030,InVista,407,1.940,102+44,"11,702.90",GW4050,Weld,D46.75,48.19,46.75,U753.82,753.82,"1,608.80",0.257,0.257,,,,,,,46.75,237,,,,,,,33.80856701,-118.25711343,34.8,,99.9,,,,,,0.215,"1,002",0.902,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.257,0.257,"11,702.90","10,243.90",4.059,4.058,2.995,0.250,,,,,
4030,InVista,407,1.940,102+44,"11,703.04",EM,Excess Metal,U0.14,0.14,46.61,U753.95,753.95,"1,608.66",,,,,,1.10,1.13,360,,,,,,,,,33.80856701,-118.25711370,34.8,,,External,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"11,703.04","10,244.04",,,,0.250,,,,,
4040,InVista,408,1.949,102+90,"11,749.65",GW4060,Weld,U46.75,46.75,48.42,U800.57,800.57,"1,562.04",0.255,0.255,,,,,,,48.42,301,,,,,,,33.80856299,-118.25726703,34.6,,99.9,,,,,,0.210,"1,002",0.926,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.255,0.254,"11,749.65","10,289.89",4.06,4.061,2.886,0.250,,,,,
4040,InVista,408,1.949,102+90,"11,749.82",EM,Excess Metal,U0.17,0.17,48.25,U800.74,800.73,"1,561.88",,,,,,0.97,2.10,6,,,,,,,,,33.80856298,-118.25726757,34.6,,,External,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"11,749.82","10,290.06",,,,0.250,,,,,
4040,InVista,408,1.957,103+31,"11,791.38",EML-4060-02,External Metal Loss,D6.69,41.73,6.69,U842.30,842.29,"1,520.32",0.237,0.255,18,27,,2.25,1.29,130,,,"1,281","1,228","1,305","1,245","1,812","1,729",33.80855940,-118.25740415,34.4,,91.7,External,0.045,0.025,0.070,0.185,0.210,"1,002",0.939,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,"1,002",8.625,0.237,0.236,"11,791.38","10,330.94",4.057,4.057,4.054,0.250,,,,,
4040,InVista,408,1.958,103+37,"11,797.87",EM,Excess Metal,D0.20,48.22,0.20,U848.79,848.79,"1,513.82",,,,,,0.82,1.45,3,,,,,,,,,33.80855884,-118.25742548,34.4,,,External,,,,,,,,API 5L (A); ASME B31.4; SMYS=30000; Pdesign=0,30,,,,,"11,797.87","10,337.33",,,,0.250,,,,,
