Feature Number (sequential order),Pipeline Feature,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference Name,UpStreamDistanceFrom,DownstreamName,DownstreamDistanceTo,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G PBURST,Modified B31.G PSAFE,Design Pressure (72% SMYS),ERF_MOP_SAFE,RPR_PBURST_100_SMYS,Effective Area P Burst,Effective Area P Safe,Group Number,Group Category,NAD 83 Latitude,NAD 83 Longitude,NAVD 88,Comments,POF Classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
20,Weld,,125.54,144+01,42.21,19.82,19.82,100,Bakersfield Station (142+76),125.54,Block Valve #4.46 (232+30),8802.38,10.75,0.365,,60000, 11:32,,,,,,,,,,1402,,,,,,,,,,35.37611053,-119.08345711,109.059,GIRTH WELD,,,,MFL/CLP,,
21,Weld - Bend Begin,,145.36,144+20,19.82,4.07,4.07,110,Bakersfield Station (142+76),145.36,Block Valve #4.46 (232+30),8782.56,10.75,0.365,,60000,,,,,,,,,,,1402,,,,,,,,,,35.37605624,-119.08345740,108.676,GIRTH WELD,,,,MFL/CLP,,
22,Bend,,147.39,144+22,2.03,4.07,4.07,110,Bakersfield Station (142+76),147.39,Block Valve #4.46 (232+30),8780.52,10.75,0.365,,60000,,,,,,,,,,,1402,,,,,,,,,,35.37605110,-119.08345959,108.660,3.0D 85 DEG BEND-FORGED RIGHT,,,,MFL/CLP,,
23,Weld - Bend End - Change in Wall Thickness ,,149.42,144+24,4.07,10.97,10.97,120,Bakersfield Station (142+76),149.42,Block Valve #4.46 (232+30),8778.49,10.75,0.250,,52000,,,,,,,,,,,1402,,,,,,,,,,35.37604852,-119.08346545,108.690,GIRTH WELD NWT 0.365/0.250IN,,,,MFL/CLP,,
24,Weld - Bend Begin,,160.39,144+35,10.97,3.98,3.98,130,Bakersfield Station (142+76),160.39,Block Valve #4.46 (232+30),8767.52,10.75,0.250,,52000,,,,,,,,,,,1402,,,,,,,,,,35.37604861,-119.08350217,109.016,GIRTH WELD,,,,MFL/CLP,,
25,Bend,,162.39,144+37,1.99,3.98,3.98,130,Bakersfield Station (142+76),162.39,Block Valve #4.46 (232+30),8765.53,10.75,0.250,,52000,,,,,,,,,,,1402,,,,,,,,,,35.37604683,-119.08350833,109.058,3.0D 90 DEG BEND-FORGED LEFT,,,,MFL/CLP,,
26,Weld - Bend End,,164.38,144+39,3.98,12.72,12.72,140,Bakersfield Station (142+76),164.38,Block Valve #4.46 (232+30),8763.54,10.75,0.250,,52000, 07:08,,,,,,,,,,1402,,,,,,,,,,35.37604213,-119.08351142,109.085,GIRTH WELD,,,,MFL/CLP,,
27,Weld - Bend Begin,,177.10,144+52,12.72,4.07,4.07,150,Bakersfield Station (142+76),177.10,Block Valve #4.46 (232+30),8750.82,10.75,0.250,,52000,,,,,,,,,,,1402,,,,,,,,,,35.37600730,-119.08351222,109.139,GIRTH WELD,,,,MFL/CLP,,
28,Bend,,179.13,144+54,2.03,4.07,4.07,150,Bakersfield Station (142+76),179.13,Block Valve #4.46 (232+30),8748.78,10.75,0.250,,52000,,,,,,,,,,,1402,,,,,,,,,,35.37600222,-119.08351447,109.254,3.0D 85 DEG BEND-FORGED RIGHT,,,,MFL/CLP,,
29,Weld - Bend End - Change in Wall Thickness ,,181.17,144+56,4.07,34.65,34.65,160,Bakersfield Station (142+76),181.17,Block Valve #4.46 (232+30),8746.75,10.75,0.203,,52000, 03:56,,,,,,,,,,1402,,,,,,,,,,35.37600044,-119.08352062,109.574,GIRTH WELD NWT 0.250/0.203IN,,,,MFL/CLP,,
30,Weld,,215.82,144+90,34.65,39.98,39.98,170,Bakersfield Station (142+76),215.82,Block Valve #4.46 (232+30),8712.09,10.75,0.203,,52000, 06:04,,,,,,,,,,1402,,,,,,,,,,35.37600076,-119.08363612,112.170,GIRTH WELD,,,,MFL/CLP,,
31,Weld,,255.80,145+30,39.98,39.89,39.89,180,Bakersfield Station (142+76),255.80,Block Valve #4.46 (232+30),8672.11,10.75,0.203,,52000, 08:16,,,,,,,,,,1402,,,,,,,,,,35.37600085,-119.08377010,112.162,GIRTH WELD,,,,MFL/CLP,,
32,Weld,,295.69,145+69,39.89,39.80,39.80,190,Bakersfield Station (142+76),295.69,Block Valve #4.46 (232+30),8632.23,10.75,0.203,,52000, 09:20,,,,,,,,,,1402,,,,,,,,,,35.37600132,-119.08390378,112.003,GIRTH WELD,,,,MFL/CLP,,
33,Anomaly - Corrosion,EXT,302.89,145+76,7.21,32.59,39.80,190,Bakersfield Station (142+76),302.89,Block Valve #4.46 (232+30),8625.02,10.75,0.203,,52000, 09:20,15,0.03,,,,,0.2,0.2, 06:09,1402,2340,1685,1414,0.832,1.191,2339.3,1684.3,,,35.37600147,-119.08392793,111.938,EXT ML,Pinhole,,,MFL/CLP,,
34,Anomaly - Corrosion,EXT,303.88,145+77,8.20,31.60,39.80,190,Bakersfield Station (142+76),303.88,Block Valve #4.46 (232+30),8624.03,10.75,0.203,,52000, 09:20,15,0.03,,,,,1.0,1.1, 05:29,1402,2303,1658,1414,0.846,1.173,2294.9,1652.3,,,35.37600149,-119.08393124,111.934,EXT ML,Pitting,,,MFL/CLP,,
35,Anomaly - Corrosion,EXT,305.45,145+79,9.76,30.04,39.80,190,Bakersfield Station (142+76),305.45,Block Valve #4.46 (232+30),8622.46,10.75,0.203,,52000, 09:20,17,0.03,,,,,0.9,1.0, 08:07,1402,2305,1660,1414,0.845,1.174,2297.9,1654.5,,,35.37600152,-119.08393649,111.924,EXT ML,Pitting,,,MFL/CLP,,
36,Anomaly - Corrosion Cluster,EXT,305.56,145+79,9.88,29.92,39.80,190,Bakersfield Station (142+76),305.56,Block Valve #4.46 (232+30),8622.35,10.75,0.203,,52000, 09:20,16,0.03,,,,,3.5,5.1, 07:17,1402,2163,1557,1414,0.900,1.101,2239.4,1612.4,,,35.37600152,-119.08393688,111.924,EXT ML,General Metal Loss,,,MFL/CLP,,
37,Anomaly - Corrosion,EXT,306.82,145+80,11.13,28.67,39.80,190,Bakersfield Station (142+76),306.82,Block Valve #4.46 (232+30),8621.10,10.75,0.203,,52000, 09:20,16,0.03,,,,,0.4,0.2, 08:49,1402,2334,1680,1414,0.835,1.188,2332.0,1679.0,,,35.37600154,-119.08394107,111.920,EXT ML,Axial Slotting,,,MFL/CLP,,
38,Anomaly - Corrosion,EXT,306.97,145+80,11.28,28.52,39.80,190,Bakersfield Station (142+76),306.97,Block Valve #4.46 (232+30),8620.95,10.75,0.203,,52000, 09:20,18,0.04,,,,,0.6,0.9, 08:36,1402,2322,1672,1414,0.839,1.182,2317.8,1668.8,,,35.37600154,-119.08394157,111.920,EXT ML,Pitting,,,MFL/CLP,,
39,Weld,,335.49,146+09,39.80,39.92,39.92,200,Bakersfield Station (142+76),335.49,Block Valve #4.46 (232+30),8592.43,10.75,0.203,,52000, 01:12,,,,,,,,,,1402,,,,,,,,,,35.37600183,-119.08403714,112.030,GIRTH WELD,,,,MFL/CLP,,
40,Additional Metal/Material - Other,,344.71,146+18,9.23,39.92,39.92,200,Bakersfield Station (142+76),344.71,Block Valve #4.46 (232+30),8583.20,10.75,0.203,,52000, 01:12,,,,,,,,, 07:00,1402,,,,,,,,,,35.37600197,-119.08406807,111.986,CLOSE METAL OBJECT,,,,MFL/CLP,,
41,Weld,,375.40,146+48,39.92,40.12,40.12,210,Bakersfield Station (142+76),375.40,Block Valve #4.46 (232+30),8552.51,10.75,0.203,,52000, 09:24,,,,,,,,,,1402,,,,,,,,,,35.37600219,-119.08417092,111.798,GIRTH WELD,,,,MFL/CLP,,
42,Weld,,415.53,146+88,40.12,40.01,40.01,220,Bakersfield Station (142+76),415.53,Block Valve #4.46 (232+30),8512.39,10.75,0.203,,52000, 04:56,,,,,,,,,,1402,,,,,,,,,,35.37600171,-119.08430536,112.145,GIRTH WELD,,,,MFL/CLP,,
43,Weld,,455.54,147+28,40.01,40.01,40.01,230,Bakersfield Station (142+76),455.54,Block Valve #4.46 (232+30),8472.38,10.75,0.203,,52000, 02:52,,,,,,,,,,1402,,,,,,,,,,35.37600120,-119.08443945,112.036,GIRTH WELD,,,,MFL/CLP,,
44,Weld,,495.55,147+68,40.01,37.09,37.09,240,Bakersfield Station (142+76),495.55,Block Valve #4.46 (232+30),8432.36,10.75,0.203,,52000, 02:36,,,,,,,,,,1402,,,,,,,,,,35.37600058,-119.08457356,112.199,GIRTH WELD,,,,MFL/CLP,,
45,Weld,,532.64,148+04,37.09,39.98,39.98,250,Bakersfield Station (142+76),532.64,Block Valve #4.46 (232+30),8395.27,10.75,0.203,,52000, 06:56,,,,,,,,,,1402,,,,,,,,,,35.37600043,-119.08469784,112.070,GIRTH WELD,,,,MFL/CLP,,
