Feature Number (sequential order),Pipeline Feature,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference Name,UpStreamDistanceFrom,DownstreamName,DownstreamDistanceTo,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G PBURST,Modified B31.G PSAFE,Design Pressure (72% SMYS),ERF_MOP_SAFE,RPR_PBURST_100_SMYS,Effective Area P Burst,Effective Area P Safe,Group Number,Group Category,NAD 83 Latitude,NAD 83 Longitude,NAVD 88,Comments,POF Classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
2061,Repair - Welded Sleeve End,,41727.77,563+28,1.08,40.11,40.11,11980,AGM 9 ,3600.79,Block Valve #13 (625+92),6189.08,10.75,0.203,,52000, 10:40,,,,,,,,,,1402,,,,,,,,,,35.27423985,-119.08697168,106.083,REPAIR-SHELL END,,,,MFL/CLP,,
2062,Weld,,41766.79,563+68,40.11,40.05,40.05,11990,AGM 9 ,3639.82,Block Valve #13 (625+92),6150.06,10.75,0.203,,52000, 01:24,,,,,,,,,,1402,,,,,,,,,,35.27415833,-119.08688640,106.077,GIRTH WELD,,,,MFL/CLP,,
2063,Weld,,41806.84,564+08,40.05,39.93,39.93,12000,AGM 9 ,3679.86,Block Valve #13 (625+92),6110.01,10.75,0.203,,52000, 11:04,,,,,,,,,,1402,,,,,,,,,,35.27407473,-119.08679881,106.375,GIRTH WELD,,,,MFL/CLP,,
2064,Weld,,41846.77,564+48,39.93,38.54,38.54,12010,AGM 9 ,3719.80,Block Valve #13 (625+92),6070.08,10.75,0.203,,52000, 12:32,,,,,,,,,,1402,,,,,,,,,,35.27399096,-119.08671205,106.893,GIRTH WELD,,,,MFL/CLP,,
2065,Anomaly - Corrosion,EXT,41881.83,564+84,35.06,3.47,38.54,12010,AGM 9 ,3754.86,Block Valve #13 (625+92),6035.01,10.75,0.203,,52000, 12:32,15,0.03,,,,,0.8,0.9, 07:11,1402,2315,1667,1414,0.841,1.179,2309.6,1662.9,,,35.27391744,-119.08663583,106.583,EXT ML,Pitting,,,MFL/CLP,,
2066,Anomaly - Corrosion,EXT,41883.87,564+86,37.10,1.44,38.54,12010,AGM 9 ,3756.89,Block Valve #13 (625+92),6032.98,10.75,0.203,,52000, 12:32,18,0.04,,,,,0.7,0.8, 05:39,1402,2314,1666,1414,0.841,1.178,2308.5,1662.1,,,35.27391318,-119.08663141,106.523,EXT ML,Pitting,,,MFL/CLP,,
2067,Weld,,41885.31,564+87,38.54,40.13,40.13,12020,AGM 9 ,3758.33,Block Valve #13 (625+92),6031.54,10.75,0.203,,52000, 10:24,,,,,,,,,,1402,,,,,,,,,,35.27391017,-119.08662828,106.486,GIRTH WELD,,,,MFL/CLP,,
2068,Anomaly - Corrosion,EXT,41918.57,565+21,33.26,6.87,40.13,12020,AGM 9 ,3791.59,Block Valve #13 (625+92),5998.28,10.75,0.203,,52000, 10:24,20,0.04,,,,,0.9,0.7, 07:13,1402,2294,1652,1414,0.849,1.168,2284.3,1644.7,,,35.27384048,-119.08655594,105.722,EXT ML,Pitting,,,MFL/CLP,,
2069,Anomaly - Corrosion Cluster,EXT,41925.37,565+28,40.06,0.07,40.13,12020,AGM 9 ,3798.40,Block Valve #13 (625+92),5991.48,10.75,0.203,,52000, 10:24,17,0.03,,,,,1.8,2.2, 09:04,1402,2238,1611,1414,0.870,1.140,2279.9,1641.5,,,35.27382619,-119.08654119,105.581,EXT ML ( GW ) ,General Metal Loss,,,MFL/CLP,,
2070,Weld,,41925.44,565+28,40.13,40.01,40.01,12030,AGM 9 ,3798.47,Block Valve #13 (625+92),5991.41,10.75,0.203,,52000, 12:48,,,,,,,,,,1402,,,,,,,,,,35.27382605,-119.08654104,105.578,GIRTH WELD,,,,MFL/CLP,,
2071,Anomaly - Corrosion,EXT,41925.59,565+28,0.15,39.86,40.01,12030,AGM 9 ,3798.62,Block Valve #13 (625+92),5991.26,10.75,0.203,,52000, 12:48,19,0.04,,,,,0.8,1.3, 03:23,1402,2304,1659,1414,0.845,1.173,2295.4,1652.7,,,35.27382573,-119.08654072,105.575,EXT ML,Pitting,,,MFL/CLP,,
2072,Anomaly - Corrosion,EXT,41925.82,565+28,0.38,39.63,40.01,12030,AGM 9 ,3798.85,Block Valve #13 (625+92),5991.03,10.75,0.203,,52000, 12:48,37,0.08,,,,,0.5,0.6, 08:35,1402,2304,1659,1414,0.845,1.173,2293.5,1651.4,,,35.27382525,-119.08654023,105.572,*EXT ML,Pitting,,,MFL/CLP,,
2073,Anomaly - Corrosion Cluster,EXT,41965.13,565+68,39.69,0.33,40.01,12030,AGM 9 ,3838.15,Block Valve #13 (625+92),5951.72,10.75,0.203,,52000, 12:48,20,0.04,,,,,1.1,1.7, 03:44,1402,2273,1637,1414,0.857,1.157,2308.1,1661.8,,,35.27374235,-119.08645547,105.587,EXT ML,Pitting,,,MFL/CLP,,
2074,Weld,,41965.45,565+68,40.01,39.87,39.87,12040,AGM 9 ,3838.48,Block Valve #13 (625+92),5951.39,10.75,0.203,,52000, 10:24,,,,,,,,,,1402,,,,,,,,,,35.27374167,-119.08645476,105.591,GIRTH WELD,,,,MFL/CLP,,
2075,Weld,,42005.33,566+08,39.87,40.02,40.02,12050,AGM 9 ,3878.35,Block Valve #13 (625+92),5911.52,10.75,0.203,,52000, 12:48,,,,,,,,,,1402,,,,,,,,,,35.27365745,-119.08636903,106.432,GIRTH WELD,,,,MFL/CLP,,
2076,Weld,,42045.35,566+48,40.02,39.92,39.92,12060,AGM 9 ,3918.37,Block Valve #13 (625+92),5871.50,10.75,0.203,,52000, 11:24,,,,,,,,,,1402,,,,,,,,,,35.27357266,-119.08628325,106.753,GIRTH WELD,,,,MFL/CLP,,
2077,Anomaly - Corrosion,EXT,42045.52,566+49,0.17,39.75,39.92,12060,AGM 9 ,3918.54,Block Valve #13 (625+92),5871.33,10.75,0.203,,52000, 11:24,17,0.03,,,,,0.7,0.4, 04:08,1402,2316,1668,1414,0.841,1.179,2310.7,1663.7,,,35.27357231,-119.08628289,106.753,EXT ML,Pitting,,,MFL/CLP,,
2078,Weld,,42085.27,566+89,39.92,40.06,40.06,12070,AGM 9 ,3958.29,Block Valve #13 (625+92),5831.58,10.75,0.203,,52000, 01:48,,,,,,,,,,1402,,,,,,,,,,35.27348878,-119.08619675,107.009,GIRTH WELD,,,,MFL/CLP,,
2079,Anomaly - Corrosion,EXT,42085.63,566+89,0.36,39.70,40.06,12070,AGM 9 ,3958.65,Block Valve #13 (625+92),5831.22,10.75,0.203,,52000, 01:48,19,0.04,,,,,0.6,0.9, 05:02,1402,2321,1671,1414,0.839,1.182,2316.2,1667.7,,,35.27348803,-119.08619596,107.010,EXT ML,Pitting,,,MFL/CLP,,
2080,Weld,,42125.32,567+29,40.06,40.01,40.01,12080,AGM 9 ,3998.35,Block Valve #13 (625+92),5791.53,10.75,0.203,,52000, 09:40,,,,,,,,,,1402,,,,,,,,,,35.27340548,-119.08610867,106.983,GIRTH WELD,,,,MFL/CLP,,
2081,Repair - Welded Sleeve Begin,,42141.79,567+45,16.46,40.01,40.01,12080,AGM 9 ,4014.81,Block Valve #13 (625+92),5775.06,10.75,0.203,,52000, 09:40,,,,,,,,,,1402,,,,,,,,,,35.27337135,-119.08607232,106.864,REPAIR-SHELL START,,,,MFL/CLP,,
2082,Anomaly - Dent Plain,,42143.81,567+47,18.49,40.01,40.01,12080,AGM 9 ,4016.83,Block Valve #13 (625+92),5773.04,10.75,0.203,,52000, 09:40,,,,,,,,, 09:45,1402,,,,,,,,,,35.27336716,-119.08606786,106.854,REPAIRED DENT,,,,MFL/CLP,,
2083,Anomaly - Dent Complex,,42143.86,567+48,18.54,40.01,40.01,12080,AGM 9 ,4016.89,Block Valve #13 (625+92),5772.99,10.75,0.203,,52000, 09:40,,,,,,,,, 08:30,1402,,,,,,,,,,35.27336706,-119.08606775,106.854,REPAIRED DENT,,,,MFL/CLP,,
2084,Anomaly - Dent Complex,,42143.96,567+48,18.64,40.01,40.01,12080,AGM 9 ,4016.98,Block Valve #13 (625+92),5772.89,10.75,0.203,,52000, 09:40,,,,,,,,, 08:45,1402,,,,,,,,,,35.27336684,-119.08606753,106.854,REPAIRED DENT,,,,MFL/CLP,,
2085,Anomaly - Dent Plain,,42144.42,567+48,19.10,40.01,40.01,12080,AGM 9 ,4017.45,Block Valve #13 (625+92),5772.43,10.75,0.203,,52000, 09:40,,,,,,,,, 07:00,1402,,,,,,,,,,35.27336589,-119.08606651,106.852,REPAIRED DENT,,,,MFL/CLP,,
2086,Anomaly - Dent Plain,,42145.43,567+49,20.11,40.01,40.01,12080,AGM 9 ,4018.46,Block Valve #13 (625+92),5771.42,10.75,0.203,,52000, 09:40,,,1.3,0.14,,,2.5,2.4, 08:45,1402,,,,,,,,,,35.27336379,-119.08606428,106.847,REPAIRED DENT,,,,MFL/CLP,,
2087,Repair - Welded Sleeve End,,42146.89,567+51,21.57,40.01,40.01,12080,AGM 9 ,4019.92,Block Valve #13 (625+92),5769.95,10.75,0.203,,52000, 09:40,,,,,,,,,,1402,,,,,,,,,,35.27336077,-119.08606106,106.842,REPAIR-SHELL END,,,,MFL/CLP,,
2088,Weld,,42165.34,567+69,40.01,33.49,33.49,12090,AGM 9 ,4038.36,Block Valve #13 (625+92),5751.51,10.75,0.203,,52000, 12:16,,,,,,,,,,1402,,,,,,,,,,35.27332233,-119.08602061,106.897,GIRTH WELD,,,,MFL/CLP,,
2089,Weld,,42198.83,568+03,33.49,6.93,6.93,12100,AGM 9 ,4071.85,Block Valve #13 (625+92),5718.02,10.75,0.203,,52000, 07:12,,,,,,,,,,1402,,,,,,,,,,35.27325218,-119.08594771,106.688,GIRTH WELD,,,,MFL/CLP,,
2090,Weld,,42205.76,568+10,6.93,38.72,38.72,12110,AGM 9 ,4078.78,Block Valve #13 (625+92),5711.09,10.75,0.203,,52000, 10:56,,,,,,,,,,1402,,,,,,,,,,35.27323767,-119.08593260,106.638,GIRTH WELD,,,,MFL/CLP,,
2091,Weld,,42244.47,568+49,38.72,40.04,40.04,12120,AGM 9 ,4117.50,Block Valve #13 (625+92),5672.38,10.75,0.203,,52000, 03:32,,,,,,,,,,1402,,,,,,,,,,35.27315669,-119.08584818,106.129,GIRTH WELD,,,,MFL/CLP,,
2092,Weld,,42284.51,568+89,40.04,39.90,39.90,12130,AGM 9 ,4157.53,Block Valve #13 (625+92),5632.34,10.75,0.203,,52000, 10:52,,,,,,,,,,1402,,,,,,,,,,35.27307289,-119.08576088,106.146,GIRTH WELD,,,,MFL/CLP,,
2093,Weld,,42324.41,569+29,39.90,37.57,37.57,12140,AGM 9 ,4197.43,Block Valve #13 (625+92),5592.44,10.75,0.203,,52000, 03:24,,,,,,,,,,1402,,,,,,,,,,35.27298945,-119.08567383,106.179,GIRTH WELD,,,,MFL/CLP,,
2094,Weld,,42361.98,569+67,37.57,40.14,40.14,12150,AGM 9 ,4235.00,Block Valve #13 (625+92),5554.87,10.75,0.203,,52000, 10:16,,,,,,,,,,1402,,,,,,,,,,35.27291072,-119.08559210,106.123,GIRTH WELD,,,,MFL/CLP,,
2095,Weld,,42402.12,570+08,40.14,40.04,40.04,12160,AGM 9 ,4275.14,Block Valve #13 (625+92),5514.73,10.75,0.203,,52000, 02:00,,,,,,,,,,1402,,,,,,,,,,35.27282667,-119.08550463,106.083,GIRTH WELD,,,,MFL/CLP,,
2096,Repair - Welded Sleeve Begin,,42439.00,570+45,36.88,40.04,40.04,12160,AGM 9 ,4312.02,Block Valve #13 (625+92),5477.85,10.75,0.203,,52000, 02:00,,,,,,,,,,1402,,,,,,,,,,35.27274928,-119.08542457,106.247,REPAIR-SHELL START,,,,MFL/CLP,,
2097,Repair - Welded Sleeve End,,42440.32,570+46,38.20,40.04,40.04,12160,AGM 9 ,4313.34,Block Valve #13 (625+92),5476.53,10.75,0.203,,52000, 02:00,,,,,,,,,,1402,,,,,,,,,,35.27274651,-119.08542169,106.265,REPAIR-SHELL END,,,,MFL/CLP,,
2098,Weld,,42442.16,570+48,40.04,40.10,40.10,12170,AGM 9 ,4315.19,Block Valve #13 (625+92),5474.69,10.75,0.203,,52000, 01:08,,,,,,,,,,1402,,,,,,,,,,35.27274264,-119.08541769,106.303,GIRTH WELD,,,,MFL/CLP,,
2099,Weld,,42482.26,570+88,40.10,40.00,40.00,12180,AGM 9 ,4355.28,Block Valve #13 (625+92),5434.59,10.75,0.203,,52000, 11:56,,,,,,,,,,1402,,,,,,,,,,35.27265836,-119.08533084,106.811,GIRTH WELD,,,,MFL/CLP,,
2100,Repair - Welded Sleeve Begin,,42498.50,571+05,16.25,40.00,40.00,12180,AGM 9 ,4371.53,Block Valve #13 (625+92),5418.35,10.75,0.203,,52000, 11:56,,,,,,,,,,1402,,,,,,,,,,35.27262415,-119.08529579,106.237,REPAIR-SHELL START,,,,MFL/CLP,,
2101,Repair - Welded Sleeve End,,42502.64,571+09,20.38,40.00,40.00,12180,AGM 9 ,4375.66,Block Valve #13 (625+92),5414.21,10.75,0.203,,52000, 11:56,,,,,,,,,,1402,,,,,,,,,,35.27261549,-119.08528682,106.119,REPAIR-SHELL END,,,,MFL/CLP,,
2102,Weld,,42522.25,571+29,40.00,37.61,37.61,12190,AGM 9 ,4395.28,Block Valve #13 (625+92),5394.60,10.75,0.203,,52000, 11:24,,,,,,,,,,1402,,,,,,,,,,35.27257447,-119.08524400,106.307,GIRTH WELD,,,,MFL/CLP,,
2103,Anomaly - Corrosion,EXT,42522.90,571+29,0.65,36.97,37.61,12190,AGM 9 ,4395.92,Block Valve #13 (625+92),5393.95,10.75,0.203,,52000, 11:24,15,0.03,,,,,0.2,0.7, 05:38,1402,2340,1685,1414,0.832,1.191,2339.3,1684.3,,,35.27257312,-119.08524260,106.315,EXT ML,Circumferential Slotting,,,MFL/CLP,,
2104,Weld,,42559.86,571+67,37.61,38.28,38.28,12200,AGM 9 ,4432.89,Block Valve #13 (625+92),5356.99,10.75,0.203,,52000, 01:36,,,,,,,,,,1402,,,,,,,,,,35.27249569,-119.08516210,106.353,GIRTH WELD,,,,MFL/CLP,,
2105,Weld,,42598.15,572+05,38.28,40.13,40.13,12210,AGM 9 ,4471.17,Block Valve #13 (625+92),5318.70,10.75,0.203,,52000, 02:00,,,,,,,,,,1402,,,,,,,,,,35.27241541,-119.08507891,106.703,GIRTH WELD,,,,MFL/CLP,,
2106,Weld,,42638.27,572+46,40.13,40.03,40.03,12220,AGM 9 ,4511.30,Block Valve #13 (625+92),5278.58,10.75,0.203,,52000, 09:08,,,,,,,,,,1402,,,,,,,,,,35.27233152,-119.08499132,106.792,GIRTH WELD,,,,MFL/CLP,,
2107,Weld,,42678.30,572+86,40.03,38.35,38.35,12230,AGM 9 ,4551.33,Block Valve #13 (625+92),5238.55,10.75,0.203,,52000, 09:40,,,,,,,,,,1402,,,,,,,,,,35.27224777,-119.08490405,106.223,GIRTH WELD,,,,MFL/CLP,,
2108,Weld,,42716.65,573+24,38.35,40.04,40.04,12240,AGM 9 ,4589.67,Block Valve #13 (625+92),5200.20,10.75,0.203,,52000, 12:40,,,,,,,,,,1402,,,,,,,,,,35.27216749,-119.08482048,105.970,GIRTH WELD,,,,MFL/CLP,,
2109,Weld,,42756.69,573+65,40.04,39.98,39.98,12250,AGM 9 ,4629.71,Block Valve #13 (625+92),5160.16,10.75,0.203,,52000, 02:08,,,,,,,,,,1402,,,,,,,,,,35.27208357,-119.08473338,106.079,GIRTH WELD,,,,MFL/CLP,,
2110,Weld,,42796.66,574+05,39.98,39.97,39.97,12260,AGM 9 ,4669.69,Block Valve #13 (625+92),5120.19,10.75,0.203,,52000, 10:08,,,,,,,,,,1402,,,,,,,,,,35.27199974,-119.08464650,106.053,GIRTH WELD,,,,MFL/CLP,,
2111,Weld,,42836.63,574+45,39.97,40.08,40.08,12270,AGM 9 ,4709.65,Block Valve #13 (625+92),5080.22,10.75,0.203,,52000, 01:24,,,,,,,,,,1402,,,,,,,,,,35.27191601,-119.08455950,106.102,GIRTH WELD,,,,MFL/CLP,,
2112,Weld,,42876.71,574+86,40.08,40.02,40.02,12280,AGM 9 ,4749.73,Block Valve #13 (625+92),5040.14,10.75,0.203,,52000, 11:20,,,,,,,,,,1402,,,,,,,,,,35.27183215,-119.08447212,106.138,GIRTH WELD,,,,MFL/CLP,,
2113,Repair - Welded Sleeve Begin,,42897.73,575+07,21.02,40.02,40.02,12280,AGM 9 ,4770.76,Block Valve #13 (625+92),5019.11,10.75,0.203,,52000, 11:20,,,,,,,,,,1402,,,,,,,,,,35.27178820,-119.08442620,106.181,REPAIR-SHELL START,,,,MFL/CLP,,
2114,Anomaly - Dent Plain,,42898.94,575+08,22.24,40.02,40.02,12280,AGM 9 ,4771.97,Block Valve #13 (625+92),5017.90,10.75,0.203,,52000, 11:20,,,1.1,0.12,,,2.5,2.4, 10:00,1402,,,,,,,,,,35.27178567,-119.08442356,106.183,REPAIRED DENT,,,,MFL/CLP,,
2115,Repair - Welded Sleeve End,,42900.18,575+09,23.47,40.02,40.02,12280,AGM 9 ,4773.21,Block Valve #13 (625+92),5016.67,10.75,0.203,,52000, 11:20,,,,,,,,,,1402,,,,,,,,,,35.27178308,-119.08442085,106.188,REPAIR-SHELL END,,,,MFL/CLP,,
2116,Weld,,42916.73,575+26,40.02,39.06,39.06,12290,AGM 9 ,4789.75,Block Valve #13 (625+92),5000.12,10.75,0.203,,52000, 09:12,,,,,,,,,,1402,,,,,,,,,,35.27174853,-119.08438466,106.221,GIRTH WELD,,,,MFL/CLP,,
2117,Weld,,42955.79,575+65,39.06,40.13,40.13,12300,AGM 9 ,4828.82,Block Valve #13 (625+92),4961.05,10.75,0.203,,52000, 02:52,,,,,,,,,,1402,,,,,,,,,,35.27166683,-119.08429942,106.209,GIRTH WELD,,,,MFL/CLP,,
2118,Weld,,42995.93,576+06,40.13,40.07,40.07,12310,AGM 9 ,4868.95,Block Valve #13 (625+92),4920.92,10.75,0.203,,52000, 10:40,,,,,,,,,,1402,,,,,,,,,,35.27158282,-119.08421197,106.259,GIRTH WELD,,,,MFL/CLP,,
2119,Weld,,43035.99,576+46,40.07,39.96,39.96,12320,AGM 9 ,4909.02,Block Valve #13 (625+92),4880.86,10.75,0.203,,52000, 01:12,,,,,,,,,,1402,,,,,,,,,,35.27149913,-119.08412440,106.292,GIRTH WELD,,,,MFL/CLP,,
2120,Weld,,43075.96,576+86,39.96,40.07,40.07,12330,AGM 9 ,4948.98,Block Valve #13 (625+92),4840.89,10.75,0.203,,52000, 09:52,,,,,,,,,,1402,,,,,,,,,,35.27141535,-119.08403748,106.312,GIRTH WELD,,,,MFL/CLP,,
2121,Weld,,43116.02,577+27,40.07,39.70,39.70,12340,AGM 9 ,4989.05,Block Valve #13 (625+92),4800.82,10.75,0.203,,52000, 09:56,,,,,,,,,,1402,,,,,,,,,,35.27133126,-119.08395048,106.378,GIRTH WELD,,,,MFL/CLP,,
2122,Weld,,43155.72,577+67,39.70,40.05,40.05,12350,AGM 9 ,5028.74,Block Valve #13 (625+92),4761.13,10.75,0.203,,52000, 11:24,,,,,,,,,,1402,,,,,,,,,,35.27124804,-119.08386414,106.387,GIRTH WELD,,,,MFL/CLP,,
2123,Weld,,43195.77,578+07,40.05,40.16,40.16,12360,AGM 9 ,5068.79,Block Valve #13 (625+92),4721.08,10.75,0.203,,52000, 02:20,,,,,,,,,,1402,,,,,,,,,,35.27116420,-119.08377689,106.203,GIRTH WELD,,,,MFL/CLP,,
2124,Weld,,43235.93,578+47,40.16,40.07,40.07,12370,AGM 9 ,5108.95,Block Valve #13 (625+92),4680.92,10.75,0.203,,52000, 01:04,,,,,,,,,,1402,,,,,,,,,,35.27108028,-119.08368918,106.331,GIRTH WELD,,,,MFL/CLP,,
2125,Weld,,43276.00,578+88,40.07,39.92,39.92,12380,AGM 9 ,5149.02,Block Valve #13 (625+92),4640.85,10.75,0.203,,52000, 10:40,,,,,,,,,,1402,,,,,,,,,,35.27099649,-119.08360171,106.365,GIRTH WELD,,,,MFL/CLP,,
2126,Weld,,43315.92,579+28,39.92,38.91,38.91,12390,AGM 9 ,5188.94,Block Valve #13 (625+92),4600.93,10.75,0.203,,52000, 02:52,,,,,,,,,,1402,,,,,,,,,,35.27091301,-119.08351463,106.499,GIRTH WELD,,,,MFL/CLP,,
2127,Weld,,43354.83,579+67,38.91,40.11,40.11,12400,AGM 9 ,5227.85,Block Valve #13 (625+92),4562.02,10.75,0.203,,52000, 12:32,,,,,,,,,,1402,,,,,,,,,,35.27083221,-119.08342889,106.464,GIRTH WELD,,,,MFL/CLP,,
2128,Weld,,43394.93,580+08,40.11,40.15,40.15,12410,AGM 9 ,5267.96,Block Valve #13 (625+92),4521.91,10.75,0.203,,52000, 09:40,,,,,,,,,,1402,,,,,,,,,,35.27074902,-119.08334038,106.470,GIRTH WELD,,,,MFL/CLP,,
2129,Weld,,43435.09,580+48,40.15,39.98,39.98,12420,AGM 9 ,5308.11,Block Valve #13 (625+92),4481.76,10.75,0.203,,52000, 11:36,,,,,,,,,,1402,,,,,,,,,,35.27066550,-119.08325213,106.448,GIRTH WELD,,,,MFL/CLP,,
2130,Weld,,43475.07,580+88,39.98,39.73,39.73,12430,AGM 9 ,5348.09,Block Valve #13 (625+92),4441.78,10.75,0.203,,52000, 11:16,,,,,,,,,,1402,,,,,,,,,,35.27058189,-119.08316487,106.434,GIRTH WELD,,,,MFL/CLP,,
2131,Weld,,43514.80,581+28,39.73,37.20,37.20,12440,AGM 9 ,5387.82,Block Valve #13 (625+92),4402.05,10.75,0.203,,52000, 01:00,,,,,,,,,,1402,,,,,,,,,,35.27049926,-119.08307751,106.422,GIRTH WELD,,,,MFL/CLP,,
2132,Weld,,43552.00,581+66,37.20,39.84,39.84,12450,AGM 9 ,5425.02,Block Valve #13 (625+92),4364.85,10.75,0.203,,52000, 12:12,,,,,,,,,,1402,,,,,,,,,,35.27042194,-119.08299568,106.446,GIRTH WELD,,,,MFL/CLP,,
2133,Weld,,43591.84,582+06,39.84,39.99,39.99,12460,AGM 9 ,5464.87,Block Valve #13 (625+92),4325.01,10.75,0.203,,52000, 08:52,,,,,,,,,,1402,,,,,,,,,,35.27033919,-119.08290789,106.438,GIRTH WELD,,,,MFL/CLP,,
2134,Weld,,43631.83,582+46,39.99,38.25,38.25,12470,AGM 9 ,5504.86,Block Valve #13 (625+92),4285.02,10.75,0.203,,52000, 01:04,,,,,,,,,,1402,,,,,,,,,,35.27025651,-119.08281929,106.453,GIRTH WELD,,,,MFL/CLP,,
2135,Weld,,43670.08,582+85,38.25,37.10,37.10,12480,AGM 9 ,5543.10,Block Valve #13 (625+92),4246.77,10.75,0.203,,52000, 11:24,,,,,,,,,,1402,,,,,,,,,,35.27017706,-119.08273510,106.437,GIRTH WELD,,,,MFL/CLP,,
2136,Weld,,43707.18,583+22,37.10,39.71,39.71,12490,AGM 9 ,5580.20,Block Valve #13 (625+92),4209.67,10.75,0.203,,52000, 11:24,,,,,,,,,,1402,,,,,,,,,,35.27009966,-119.08265384,106.323,GIRTH WELD,,,,MFL/CLP,,
2137,Weld,,43746.89,583+62,39.71,39.70,39.70,12500,AGM 9 ,5619.92,Block Valve #13 (625+92),4169.96,10.75,0.203,,52000, 02:00,,,,,,,,,,1402,,,,,,,,,,35.27001715,-119.08256640,106.222,GIRTH WELD,,,,MFL/CLP,,
2138,Weld,,43786.59,584+02,39.70,39.92,39.92,12510,AGM 9 ,5659.62,Block Valve #13 (625+92),4130.26,10.75,0.203,,52000, 11:52,,,,,,,,,,1402,,,,,,,,,,35.26993468,-119.08247900,106.184,GIRTH WELD,,,,MFL/CLP,,
2139,Anomaly - Corrosion,EXT,43825.91,584+42,39.32,0.60,39.92,12510,AGM 9 ,5698.94,Block Valve #13 (625+92),4090.94,10.75,0.203,,52000, 11:52,17,0.03,,,,,0.2,0.2, 05:36,1402,2339,1684,1414,0.832,1.191,2338.9,1684.0,,,35.26985279,-119.08239270,106.222,EXT ML,Pinhole,,,MFL/CLP,,
2140,Weld,,43826.51,584+42,39.92,39.94,39.94,12520,AGM 9 ,5699.54,Block Valve #13 (625+92),4090.34,10.75,0.203,,52000, 09:24,,,,,,,,,,1402,,,,,,,,,,35.26985154,-119.08239138,106.226,GIRTH WELD,,,,MFL/CLP,,
2141,Weld,,43866.45,584+83,39.94,40.04,40.04,12530,AGM 9 ,5739.48,Block Valve #13 (625+92),4050.39,10.75,0.203,,52000, 01:20,,,,,,,,,,1402,,,,,,,,,,35.26976857,-119.08230341,106.132,GIRTH WELD,,,,MFL/CLP,,
2142,Weld,,43906.50,585+23,40.04,39.86,39.86,12540,AGM 9 ,5779.52,Block Valve #13 (625+92),4010.35,10.75,0.203,,52000, 09:08,,,,,,,,,,1402,,,,,,,,,,35.26968547,-119.08221514,106.130,GIRTH WELD,,,,MFL/CLP,,
2143,Weld,,43946.36,585+63,39.86,39.81,39.81,12550,AGM 9 ,5819.38,Block Valve #13 (625+92),3970.49,10.75,0.203,,52000, 12:20,,,,,,,,,,1402,,,,,,,,,,35.26960282,-119.08212715,106.053,GIRTH WELD,,,,MFL/CLP,,
2144,Weld,,43986.16,586+03,39.81,39.53,39.53,12560,AGM 9 ,5859.19,Block Valve #13 (625+92),3930.69,10.75,0.203,,52000, 10:08,,,,,,,,,,1402,,,,,,,,,,35.26952046,-119.08203902,106.071,GIRTH WELD,,,,MFL/CLP,,
2145,Weld,,44025.69,586+43,39.53,39.97,39.97,12570,AGM 9 ,5898.71,Block Valve #13 (625+92),3891.16,10.75,0.203,,52000, 12:48,,,,,,,,,,1402,,,,,,,,,,35.26943883,-119.08195130,105.971,GIRTH WELD,,,,MFL/CLP,,
2146,Weld,,44065.66,586+83,39.97,39.92,39.92,12580,AGM 9 ,5938.68,Block Valve #13 (625+92),3851.19,10.75,0.203,,52000, 10:32,,,,,,,,,,1402,,,,,,,,,,35.26935598,-119.08186305,105.989,GIRTH WELD,,,,MFL/CLP,,
2147,Weld,,44105.57,587+23,39.92,40.08,40.08,12590,AGM 9 ,5978.60,Block Valve #13 (625+92),3811.27,10.75,0.203,,52000, 11:48,,,,,,,,,,1402,,,,,,,,,,35.26927331,-119.08177481,106.090,GIRTH WELD,,,,MFL/CLP,,
2148,Weld,,44145.65,587+64,40.08,39.95,39.95,12600,AGM 9 ,6018.68,Block Valve #13 (625+92),3771.20,10.75,0.203,,52000, 12:40,,,,,,,,,,1402,,,,,,,,,,35.26919049,-119.08168597,106.092,GIRTH WELD,,,,MFL/CLP,,
2149,Weld,,44185.60,588+04,39.95,39.85,39.85,12610,AGM 9 ,6058.63,Block Valve #13 (625+92),3731.25,10.75,0.203,,52000, 10:48,,,,,,,,,,1402,,,,,,,,,,35.26910761,-119.08159784,106.123,GIRTH WELD,,,,MFL/CLP,,
2150,Weld,,44225.45,588+44,39.85,40.00,40.00,12620,AGM 9 ,6098.47,Block Valve #13 (625+92),3691.40,10.75,0.203,,52000, 05:48,,,,,,,,,,1402,,,,,,,,,,35.26902427,-119.08151088,106.046,GIRTH WELD,,,,MFL/CLP,,
2151,Weld,,44265.45,588+84,40.00,38.96,38.96,12630,AGM 9 ,6138.47,Block Valve #13 (625+92),3651.40,10.75,0.203,,52000,,,,,,,,,,,1402,,,,,,,,,,35.26894100,-119.08142303,106.057,GIRTH WELD,,,,MFL/CLP,,
