Feature Number (sequential order),Pipeline Feature,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference Name,UpStreamDistanceFrom,DownstreamName,DownstreamDistanceTo,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G PBURST,Modified B31.G PSAFE,Design Pressure (72% SMYS),ERF_MOP_SAFE,RPR_PBURST_100_SMYS,Effective Area P Burst,Effective Area P Safe,Group Number,Group Category,NAD 83 Latitude,NAD 83 Longitude,NAVD 88,Comments,POF Classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
2484,Anomaly - Corrosion,EXT,50552.60,651+74,24.53,13.83,38.36,14480,Block Valve #13 (625+92),2635.75,Block Valve #17.6 (932+02),27920.03,10.75,0.203,,52000,,17,0.03,,,,,0.2,0.4, 08:40,1402,2338,1684,1414,0.833,1.191,2337.8,1683.2,,,35.25656884,-119.07448578,103.943,EXT ML,Pinhole,,,MFL/CLP,,
2485,Anomaly - Corrosion,EXT,50554.95,651+76,26.89,11.47,38.36,14480,Block Valve #13 (625+92),2638.11,Block Valve #17.6 (932+02),27917.68,10.75,0.203,,52000,,15,0.03,,,,,0.2,0.2, 07:35,1402,2340,1685,1414,0.832,1.191,2339.3,1684.3,,,35.25656234,-119.07448582,103.933,EXT ML,Pinhole,,,MFL/CLP,,
2486,Anomaly - Corrosion,EXT,50557.92,651+79,29.86,8.51,38.36,14480,Block Valve #13 (625+92),2641.07,Block Valve #17.6 (932+02),27914.71,10.75,0.203,,52000,,16,0.03,,,,,0.4,0.2, 07:30,1402,2335,1681,1414,0.834,1.189,2333.8,1680.3,,,35.25655414,-119.07448588,103.914,EXT ML,Pinhole,,,MFL/CLP,,
2487,Anomaly - Corrosion,EXT,50559.38,651+81,31.32,7.05,38.36,14480,Block Valve #13 (625+92),2642.53,Block Valve #17.6 (932+02),27913.25,10.75,0.203,,52000,,20,0.04,,,,,0.3,0.2, 08:46,1402,2336,1682,1414,0.834,1.190,2335.3,1681.4,,,35.25655011,-119.07448591,103.904,EXT ML,Pinhole,,,MFL/CLP,,
2488,Anomaly - Corrosion,EXT,50560.34,651+82,32.28,6.08,38.36,14480,Block Valve #13 (625+92),2643.50,Block Valve #17.6 (932+02),27912.29,10.75,0.203,,52000,,28,0.06,,,,,0.2,0.2, 08:35,1402,2338,1683,1414,0.833,1.190,2336.6,1682.3,,,35.25654743,-119.07448593,103.897,EXT ML,Pinhole,,,MFL/CLP,,
2489,Repair - Welded Sleeve Begin,,50561.47,651+83,33.41,38.36,38.36,14480,Block Valve #13 (625+92),2644.62,Block Valve #17.6 (932+02),27911.16,10.75,0.203,,52000,,,,,,,,,,,1402,,,,,,,,,,35.25654433,-119.07448595,103.892,REPAIR-SHELL START,,,,MFL/CLP,,
2490,Weld,,50566.43,651+88,38.36,40.02,40.02,14490,Block Valve #13 (625+92),2649.58,Block Valve #17.6 (932+02),27906.20,10.75,0.203,,52000,,,,,,,,,,,1402,,,,,,,,,,35.25653063,-119.07448604,103.879,GIRTH WELD,,,,MFL/CLP,,
2491,Repair - Welded Sleeve End,,50567.86,651+89,1.43,40.02,40.02,14490,Block Valve #13 (625+92),2651.01,Block Valve #17.6 (932+02),27904.77,10.75,0.203,,52000,,,,,,,,,,,1402,,,,,,,,,,35.25652668,-119.07448606,103.878,REPAIR-SHELL END,,,,MFL/CLP,,
2492,Anomaly - Corrosion,EXT,50569.15,651+91,2.72,37.30,40.02,14490,Block Valve #13 (625+92),2652.30,Block Valve #17.6 (932+02),27903.48,10.75,0.203,,52000,,17,0.03,,,,,0.4,0.2, 03:27,1402,2335,1681,1414,0.834,1.189,2333.2,1679.9,,,35.25652310,-119.07448609,103.879,EXT ML,Pinhole,,,MFL/CLP,,
2493,Anomaly - Corrosion,EXT,50569.49,651+91,3.06,36.96,40.02,14490,Block Valve #13 (625+92),2652.64,Block Valve #17.6 (932+02),27903.14,10.75,0.203,,52000,,17,0.03,,,,,0.2,0.2, 03:33,1402,2338,1684,1414,0.833,1.191,2337.8,1683.2,,,35.25652218,-119.07448609,103.880,EXT ML,Pinhole,,,MFL/CLP,,
