J. no.,J. len [ft],t [in],to u/s w. [ft],to d/s w. [ft],o'clock,Log Distance,Severity Rule,event,depth [%],OD Reduction,length [in],width [in],internal,ERF - 0.85dl,RPR - 0.85dl,SMYS [psi],Comment,Latitude ,Longitude 
5990,44.23,0.219,,,,24630.28,,Girth Weld,,,,,,,,52000,,47.74908146,-103.35267621
6000,44.02,0.219,,,,24674.51,,Girth Weld,,,,,,,,52000,,47.74908200,-103.35285850
6010,43.65,0.219,,,,24718.53,,Girth Weld,,,,,,,,52000,,47.74908098,-103.35303990
6020,44.17,0.219,,,,24762.18,,Girth Weld,,,,,,,,52000,,47.74907941,-103.35321973
6030,44.19,0.219,,,,24806.34,,Girth Weld,,,,,,,,52000,,47.74907963,-103.35340161
6040,44.19,0.219,,,,24850.53,,Girth Weld,,,,,,,,52000,,47.74908051,-103.35358342
6050,44.25,0.219,,,,24894.72,,Girth Weld,,,,,,,,52000,,47.74908054,-103.35376547
6060,44.13,0.219,,,,24938.97,,Girth Weld,,,,,,,,52000,,47.74908061,-103.35394783
6070,44.06,0.219,,,,24983.10,,Girth Weld,,,,,,,,52000,,47.74908026,-103.35412971
6080,44.06,0.219,,,,25027.16,,Girth Weld,,,,,,,,52000,,47.74907944,-103.35431130
6090,44.2,0.219,,,,25071.22,,Girth Weld,,,,,,,,52000,,47.74907813,-103.35449289
6100,44.35,0.219,,,,25115.42,,Girth Weld,,,,,,,,52000,,47.74907747,-103.35467506
6110,44.16,0.219,,,,25159.77,,Girth Weld,,,,,,,,52000,,47.74907682,-103.35485782
6120,44.31,0.219,,,,25203.93,,Girth Weld,,,,,,,,52000,,47.74907584,-103.35503983
6130,44.04,0.219,,,,25248.25,,Girth Weld,,,,,,,,52000,,47.74907512,-103.35522217
6140,43.98,0.219,,,,25292.28,,Girth Weld,,,,,,,,52000,,47.74907502,-103.35540319
6150,43.61,0.219,,,,25336.26,,Girth Weld,,,,,,,,52000,,47.74907393,-103.35558416
6160,44.09,0.219,,,,25379.87,,Girth Weld,,,,,,,,52000,,47.74907257,-103.35576365
6170,44.04,0.219,,,,25423.96,,Girth Weld,,,,,,,,52000,,47.74907133,-103.35594514
6180,44.13,0.219,,,,25468.00,,Girth Weld,,,,,,,,52000,,47.74907079,-103.35612651
6190,43.92,0.219,,,,25512.13,,Girth Weld,,,,,,,,52000,,47.74907057,-103.35630823
6200,43.83,0.219,,,,25556.06,,Girth Weld,,,,,,,,52000,,47.74907055,-103.35648914
6210,44.19,0.219,,,,25599.89,,Girth Weld,,,,,,,,52000,,47.74906982,-103.35666968
6220,44.07,0.219,,,,25644.08,,Girth Weld,,,,,,,,52000,,47.74906909,-103.35685159
6230,44.19,0.219,,,,25688.15,,Girth Weld,,,,,,,,52000,,47.74906795,-103.35703313
6240,44.12,0.219,,,,25732.34,,Girth Weld,,,,,,,,52000,,47.74906709,-103.35721521
6250,40.51,0.219,,,,25776.46,,Girth Weld,,,,,,,,52000,,47.74906715,-103.35739684
6260,44.14,0.219,,,,25816.97,,Girth Weld,,,,,,,,52000,,47.74906917,-103.35756377
6270,44.2,0.219,,,,25861.11,,Girth Weld,,,,,,,,52000,,47.74909254,-103.35774049
6280,8.67,0.219,,,,25905.31,,Girth Weld,,,,,,,,52000,,47.74916209,-103.35788801
6290,44,0.219,,,,25913.98,,Girth Weld,,,,,,,,52000,,47.74917968,-103.35791245
6300,44.06,0.219,,,,25957.98,,Girth Weld,,,,,,,,52000,,47.74928571,-103.35799677
6310,35.44,0.219,,,,26002.04,,Girth Weld,,,,,,,,52000,,47.74940675,-103.35801403
6320,44.25,0.219,,,,26037.48,,Girth Weld,,,,,,,,52000,,47.74950523,-103.35801117
6330,44.01,0.219,,,,26081.73,,Girth Weld,,,,,,,,52000,,47.74962821,-103.35800884
6340,44.43,0.219,,,,26125.74,,Girth Weld,,,,,,,,52000,,47.74975052,-103.35800749
6350,44.37,0.219,,,,26170.17,,Girth Weld,,,,,,,,52000,,47.74987402,-103.35800618
6360,44.08,0.219,,,,26214.54,,Girth Weld,,,,,,,,52000,,47.74999734,-103.35800658
6370,44.28,0.219,,,,26258.62,,Girth Weld,,,,,,,,52000,,47.75011986,-103.35800793
6380,44.52,0.219,,,,26302.90,,Girth Weld,,,,,,,,52000,,47.75024292,-103.35801009
6390,44.1,0.219,,,,26347.41,,Girth Weld,,,,,,,,52000,,47.75036661,-103.35801241
6400,44.52,0.219,,,,26391.51,,Girth Weld,,,,,,,,52000,,47.75048912,-103.35801442
6410,44.09,0.219,,,,26436.03,,Girth Weld,,,,,,,,52000,,47.75061283,-103.35801690
6420,44.15,0.219,,,,26480.12,,Girth Weld,,,,,,,,52000,,47.75073538,-103.35801796
6430,44.33,0.219,,,,26524.27,,Girth Weld,,,,,,,,52000,,47.75085812,-103.35801838
6440,44.33,0.219,,,,26568.60,,Girth Weld,,,,,,,,52000,,47.75098124,-103.35801888
6450,44.35,0.219,,,,26612.94,,Girth Weld,,,,,,,,52000,,47.75110437,-103.35801865
6460,44.22,0.219,,,,26657.28,,Girth Weld,,,,,,,,52000,,47.75122753,-103.35801837
6470,44.49,0.219,,,,26701.50,,Girth Weld,,,,,,,,52000,,47.75135038,-103.35801786
6480,43.67,0.219,,,,26745.99,,Girth Weld,,,,,,,,52000,,47.75147406,-103.35801830
6490,44.23,0.219,,,,26789.66,,Girth Weld,,,,,,,,52000,,47.75159544,-103.35801869
6500,44.24,0.219,,,,26833.88,,Girth Weld,,,,,,,,52000,,47.75171838,-103.35801923
6510,44.27,0.219,,,,26878.12,,Girth Weld,,,,,,,,52000,,47.75184134,-103.35801954
6520,44.24,0.219,,,,26922.39,,Girth Weld,,,,,,,,52000,,47.75196439,-103.35802012
6530,43.61,0.219,,,,26966.63,,Girth Weld,,,,,,,,52000,,47.75208735,-103.35802074
6540,44.26,0.219,,,,27010.24,,Girth Weld,,,,,,,,52000,,47.75220854,-103.35802076
6550,44.43,0.219,,,,27054.50,,Girth Weld,,,,,,,,52000,,47.75233155,-103.35801997
6560,44.17,0.219,,,,27098.93,,Girth Weld,,,,,,,,52000,,47.75245506,-103.35801987
6570,44.13,0.219,,,,27143.11,,Girth Weld,,,,,,,,52000,,47.75257785,-103.35802108
6580,7.99,0.219,,,,27187.24,,Girth Weld,,,,,,,,52000,,47.75270052,-103.35802273
6590,36.99,0.219,,,,27195.22,,Girth Weld,,,,,,,,52000,,47.75272272,-103.35802304
6600,44.19,0.219,,,,27232.22,,Girth Weld,,,,,,,,52000,,47.75282553,-103.35802434
6610,43.97,0.219,,,,27276.40,,Girth Weld,,,,,,,,52000,,47.75294531,-103.35805660
6620,44.28,0.219,,,,27320.37,,Girth Weld,,,,,,,,52000,,47.75306056,-103.35811685
6630,44.26,0.219,,,,27364.65,,Girth Weld,,,,,,,,52000,,47.75317659,-103.35817764
6640,44.38,0.219,,,,27408.91,,Girth Weld,,,,,,,,52000,,47.75329015,-103.35824677
6650,44.19,0.219,,,,27453.28,,Girth Weld,,,,,,,,52000,,47.75339008,-103.35835362
6660,44.38,0.219,,,,27497.48,,Girth Weld,,,,,,,,52000,,47.75348258,-103.35847264
6670,44.14,0.219,,,,27541.86,,Girth Weld,,,,,,,,52000,,47.75355580,-103.35861976
6680,44.34,0.219,,,,27586.00,,Girth Weld,,,,,,,,52000,,47.75362997,-103.35876467
6690,43.82,0.219,,,,27630.34,,Girth Weld,,,,,,,,52000,,47.75370687,-103.35890749
6700,44.11,0.219,,,,27674.16,,Girth Weld,,,,,,,,52000,,47.75378475,-103.35904637
6710,43.89,0.219,,,,27718.27,,Girth Weld,,,,,,,,52000,,47.75386440,-103.35918459
6720,44.23,0.219,,,,27762.16,,Girth Weld,,,,,,,,52000,,47.75394420,-103.35932144
6730,44.17,0.219,,,,27806.39,,Girth Weld,,,,,,,,52000,,47.75402395,-103.35946007
6740,28.19,0.219,,,,27850.56,,Girth Weld,,,,,,,,52000,,47.75411329,-103.35958450
6750,40.54,0.219,,,,27878.75,,Girth Weld,,,,,,,,52000,,47.75417075,-103.35966331
6760,44.29,0.219,,,,27919.29,,Girth Weld,,,,,,,,52000,,47.75425340,-103.35977666
6770,44.1,0.219,,,,27963.58,,Girth Weld,,,,,,,,52000,,47.75434417,-103.35989985
6780,43.62,0.219,,,,28007.68,,Girth Weld,,,,,,,,52000,,47.75443471,-103.36002233
6790,44.08,0.219,,,,28051.31,,Girth Weld,,,,,,,,52000,,47.75452368,-103.36014450
6800,44.09,0.219,,,,28095.38,,Girth Weld,,,,,,,,52000,,47.75461334,-103.36026830
6810,42.68,0.219,,,,28139.47,,Girth Weld,,,,,,,,52000,,47.75470285,-103.36039243
6820,44.03,0.219,,,,28182.16,,Girth Weld,,,,,,,,52000,,47.75478944,-103.36051255
6830,44.11,0.219,,,,28226.19,,Girth Weld,,,,,,,,52000,,47.75487826,-103.36063734
6840,44,0.219,,,,28270.30,,Girth Weld,,,,,,,,52000,,47.75496735,-103.36076219
6850,44.06,0.219,,,,28314.30,,Girth Weld,,,,,,,,52000,,47.75505592,-103.36088703
6860,43.38,0.219,,,,28358.36,,Girth Weld,,,,,,,,52000,,47.75514477,-103.36101158
6870,43.79,0.219,,,,28401.75,,Girth Weld,,,,,,,,52000,,47.75523278,-103.36113321
6880,44.27,0.219,,,,28445.53,,Girth Weld,,,,,,,,52000,,47.75532174,-103.36125543
6890,44.11,0.219,,,,28489.80,,Girth Weld,,,,,,,,52000,,47.75541213,-103.36137825
6900,44.18,0.219,,,,28533.92,,Girth Weld,,,,,,,,52000,,47.75550290,-103.36149960
6910,44.3,0.219,,,,28578.10,,Girth Weld,,,,,,,,52000,,47.75559416,-103.36162091
6920,43.94,0.219,,,,28622.39,,Girth Weld,,,,,,,,52000,,47.75568484,-103.36174410
6930,43.62,0.219,,,,28666.33,,Girth Weld,,,,,,,,52000,,47.75577410,-103.36186745
6940,44.13,0.219,,,,28709.94,,Girth Weld,,,,,,,,52000,,47.75586307,-103.36198929
6950,44.19,0.219,,,,28754.07,,Girth Weld,,,,,,,,52000,,47.75595366,-103.36211168
6960,43.97,0.219,,,,28798.26,,Girth Weld,,,,,,,,52000,,47.75604462,-103.36223376
6970,43.88,0.219,,,,28842.22,,Girth Weld,,,,,,,,52000,,47.75613473,-103.36235592
6980,44.24,0.219,,,,28886.11,,Girth Weld,,,,,,,,52000,,47.75622467,-103.36247809
6990,44.01,0.219,,,,28930.35,,Girth Weld,,,,,,,,52000,,47.75631574,-103.36260052
7000,44.14,0.219,,,,28974.36,,Girth Weld,,,,,,,,52000,,47.75640617,-103.36272249
7010,44.14,0.219,,,,29018.50,,Girth Weld,,,,,,,,52000,,47.75649638,-103.36284557
7020,44.18,0.219,,,,29062.64,,Girth Weld,,,,,,,,52000,,47.75658656,-103.36296870
7030,44.01,0.219,,,,29106.82,,Girth Weld,,,,,,,,52000,,47.75667557,-103.36309402
7040,44.01,0.219,,,,29150.83,,Girth Weld,,,,,,,,52000,,47.75677334,-103.36320017
7050,44.22,0.219,,,,29194.84,,Girth Weld,,,,,,,,52000,,47.75688617,-103.36327024
7060,41.13,0.219,,,,29239.06,,Girth Weld,,,,,,,,52000,,47.75700117,-103.36333452
7070,44.23,0.219,,,,29280.19,,Girth Weld,,,,,,,,52000,,47.75710885,-103.36339150
7080,43.66,0.219,,,,29324.43,,Girth Weld,,,,,,,,52000,,47.75722432,-103.36345413
7090,44.04,0.219,,,,29368.09,,Girth Weld,,,,,,,,52000,,47.75733802,-103.36351696
7100,44.23,0.219,,,,29412.13,,Girth Weld,,,,,,,,52000,,47.75745207,-103.36358287
7110,44.21,0.219,,,,29456.36,,Girth Weld,,,,,,,,52000,,47.75756840,-103.36364021
7120,43.64,0.219,,,,29500.56,,Girth Weld,,,,,,,,52000,,47.75769090,-103.36364592
7130,44.12,0.219,,,,29544.21,,Girth Weld,,,,,,,,52000,,47.75781210,-103.36364413
7140,44.22,0.219,,,,29588.33,,Girth Weld,,,,,,,,52000,,47.75793448,-103.36364284
7150,43.98,0.219,,,,29632.55,,Girth Weld,,,,,,,,52000,,47.75805722,-103.36364094
7160,43.87,0.219,,,,29676.53,,Girth Weld,,,,,,,,52000,,47.75817942,-103.36364029
7170,44.21,0.219,,,,29720.40,,Girth Weld,,,,,,,,52000,,47.75830128,-103.36364103
7180,44.08,0.219,,,,29764.61,,Girth Weld,,,,,,,,52000,,47.75842411,-103.36364146
7190,44.03,0.219,,,,29808.69,,Girth Weld,,,,,,,,52000,,47.75854645,-103.36364048
7200,43.96,0.219,,,,29852.72,,Girth Weld,,,,,,,,52000,,47.75866835,-103.36363644
7210,44.18,0.219,,,,29896.67,,Girth Weld,,,,,,,,52000,,47.75879005,-103.36363013
7220,43.89,0.219,,,,29940.85,,Girth Weld,,,,,,,,52000,,47.75891243,-103.36362536
7230,44.05,0.219,,,,29984.75,,Girth Weld,,,,,,,,52000,,47.75903414,-103.36362137
7240,43.85,0.219,,,,30028.79,,Girth Weld,,,,,,,,52000,,47.75915622,-103.36361555
7250,44.22,0.219,,,,30072.65,,Girth Weld,,,,,,,,52000,,47.75927786,-103.36360868
7260,43.96,0.219,,,,30116.86,,Girth Weld,,,,,,,,52000,,47.75940066,-103.36360145
7270,43.98,0.219,,,,30160.82,,Girth Weld,,,,,,,,52000,,47.75952271,-103.36359404
7280,44.04,0.219,,,,30204.80,,Girth Weld,,,,,,,,52000,,47.75964449,-103.36358938
7290,34.89,0.219,,,,30248.85,,Girth Weld,,,,,,,,52000,,47.75976607,-103.36358708
7300,43.92,0.219,,,,30283.74,,Girth Weld,,,,,,,,52000,,47.75986271,-103.36358488
7310,44.08,0.219,,,,30327.66,,Girth Weld,,,,,,,,52000,,47.75998476,-103.36358039
7320,44.27,0.219,,,,30371.74,,Girth Weld,,,,,,,,52000,,47.76010725,-103.36357588
7330,44.33,0.219,,,,30416.01,,Girth Weld,,,,,,,,52000,,47.76023025,-103.36357095
7340,43.99,0.219,,,,30460.35,,Girth Weld,,,,,,,,52000,,47.76035330,-103.36357089
7350,44.23,0.219,,,,30504.33,,Girth Weld,,,,,,,,52000,,47.76047054,-103.36362074
7360,44.02,0.219,,,,30548.56,,Girth Weld,,,,,,,,52000,,47.76057944,-103.36370167
7370,44.15,0.219,,,,30592.58,,Girth Weld,,,,,,,,52000,,47.76067343,-103.36381770
7380,38.51,0.219,,,,30636.73,,Girth Weld,,,,,,,,52000,,47.76076760,-103.36393411
7390,44.21,0.219,,,,30675.24,,Girth Weld,,,,,,,,52000,,47.76085066,-103.36403422
7400,43.99,0.219,,,,30719.46,,Girth Weld,,,,,,,,52000,,47.76095159,-103.36413687
7410,44.01,0.219,,,,30763.44,,Girth Weld,,,,,,,,52000,,47.76106853,-103.36418552
7420,44.18,0.219,,,,30807.45,,Girth Weld,,,,,,,,52000,,47.76119050,-103.36418840
7420,44.18,,,,,30843.17,,AGM,,,,,,,,,AGM 70,47.76128969,-103.36418509
7430,44.38,0.219,,,,30851.64,,Girth Weld,,,,,,,,52000,,47.76131308,-103.36418581
7440,44.08,0.219,,,,30896.02,,Girth Weld,,,,,,,,52000,,47.76143584,-103.36418942
7450,43.55,0.219,,,,30940.10,,Girth Weld,,,,,,,,52000,,47.76155779,-103.36419154
7460,44.26,0.219,,,,30983.65,,Girth Weld,,,,,,,,52000,,47.76167825,-103.36419088
7470,44.22,0.219,,,,31027.91,,Girth Weld,,,,,,,,52000,,47.76180047,-103.36418985
7480,43.9,0.219,,,,31072.12,,Girth Weld,,,,,,,,52000,,47.76192240,-103.36419009
7490,44.28,0.219,,,,31116.03,,Girth Weld,,,,,,,,52000,,47.76204384,-103.36419059
7500,44.34,0.219,,,,31160.30,,Girth Weld,,,,,,,,52000,,47.76216618,-103.36419222
7510,44.15,0.219,,,,31204.64,,Girth Weld,,,,,,,,52000,,47.76228877,-103.36419380
7520,44.04,0.219,,,,31248.80,,Girth Weld,,,,,,,,52000,,47.76241089,-103.36419404
7530,44,0.219,,,,31292.84,,Girth Weld,,,,,,,,52000,,47.76253255,-103.36419562
7540,44.16,0.219,,,,31336.84,,Girth Weld,,,,,,,,52000,,47.76265406,-103.36419860
7550,44.2,0.219,,,,31381.00,,Girth Weld,,,,,,,,52000,,47.76277588,-103.36420188
7560,44.32,0.219,,,,31425.21,,Girth Weld,,,,,,,,52000,,47.76289812,-103.36420417
7570,44.22,0.219,,,,31469.52,,Girth Weld,,,,,,,,52000,,47.76302068,-103.36420654
7580,44.09,0.219,,,,31513.74,,Girth Weld,,,,,,,,52000,,47.76314302,-103.36420781
7590,44.18,0.219,,,,31557.84,,Girth Weld,,,,,,,,52000,,47.76326500,-103.36420897
7600,44.04,0.219,,,,31602.01,,Girth Weld,,,,,,,,52000,,47.76338718,-103.36420920
7610,43.84,0.219,,,,31646.05,,Girth Weld,,,,,,,,52000,,47.76350901,-103.36421034
7620,44.22,0.219,,,,31689.90,,Girth Weld,,,,,,,,52000,,47.76363023,-103.36421233
7630,44.05,0.219,,,,31734.11,,Girth Weld,,,,,,,,52000,,47.76375216,-103.36421562
7640,44.06,0.219,,,,31778.17,,Girth Weld,,,,,,,,52000,,47.76387261,-103.36421884
7650,44.11,0.219,,,,31822.22,,Girth Weld,,,,,,,,52000,,47.76399438,-103.36422088
7660,44.2,0.219,,,,31866.33,,Girth Weld,,,,,,,,52000,,47.76411634,-103.36422254
7670,44.25,0.219,,,,31910.53,,Girth Weld,,,,,,,,52000,,47.76423856,-103.36422488
7680,44.29,0.219,,,,31954.78,,Girth Weld,,,,,,,,52000,,47.76436095,-103.36422826
7690,44.14,0.219,,,,31999.07,,Girth Weld,,,,,,,,52000,,47.76448347,-103.36423044
7700,44.15,0.219,,,,32043.21,,Girth Weld,,,,,,,,52000,,47.76460553,-103.36423343
7710,44.49,0.219,,,,32087.36,,Girth Weld,,,,,,,,52000,,47.76472754,-103.36423620
7720,44.21,0.219,,,,32131.85,,Girth Weld,,,,,,,,52000,,47.76485046,-103.36423871
7730,44.56,0.219,,,,32176.06,,Girth Weld,,,,,,,,52000,,47.76497257,-103.36424140
7740,44.11,0.219,,,,32220.62,,Girth Weld,,,,,,,,52000,,47.76509572,-103.36424413
7750,43.57,0.219,,,,32264.73,,Girth Weld,,,,,,,,52000,,47.76521765,-103.36424592
7760,43.97,0.219,,,,32308.30,,Girth Weld,,,,,,,,52000,,47.76533800,-103.36424787
7770,44.02,0.219,,,,32352.27,,Girth Weld,,,,,,,,52000,,47.76545952,-103.36425017
7780,43.96,0.219,,,,32396.29,,Girth Weld,,,,,,,,52000,,47.76558114,-103.36425343
7790,44.25,0.219,,,,32440.25,,Girth Weld,,,,,,,,52000,,47.76570268,-103.36425696
7800,44.16,0.219,,,,32484.50,,Girth Weld,,,,,,,,52000,,47.76582484,-103.36426117
7810,44.18,0.219,,,,32528.66,,Girth Weld,,,,,,,,52000,,47.76594660,-103.36426430
7820,44.15,0.219,,,,32572.85,,Girth Weld,,,,,,,,52000,,47.76606849,-103.36426659
7830,44.31,0.219,,,,32616.99,,Girth Weld,,,,,,,,52000,,47.76619023,-103.36426920
7840,44.19,0.219,,,,32661.30,,Girth Weld,,,,,,,,52000,,47.76631249,-103.36427203
7850,44.26,0.219,,,,32705.49,,Girth Weld,,,,,,,,52000,,47.76643438,-103.36427406
7860,44.15,0.219,,,,32749.74,,Girth Weld,,,,,,,,52000,,47.76655656,-103.36427508
7870,44.35,0.219,,,,32793.89,,Girth Weld,,,,,,,,52000,,47.76667840,-103.36427666
7880,44.28,0.219,,,,32838.24,,Girth Weld,,,,,,,,52000,,47.76680058,-103.36427931
7890,44.23,0.219,,,,32882.52,,Girth Weld,,,,,,,,52000,,47.76692249,-103.36428195
7900,44.16,0.219,,,,32926.75,,Girth Weld,,,,,,,,52000,,47.76704432,-103.36428557
7910,44.27,0.219,,,,32970.91,,Girth Weld,,,,,,,,52000,,47.76716632,-103.36428858
7920,44.16,0.219,,,,33015.18,,Girth Weld,,,,,,,,52000,,47.76728868,-103.36429268
7930,43.95,0.219,,,,33059.34,,Girth Weld,,,,,,,,52000,,47.76741055,-103.36429620
7940,44.1,0.219,,,,33103.29,,Girth Weld,,,,,,,,52000,,47.76753208,-103.36429781
7950,43.99,0.219,,,,33147.39,,Girth Weld,,,,,,,,52000,,47.76765396,-103.36429780
7960,44.2,0.219,,,,33191.38,,Girth Weld,,,,,,,,52000,,47.76777560,-103.36429845
7970,44.16,0.219,,,,33235.58,,Girth Weld,,,,,,,,52000,,47.76789776,-103.36430076
7980,35.45,0.219,,,,33279.74,,Girth Weld,,,,,,,,52000,,47.76801974,-103.36430374
7990,8.95,0.219,,,,33315.19,,Girth Weld,,,,,,,,52000,,47.76811766,-103.36430999
8000,44.31,0.219,,,,33324.14,,Girth Weld,,,,,,,,52000,,47.76814235,-103.36431221
8010,44.15,0.219,,,,33368.44,,Girth Weld,,,,,,,,52000,,47.76826041,-103.36435429
8020,44.17,0.219,,,,33412.59,,Girth Weld,,,,,,,,52000,,47.76835927,-103.36445728
8030,8.01,0.219,,,,33456.76,,Girth Weld,,,,,,,,52000,,47.76842361,-103.36460827
8040,26.71,0.219,,,,33464.78,,Girth Weld,,,,,,,,52000,,47.76843174,-103.36463879
8050,36.02,0.219,,,,33491.49,,Girth Weld,,,,,,,,52000,,47.76845841,-103.36474054
8060,44.34,0.219,,,,33527.51,,Girth Weld,,,,,,,,52000,,47.76848826,-103.36488083
8070,44.09,0.219,,,,33571.85,,Girth Weld,,,,,,,,52000,,47.76849530,-103.36506198
8080,7.17,0.219,,,,33615.93,,Girth Weld,,,,,,,,52000,,47.76849841,-103.36524220
8090,44.22,0.219,,,,33623.11,,Girth Weld,,,,,,,,52000,,47.76849920,-103.36527150
8100,44.19,0.219,,,,33667.33,,Girth Weld,,,,,,,,52000,,47.76850497,-103.36545227
8110,44.33,0.219,,,,33711.52,,Girth Weld,,,,,,,,52000,,47.76850955,-103.36563286
8120,44.13,0.219,,,,33755.86,,Girth Weld,,,,,,,,52000,,47.76851292,-103.36581354
8130,43.97,0.219,,,,33799.98,,Girth Weld,,,,,,,,52000,,47.76851639,-103.36599301
8140,44.26,0.219,,,,33843.95,,Girth Weld,,,,,,,,52000,,47.76851757,-103.36617306
8150,44.16,0.219,,,,33888.21,,Girth Weld,,,,,,,,52000,,47.76851606,-103.36635409
8160,44.3,0.219,,,,33932.37,,Girth Weld,,,,,,,,52000,,47.76851500,-103.36653488
8170,43.87,0.219,,,,33976.67,,Girth Weld,,,,,,,,52000,,47.76851555,-103.36671633
8180,44.27,0.219,,,,34020.54,,Girth Weld,,,,,,,,52000,,47.76851658,-103.36689613
8190,44.35,0.219,,,,34064.82,,Girth Weld,,,,,,,,52000,,47.76851726,-103.36707765
8200,44.29,0.219,,,,34109.16,,Girth Weld,,,,,,,,52000,,47.76851789,-103.36725941
8210,44.32,0.219,,,,34153.45,,Girth Weld,,,,,,,,52000,,47.76851920,-103.36744066
8220,44,0.219,,,,34197.78,,Girth Weld,,,,,,,,52000,,47.76851866,-103.36762190
8230,44.58,0.219,,,,34241.78,,Girth Weld,,,,,,,,52000,,47.76851862,-103.36780134
8240,44.49,0.219,,,,34286.36,,Girth Weld,,,,,,,,52000,,47.76851829,-103.36798231
8250,44.48,0.219,,,,34330.84,,Girth Weld,,,,,,,,52000,,47.76851759,-103.36816398
8260,44.38,0.219,,,,34375.32,,Girth Weld,,,,,,,,52000,,47.76851725,-103.36834650
8270,44.06,0.219,,,,34419.71,,Girth Weld,,,,,,,,52000,,47.76851724,-103.36852827
8280,44.06,0.219,,,,34463.77,,Girth Weld,,,,,,,,52000,,47.76851769,-103.36870793
8290,44.16,0.219,,,,34507.83,,Girth Weld,,,,,,,,52000,,47.76851834,-103.36888705
8300,40.88,0.219,,,,34551.99,,Girth Weld,,,,,,,,52000,,47.76851944,-103.36906678
8310,43.68,0.219,,,,34592.87,,Girth Weld,,,,,,,,52000,,47.76852042,-103.36923306
8320,1.55,0.219,,,,34636.55,,Girth Weld,,,,,,,,52000,,47.76852299,-103.36941121
8320,1.55,,,,,34637.37,,Bend,,,,,,,,,3.1D -  45 deg - Right,47.76852365,-103.36941439
8330,22.4,0.322,,,,34638.10,,Girth Weld,,,,,,,,52000,,47.76852487,-103.36941671
8340,34.41,0.219,,,,34660.50,,Girth Weld,,,,,,,,52000,,47.76856940,-103.36947930
8350,1.52,0.322,,,,34694.91,,Girth Weld,,,,,,,,52000,,47.76863837,-103.36957475
8350,1.52,,,,,34695.67,,Bend,,,,,,,,,3.0D -  45 deg - Right,47.76864022,-103.36957620
8360,9.79,0.322,,,,34696.43,,Girth Weld,,,,,,,,52000,,47.76864229,-103.36957657
8370,33.48,0.219,,,,34706.21,,Girth Weld,,,,,,,,52000,,47.76866936,-103.36957559
8380,44.41,0.219,,,,34739.70,,Girth Weld,,,,,,,,52000,,47.76876194,-103.36957282
8390,39.74,0.219,,,,34784.10,,Girth Weld,,,,,,,,52000,,47.76888473,-103.36957147
8400,44.27,0.219,,,,34823.85,,Girth Weld,,,,,,,,52000,,47.76899460,-103.36957231
8410,44.32,0.219,,,,34868.12,,Girth Weld,,,,,,,,52000,,47.76911703,-103.36957128
8420,44.29,0.219,,,,34912.44,,Girth Weld,,,,,,,,52000,,47.76923913,-103.36956726
8430,44.38,0.219,,,,34956.73,,Girth Weld,,,,,,,,52000,,47.76936084,-103.36956228
8440,44.53,0.219,,,,35001.11,,Girth Weld,,,,,,,,52000,,47.76948313,-103.36955771
8450,44.14,0.219,,,,35045.64,,Girth Weld,,,,,,,,52000,,47.76960624,-103.36955624
8460,44.47,0.219,,,,35089.78,,Girth Weld,,,,,,,,52000,,47.76972836,-103.36955788
8470,44.37,0.219,,,,35134.26,,Girth Weld,,,,,,,,52000,,47.76985134,-103.36955974
8480,44.2,0.219,,,,35178.63,,Girth Weld,,,,,,,,52000,,47.76997365,-103.36956049
8490,44.32,0.219,,,,35222.84,,Girth Weld,,,,,,,,52000,,47.77009554,-103.36956137
8500,44.44,0.219,,,,35267.15,,Girth Weld,,,,,,,,52000,,47.77021769,-103.36956235
8510,44.55,0.219,,,,35311.59,,Girth Weld,,,,,,,,52000,,47.77034055,-103.36956131
8520,44.42,0.219,,,,35356.14,,Girth Weld,,,,,,,,52000,,47.77046336,-103.36956057
8530,44.12,0.219,,,,35400.55,,Girth Weld,,,,,,,,52000,,47.77058592,-103.36955952
8540,44.71,0.219,,,,35444.67,,Girth Weld,,,,,,,,52000,,47.77070780,-103.36955844
8550,44.42,0.219,,,,35489.38,,Girth Weld,,,,,,,,52000,,47.77083139,-103.36955844
8560,44.28,0.219,,,,35533.79,,Girth Weld,,,,,,,,52000,,47.77095427,-103.36955749
8570,44.2,0.219,,,,35578.07,,Girth Weld,,,,,,,,52000,,47.77107644,-103.36955599
8580,25.71,0.219,,,,35622.28,,Girth Weld,,,,,,,,52000,,47.77119830,-103.36955458
8590,44.26,0.219,,,,35647.99,,Girth Weld,,,,,,,,52000,,47.77126915,-103.36955285
8600,44.34,0.219,,,,35692.25,,Girth Weld,,,,,,,,52000,,47.77139124,-103.36955010
8610,44.1,0.219,,,,35736.59,,Girth Weld,,,,,,,,52000,,47.77151364,-103.36954842
8620,25.89,0.219,,,,35780.69,,Girth Weld,,,,,,,,52000,,47.77163526,-103.36954730
8630,26.62,0.219,,,,35806.58,,Girth Weld,,,,,,,,52000,,47.77170686,-103.36954528
8640,4.99,0.219,,,,35833.20,,Girth Weld,,,,,,,,52000,,47.77178052,-103.36954310
8650,30.15,0.219,,,,35838.19,,Girth Weld,,,,,,,,52000,,47.77179432,-103.36954292
8660,31.12,0.219,,,,35868.34,,Girth Weld,,,,,,,,52000,,47.77187775,-103.36954256
8670,31.69,0.219,,,,35899.46,,Girth Weld,,,,,,,,52000,,47.77196384,-103.36954200
