Feature Number (sequential order),Pipeline Feature,Empty odl Standard featurename,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference name,US Dist from,Downstream (D/S) Reference name ,ds distance to,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G PBURST,Modified B31.G PSAFE,Design Pressure (72% SMYS),ERF MOP _SAFE,RPR PBURST    /      100% SMYS,Effective Area pburst,effsagepsafe,Group Number,Group Category,Nad 83 Latitude,NAD 83 Longitude,NAVD88 Elevation,Comments,POF classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
18,Anomaly - Corrosion,,EXT,38.14,00+38,24.25,26.1,50.34,30,Launch Valve - Rio Bravo Station (0+00),38.14,Block Valve  BV 7.14 (377+16),37602.39,16,0.25,,52000,,19,0.05,,,,,0.4,0.2, 02:22,1170,1933,1392,1170,0.841,1.19,1932,1391,,,35.434482,-119.2704143,329.1, EXT ML,Axial Slotting,,,MFL/CLP,,
19,Anomaly - Corrosion,,EXT,38.57,00+39,24.67,25.67,50.34,30,Launch Valve - Rio Bravo Station (0+00),38.57,Block Valve  BV 7.14 (377+16),37601.97,16,0.25,,52000,,16,0.04,,,,,1.5,1.6, 02:02,1170,1898,1366,1170,0.856,1.168,1889,1360,,,35.434482,-119.2704129,329, EXT ML,General Metal Loss,,,MFL/CLP,,
20,Weld,,,64.24,00+64,50.34,60.43,60.43,40,Launch Valve - Rio Bravo Station (0+00),64.24,Block Valve  BV 7.14 (377+16),37576.29,16,0.25,,52000, 10:24,,,,,,,,,,1170,,,1170,,,,,,,35.4344828,-119.2703278,324.5,GIRTH WELD,,,,MFL/CLP,,
21,Anomaly - Corrosion,,INT,99.16,00+99,34.93,25.5,60.43,40,Launch Valve - Rio Bravo Station (0+00),99.16,Block Valve  BV 7.14 (377+16),37541.37,16,0.25,,52000,,20,0.05,,,,,0.6,0.5, 06:19,1170,1928,1389,1170,0.843,1.187,1926,1387,,,35.4344839,-119.2702116,319.5, INT ML,Pitting,,,MFL/CLP,,
22,Anomaly - Corrosion,,INT,103.85,01+04,39.61,20.81,60.43,40,Launch Valve - Rio Bravo Station (0+00),103.85,Block Valve  BV 7.14 (377+16),37536.68,16,0.25,,52000,,15,0.04,,,,,2.4,2.8, 05:43,1170,1864,1342,1170,0.872,1.147,1850,1332,,,35.434484,-119.2701958,319.5, INT ML,General Metal Loss,,,MFL/CLP,,
23,Repair - Welded sleeve begin,,,104.72,01+05,40.48,19.95,60.43,40,Launch Valve - Rio Bravo Station (0+00),104.72,Block Valve  BV 7.14 (377+16),37535.81,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.434484,-119.2701929,319.4,REPAIR-SHELL START,,,,MFL/CLP,,
24,Repair - Welded sleeve end,,,114.73,01+15,50.49,9.93,60.43,40,Launch Valve - Rio Bravo Station (0+00),114.73,Block Valve  BV 7.14 (377+16),37525.8,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.4344841,-119.2701592,319.3,REPAIR-SHELL END,,,,MFL/CLP,,
25,Weld,,,124.67,01+25,60.43,9.5,9.5,50,Launch Valve - Rio Bravo Station (0+00),124.67,Block Valve  BV 7.14 (377+16),37515.87,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.4344842,-119.2701258,319.2,GIRTH WELD,,,,MFL/CLP,,
26,Repair - Welded sleeve begin,,,126.69,01+27,2.02,7.47,9.5,50,Launch Valve - Rio Bravo Station (0+00),126.69,Block Valve  BV 7.14 (377+16),37513.85,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.4344842,-119.270119,319.1,REPAIR-SHELL START,,,,MFL/CLP,,
27,Weld,,,134.16,01+34,9.5,60.37,60.37,60,Launch Valve - Rio Bravo Station (0+00),134.16,Block Valve  BV 7.14 (377+16),37506.37,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.4344843,-119.2700938,318.9,GIRTH WELD,,,,MFL/CLP,,
28,Off take,,,153.65,01+54,19.49,40.89,60.37,60,Launch Valve - Rio Bravo Station (0+00),153.65,Block Valve  BV 7.14 (377+16),37486.88,16,0.25,,52000,,,,,,,,,, 12:00,1170,,,1170,,,,,,,35.4344844,-119.2700282,318.6,1.0 IN OFFTAKE-WELDOLET,,,,MFL/CLP,,
29,Repair - Welded sleeve end,,,164.15,01+64,29.99,30.39,60.37,60,Launch Valve - Rio Bravo Station (0+00),164.15,Block Valve  BV 7.14 (377+16),37476.39,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.4344846,-119.2699928,318.6,REPAIR-SHELL END,,,,MFL/CLP,,
