Feature Number (sequential order),Pipeline Feature,Empty odl Standard featurename,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference name,US Dist from,Downstream (D/S) Reference name ,ds distance to,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G PBURST,Modified B31.G PSAFE,Design Pressure (72% SMYS),ERF MOP _SAFE,RPR PBURST    /      100% SMYS,Effective Area pburst,effsagepsafe,Group Number,Group Category,Nad 83 Latitude,NAD 83 Longitude,NAVD88 Elevation,Comments,POF classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
2896,Anomaly - Corrosion,,INT,72192.53,712+57,7.64,52.15,59.79,12570,Block Valve  BV 7.14 (377+16),34552,Block Valve - I-5 (1235+58),53878.44,16,0.25,,52000,,19,0.05,,,,,0.3,0.4, 03:47,1170,1935,1393,1170,0.84,1.191,1934,1393,,,35.5287086,-119.3943535,298.7, INT ML,Circumferential Slotting,,,MFL/CLP,,
2897,Anomaly - Corrosion,,INT,72196.92,712+61,12.03,47.76,59.79,12570,Block Valve  BV 7.14 (377+16),34556.39,Block Valve - I-5 (1235+58),53874.04,16,0.25,,52000,,15,0.04,,,,,0.3,0.4, 05:57,1170,1936,1394,1170,0.84,1.191,1936,1394,,,35.5287085,-119.3943683,298.6, INT ML,Circumferential Slotting,,,MFL/CLP,,
2898,Weld,,,72244.68,713+07,59.79,59.91,59.91,12580,Block Valve  BV 7.14 (377+16),34604.14,Block Valve - I-5 (1235+58),53826.29,16,0.25,,52000, 08:52,,,,,,,,,,1170,,,1170,,,,,,,35.5287129,-119.3945285,297,GIRTH WELD,,,,MFL/CLP,,
2899,Anomaly - Corrosion Cluster,,INT,72256.76,713+19,12.09,47.82,59.91,12580,Block Valve  BV 7.14 (377+16),34616.23,Block Valve - I-5 (1235+58),53814.2,16,0.25,,52000,,20,0.05,,,,,1.9,1.7, 04:59,1170,1864,1342,1170,0.872,1.147,1883,1356,,,35.5287149,-119.3945691,296.9, INT ML,General Metal Loss,,,MFL/CLP,,
2900,Anomaly - Corrosion Cluster,,INT,72271.33,713+33,26.65,33.26,59.91,12580,Block Valve  BV 7.14 (377+16),34630.8,Block Valve - I-5 (1235+58),53799.63,16,0.25,,52000,,27,0.07,,,,,2.4,2.5, 05:03,1170,1794,1292,1170,0.906,1.104,1850,1332,,,35.5287176,-119.3946179,297,*INT ML,General Metal Loss,,,MFL/CLP,,
2901,Weld,,,72304.58,713+65,59.91,59.88,59.88,12590,Block Valve  BV 7.14 (377+16),34664.05,Block Valve - I-5 (1235+58),53766.38,16,0.25,,52000, 12:00,,,,,,,,,,1170,,,1170,,,,,,,35.5287236,-119.3947295,297.3,GIRTH WELD,,,,MFL/CLP,,
2902,Weld,,,72364.47,714+24,59.88,59.76,59.76,12600,Block Valve  BV 7.14 (377+16),34723.93,Block Valve - I-5 (1235+58),53706.5,16,0.25,,52000, 10:12,,,,,,,,,,1170,,,1170,,,,,,,35.5287332,-119.3949304,297,GIRTH WELD,,,,MFL/CLP,,
2903,Weld,,,72424.23,714+82,59.76,59.97,59.97,12610,Block Valve  BV 7.14 (377+16),34783.7,Block Valve - I-5 (1235+58),53646.73,16,0.25,,52000, 12:56,,,,,,,,,,1170,,,1170,,,,,,,35.5287436,-119.3951309,296.8,GIRTH WELD,,,,MFL/CLP,,
2904,Repair - Welded sleeve begin,,,72436.35,714+93,12.12,47.85,59.97,12610,Block Valve  BV 7.14 (377+16),34795.81,Block Valve - I-5 (1235+58),53634.62,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.5287462,-119.3951715,296.7,REPAIR-SHELL START,,,,MFL/CLP,,
2905,Anomaly - Dent,,,72446.47,715+03,22.24,37.72,59.97,12610,Block Valve  BV 7.14 (377+16),34805.94,Block Valve - I-5 (1235+58),53624.49,16,0.25,,52000,,,,3.2,0.51,,,4.8,8.9, 08:45,1170,,,1170,,,,,,,35.5287477,-119.3952054,296.7, REPAIRED DENT,,,,MFL/CLP,,
2906,Repair - Welded sleeve end,,,72448.65,715+05,24.42,35.55,59.97,12610,Block Valve  BV 7.14 (377+16),34808.12,Block Valve - I-5 (1235+58),53622.31,16,0.25,,52000,,,,,,,,,,,1170,,,1170,,,,,,,35.5287477,-119.3952128,296.7,REPAIR-SHELL END,,,,MFL/CLP,,
2907,Weld,,,72484.2,715+40,59.97,59.69,59.69,12620,Block Valve  BV 7.14 (377+16),34843.67,Block Valve - I-5 (1235+58),53586.77,16,0.25,,52000, 09:48,,,,,,,,,,1170,,,1170,,,,,,,35.5287467,-119.3953322,297.2,GIRTH WELD,,,,MFL/CLP,,
2908,Weld,,,72543.89,715+98,59.69,59.78,59.78,12630,Block Valve  BV 7.14 (377+16),34903.36,Block Valve - I-5 (1235+58),53527.07,16,0.25,,52000, 12:00,,,,,,,,,,1170,,,1170,,,,,,,35.5287457,-119.3955328,297.3,GIRTH WELD,,,,MFL/CLP,,
2909,Anomaly - Corrosion,,INT,72557.76,716+11,13.87,45.91,59.78,12630,Block Valve  BV 7.14 (377+16),34917.23,Block Valve - I-5 (1235+58),53513.2,16,0.25,,52000,,18,0.05,,,,,0.4,0.2, 05:53,1170,1934,1393,1170,0.84,1.19,1933,1392,,,35.5287455,-119.3955795,297.4, INT ML,Pinhole,,,MFL/CLP,,
2910,Anomaly - Corrosion,,INT,72588.05,716+41,44.17,15.61,59.78,12630,Block Valve  BV 7.14 (377+16),34947.52,Block Valve - I-5 (1235+58),53482.91,16,0.25,,52000,,16,0.04,,,,,0.3,0.2, 06:07,1170,1935,1393,1170,0.84,1.191,1935,1393,,,35.5287448,-119.3956813,297.5, INT ML,Pinhole,,,MFL/CLP,,
2911,Anomaly - Corrosion,,EXT,72594.6,716+47,50.72,9.06,59.78,12630,Block Valve  BV 7.14 (377+16),34954.07,Block Valve - I-5 (1235+58),53476.36,16,0.25,,52000,,16,0.04,,,,,0.3,0.2, 08:59,1170,1936,1394,1170,0.84,1.191,1935,1393,,,35.5287447,-119.3957033,297.6, EXT ML,Pinhole,,,MFL/CLP,,
2912,Anomaly - Corrosion,,EXT,72594.97,716+47,51.09,8.69,59.78,12630,Block Valve  BV 7.14 (377+16),34954.44,Block Valve - I-5 (1235+58),53475.99,16,0.25,,52000,,20,0.05,,,,,0.3,0.2, 08:59,1170,1935,1393,1170,0.84,1.191,1935,1393,,,35.5287447,-119.3957045,297.6, EXT ML,Pinhole,,,MFL/CLP,,
2913,Anomaly - Corrosion,,EXT,72598.77,716+51,54.89,4.89,59.78,12630,Block Valve  BV 7.14 (377+16),34958.24,Block Valve - I-5 (1235+58),53472.19,16,0.25,,52000,,26,0.07,,,,,0.3,0.2, 08:56,1170,1933,1392,1170,0.841,1.19,1932,1391,,,35.5287446,-119.3957173,297.6, EXT ML,Pinhole,,,MFL/CLP,,
2914,Weld,,,72603.67,716+56,59.78,59.57,59.57,12640,Block Valve  BV 7.14 (377+16),34963.13,Block Valve - I-5 (1235+58),53467.3,16,0.25,,52000, 10:24,,,,,,,,,,1170,,,1170,,,,,,,35.5287446,-119.3957338,297.7,GIRTH WELD,,,,MFL/CLP,,
2915,Weld,,,72663.24,717+14,59.57,59.57,59.57,12650,Block Valve  BV 7.14 (377+16),35022.71,Block Valve - I-5 (1235+58),53407.72,16,0.25,,52000, 01:04,,,,,,,,,,1170,,,1170,,,,,,,35.5287445,-119.395934,297.6,GIRTH WELD,,,,MFL/CLP,,
2916,Weld,,,72722.81,717+71,59.57,60.41,60.41,12660,Block Valve  BV 7.14 (377+16),35082.27,Block Valve - I-5 (1235+58),53348.16,16,0.25,,52000, 10:44,,,,,,,,,,1170,,,1170,,,,,,,35.5287442,-119.3961342,297.8,GIRTH WELD,,,,MFL/CLP,,
2917,Anomaly - Corrosion,,INT,72730.46,717+79,7.65,52.76,60.41,12660,Block Valve  BV 7.14 (377+16),35089.93,Block Valve - I-5 (1235+58),53340.51,16,0.25,,52000,,18,0.05,,,,,0.4,0.4, 05:47,1170,1934,1393,1170,0.84,1.19,1933,1392,,,35.528744,-119.3961599,297.9, INT ML,Pinhole,,,MFL/CLP,,
2918,Anomaly - Corrosion,,INT,72735.52,717+84,12.71,47.7,60.41,12660,Block Valve  BV 7.14 (377+16),35094.98,Block Valve - I-5 (1235+58),53335.45,16,0.25,,52000,,15,0.04,,,,,0.3,0.3, 05:56,1170,1935,1393,1170,0.84,1.191,1935,1393,,,35.5287439,-119.3961769,297.9, INT ML,Pinhole,,,MFL/CLP,,
2919,Anomaly - Corrosion,,INT,72737.08,717+85,14.28,46.13,60.41,12660,Block Valve  BV 7.14 (377+16),35096.55,Block Valve - I-5 (1235+58),53333.88,16,0.25,,52000,,15,0.04,,,,,0.4,0.6, 05:58,1170,1935,1393,1170,0.84,1.191,1934,1393,,,35.5287439,-119.3961822,297.9, INT ML,Circumferential Slotting,,,MFL/CLP,,
2920,Anomaly - Corrosion,,INT,72762.74,718+10,39.94,20.47,60.41,12660,Block Valve  BV 7.14 (377+16),35122.21,Block Valve - I-5 (1235+58),53308.22,16,0.25,,52000,,15,0.04,,,,,0.3,0.4, 06:16,1170,1935,1393,1170,0.84,1.191,1935,1393,,,35.5287433,-119.3962685,298, INT ML,Circumferential Slotting,,,MFL/CLP,,
2921,Weld,,,72783.21,718+30,60.41,60.09,60.09,12670,Block Valve  BV 7.14 (377+16),35142.68,Block Valve - I-5 (1235+58),53287.75,16,0.25,,52000, 11:56,,,,,,,,,,1170,,,1170,,,,,,,35.5287431,-119.3963372,298,GIRTH WELD,,,,MFL/CLP,,
2922,Anomaly - Corrosion,,INT,72841.56,718+87,58.35,1.74,60.09,12670,Block Valve  BV 7.14 (377+16),35201.03,Block Valve - I-5 (1235+58),53229.4,16,0.25,,52000,,23,0.06,,,,,0.4,0.3, 02:54,1170,1933,1392,1170,0.841,1.19,1932,1391,,,35.5287417,-119.3965334,298.5, INT ML,Pinhole,,,MFL/CLP,,
2923,Weld,,,72843.3,718+88,60.09,59.59,59.59,12680,Block Valve  BV 7.14 (377+16),35202.77,Block Valve - I-5 (1235+58),53227.66,16,0.25,,52000, 10:56,,,,,,,,,,1170,,,1170,,,,,,,35.5287417,-119.3965392,298.5,GIRTH WELD,,,,MFL/CLP,,
2924,Anomaly - Corrosion,,INT,72846.04,718+91,2.74,56.85,59.59,12680,Block Valve  BV 7.14 (377+16),35205.51,Block Valve - I-5 (1235+58),53224.93,16,0.25,,52000,,16,0.04,,,,,0.4,0.5, 08:43,1170,1935,1393,1170,0.84,1.19,1934,1392,,,35.5287417,-119.3965484,298.5, INT ML,Circumferential Slotting,,,MFL/CLP,,
2925,Weld,,,72902.89,719+46,59.59,59.6,59.6,12690,Block Valve  BV 7.14 (377+16),35262.36,Block Valve - I-5 (1235+58),53168.07,16,0.25,,52000, 12:04,,,,,,,,,,1170,,,1170,,,,,,,35.528741,-119.3967395,298.6,GIRTH WELD,,,,MFL/CLP,,
2926,Anomaly - Corrosion,,INT,72956.97,719+99,54.08,5.52,59.6,12690,Block Valve  BV 7.14 (377+16),35316.43,Block Valve - I-5 (1235+58),53114,16,0.25,,52000,,16,0.04,,,,,0.3,0.4, 08:24,1170,1935,1393,1170,0.84,1.191,1935,1393,,,35.5287397,-119.3969212,298.8, INT ML,Circumferential Slotting,,,MFL/CLP,,
2927,Weld,,,72962.49,720+04,59.6,59.81,59.81,12700,Block Valve  BV 7.14 (377+16),35321.96,Block Valve - I-5 (1235+58),53108.47,16,0.25,,52000, 10:36,,,,,,,,,,1170,,,1170,,,,,,,35.5287396,-119.3969398,298.8,GIRTH WELD,,,,MFL/CLP,,
2928,Weld,,,73022.3,720+62,59.81,59.6,59.6,12710,Block Valve  BV 7.14 (377+16),35381.77,Block Valve - I-5 (1235+58),53048.66,16,0.25,,52000, 01:08,,,,,,,,,,1170,,,1170,,,,,,,35.528739,-119.3971408,298.8,GIRTH WELD,,,,MFL/CLP,,
2929,Anomaly - Corrosion,,EXT,73036.16,720+76,13.86,45.74,59.6,12710,Block Valve  BV 7.14 (377+16),35395.63,Block Valve - I-5 (1235+58),53034.8,16,0.25,,52000,,15,0.04,,,,,0.3,0.2, 08:39,1170,1936,1394,1170,0.84,1.191,1936,1394,,,35.5287389,-119.3971874,298.7, EXT ML,Pinhole,,,MFL/CLP,,
2930,Anomaly - Corrosion,,INT,73037.63,720+77,15.33,44.27,59.6,12710,Block Valve  BV 7.14 (377+16),35397.1,Block Valve - I-5 (1235+58),53033.33,16,0.25,,52000,,15,0.04,,,,,0.4,0.4, 05:56,1170,1933,1392,1170,0.841,1.19,1933,1392,,,35.5287388,-119.3971924,298.7, INT ML,Pitting,,,MFL/CLP,,
2931,Weld,,,73081.9,721+20,59.6,59.7,59.7,12720,Block Valve  BV 7.14 (377+16),35441.37,Block Valve - I-5 (1235+58),52989.06,16,0.25,,52000, 12:00,,,,,,,,,,1170,,,1170,,,,,,,35.528738,-119.3973411,298.6,GIRTH WELD,,,,MFL/CLP,,
2932,Anomaly - Corrosion,,INT,73132.48,721+69,50.58,9.11,59.7,12720,Block Valve  BV 7.14 (377+16),35491.95,Block Valve - I-5 (1235+58),52938.48,16,0.25,,52000,,15,0.04,,,,,0.3,0.3, 02:58,1170,1935,1393,1170,0.84,1.191,1935,1393,,,35.5287373,-119.3975112,298.6, INT ML,Pinhole,,,MFL/CLP,,
2933,Weld,,,73141.6,721+78,59.7,59.75,59.75,12730,Block Valve  BV 7.14 (377+16),35501.07,Block Valve - I-5 (1235+58),52929.36,16,0.25,,52000, 09:52,,,,,,,,,,1170,,,1170,,,,,,,35.5287373,-119.3975418,298.6,GIRTH WELD,,,,MFL/CLP,,
2934,Weld,,,73201.35,722+36,59.75,59.61,59.62,12740,Block Valve  BV 7.14 (377+16),35560.82,Block Valve - I-5 (1235+58),52869.61,16,0.25,,52000, 11:28,,,,,,,,,,1170,,,1170,,,,,,,35.5287369,-119.3977426,298.4,GIRTH WELD,,,,MFL/CLP,,
2935,Anomaly - Corrosion,,EXT,73201.98,722+37,0.63,58.99,59.62,12740,Block Valve  BV 7.14 (377+16),35561.44,Block Valve - I-5 (1235+58),52868.99,16,0.25,,52000,,17,0.04,,,,,0.2,0.2, 02:32,1170,1937,1394,1170,0.839,1.192,1936,1394,,,35.5287369,-119.3977448,298.4, EXT ML,Pinhole,,,MFL/CLP,,
2936,Anomaly - Corrosion,,EXT,73255.93,722+89,54.58,5.03,59.62,12740,Block Valve  BV 7.14 (377+16),35615.4,Block Valve - I-5 (1235+58),52815.03,16,0.25,,52000,,18,0.05,,,,,0.3,0.2, 03:02,1170,1935,1394,1170,0.84,1.191,1935,1393,,,35.5287362,-119.3979261,298.3, EXT ML,Pinhole,,,MFL/CLP,,
2937,Weld,,,73260.96,722+94,59.62,59.61,59.61,12750,Block Valve  BV 7.14 (377+16),35620.43,Block Valve - I-5 (1235+58),52810,16,0.25,,52000, 01:32,,,,,,,,,,1170,,,1170,,,,,,,35.5287361,-119.397943,298.3,GIRTH WELD,,,,MFL/CLP,,
2938,Anomaly - Corrosion,,INT,73308.91,723+40,47.95,11.66,59.61,12750,Block Valve  BV 7.14 (377+16),35668.38,Block Valve - I-5 (1235+58),52762.05,16,0.25,,52000,,15,0.04,,,,,0.3,0.3, 05:56,1170,1935,1393,1170,0.84,1.191,1935,1393,,,35.5287354,-119.3981042,298.1, INT ML,Pinhole,,,MFL/CLP,,
2939,Weld,,,73320.57,723+52,59.61,59.8,59.8,12760,Block Valve  BV 7.14 (377+16),35680.04,Block Valve - I-5 (1235+58),52750.39,16,0.25,,52000, 12:08,,,,,,,,,,1170,,,1170,,,,,,,35.5287353,-119.3981434,298,GIRTH WELD,,,,MFL/CLP,,
2940,Anomaly - Corrosion,,INT,73363.46,723+93,42.88,16.92,59.8,12760,Block Valve  BV 7.14 (377+16),35722.92,Block Valve - I-5 (1235+58),52707.51,16,0.25,,52000,,18,0.05,,,,,0.8,0.9, 06:02,1170,1922,1384,1170,0.846,1.183,1918,1381,,,35.5287355,-119.3982875,297.9, INT ML,Pitting,,,MFL/CLP,,
2941,Weld,,,73380.37,724+10,59.8,58.68,58.68,12770,Block Valve  BV 7.14 (377+16),35739.84,Block Valve - I-5 (1235+58),52690.59,16,0.25,,52000, 02:04,,,,,,,,,,1170,,,1170,,,,,,,35.5287355,-119.3983444,297.9,GIRTH WELD,,,,MFL/CLP,,
2942,Anomaly - Corrosion,,INT,73437.61,724+65,57.24,1.44,58.68,12770,Block Valve  BV 7.14 (377+16),35797.08,Block Valve - I-5 (1235+58),52633.35,16,0.25,,52000,,16,0.04,,,,,0.3,0.2, 06:04,1170,1936,1394,1170,0.84,1.191,1935,1393,,,35.5287348,-119.3985368,297.9, INT ML,Pinhole,,,MFL/CLP,,
2943,Weld,,,73439.05,724+67,58.68,59.71,59.71,12780,Block Valve  BV 7.14 (377+16),35798.51,Block Valve - I-5 (1235+58),52631.92,16,0.25,,52000, 11:48,,,,,,,,,,1170,,,1170,,,,,,,35.5287348,-119.3985416,297.9,GIRTH WELD,,,,MFL/CLP,,
2944,Weld,,,73498.75,725+25,59.71,59.53,59.53,12790,Block Valve  BV 7.14 (377+16),35858.22,Block Valve - I-5 (1235+58),52572.21,16,0.25,,52000, 10:04,,,,,,,,,,1170,,,1170,,,,,,,35.5287343,-119.3987423,297.8,GIRTH WELD,,,,MFL/CLP,,
2945,Anomaly - Corrosion,,EXT,73512.93,725+38,14.18,45.36,59.53,12790,Block Valve  BV 7.14 (377+16),35872.4,Block Valve - I-5 (1235+58),52558.04,16,0.25,,52000,,21,0.05,,,,,0.2,0.2, 07:01,1170,1936,1394,1170,0.839,1.192,1936,1394,,,35.5287341,-119.3987899,297.8, EXT ML,Pinhole,,,MFL/CLP,,
2946,Anomaly - Corrosion,,INT,73539.77,725+64,41.02,18.51,59.53,12790,Block Valve  BV 7.14 (377+16),35899.24,Block Valve - I-5 (1235+58),52531.19,16,0.25,,52000,,16,0.04,,,,,0.8,0.7, 06:09,1170,1924,1385,1170,0.845,1.184,1921,1383,,,35.528734,-119.3988801,297.9, INT ML,Pitting,,,MFL/CLP,,
2947,Weld,,,73558.28,725+82,59.53,59.71,59.71,12800,Block Valve  BV 7.14 (377+16),35917.75,Block Valve - I-5 (1235+58),52512.68,16,0.25,,52000, 12:20,,,,,,,,,,1170,,,1170,,,,,,,35.5287341,-119.3989424,297.8,GIRTH WELD,,,,MFL/CLP,,
2948,Anomaly - Corrosion,,INT,73563.4,725+87,5.12,54.59,59.71,12800,Block Valve  BV 7.14 (377+16),35922.87,Block Valve - I-5 (1235+58),52507.56,16,0.25,,52000,,15,0.04,,,,,0.3,0.3, 05:52,1170,1935,1393,1170,0.84,1.191,1935,1393,,,35.5287342,-119.3989596,297.8, INT ML,Pinhole,,,MFL/CLP,,
2949,Anomaly - Corrosion,,INT,73583.31,726+07,25.03,34.68,59.71,12800,Block Valve  BV 7.14 (377+16),35942.78,Block Valve - I-5 (1235+58),52487.65,16,0.25,,52000,,21,0.05,,,,,0.4,0.4, 05:19,1170,1933,1392,1170,0.841,1.19,1933,1391,,,35.5287345,-119.3990265,297.8, INT ML,Circumferential Slotting,,,MFL/CLP,,
2950,Anomaly - Corrosion,,INT,73588.72,726+12,30.43,29.28,59.71,12800,Block Valve  BV 7.14 (377+16),35948.19,Block Valve - I-5 (1235+58),52482.24,16,0.25,,52000,,16,0.04,,,,,0.3,0.4, 05:25,1170,1935,1393,1170,0.84,1.191,1935,1393,,,35.5287346,-119.3990447,297.8, INT ML,Circumferential Slotting,,,MFL/CLP,,
2951,Anomaly - Corrosion,,INT,73610.57,726+33,52.29,7.42,59.71,12800,Block Valve  BV 7.14 (377+16),35970.04,Block Valve - I-5 (1235+58),52460.39,16,0.25,,52000,,15,0.04,,,,,0.3,0.4, 06:07,1170,1936,1394,1170,0.84,1.191,1936,1394,,,35.5287347,-119.3991181,297.7, INT ML,Circumferential Slotting,,,MFL/CLP,,
2952,Anomaly - Corrosion,,INT,73617.38,726+40,59.1,0.61,59.71,12800,Block Valve  BV 7.14 (377+16),35976.85,Block Valve - I-5 (1235+58),52453.58,16,0.25,,52000,,16,0.04,,,,,0.4,0.4, 05:58,1170,1934,1392,1170,0.84,1.19,1933,1392,,,35.5287346,-119.399141,297.7, INT ML,Pitting,,,MFL/CLP,,
2953,Weld,,,73618,726+40,59.71,59.59,59.59,12810,Block Valve  BV 7.14 (377+16),35977.46,Block Valve - I-5 (1235+58),52452.97,16,0.25,,52000, 09:52,,,,,,,,,,1170,,,1170,,,,,,,35.5287346,-119.3991431,297.7,GIRTH WELD,,,,MFL/CLP,,
2954,Anomaly - Corrosion,,INT,73618.41,726+41,0.42,59.17,59.59,12810,Block Valve  BV 7.14 (377+16),35977.88,Block Valve - I-5 (1235+58),52452.55,16,0.25,,52000,,20,0.05,,,,,0.3,0.4, 05:39,1170,1935,1393,1170,0.84,1.191,1935,1393,,,35.5287346,-119.3991445,297.7, INT ML,Circumferential Slotting,,,MFL/CLP,,
2955,Anomaly - Corrosion,,INT,73630.26,726+52,12.26,47.32,59.59,12810,Block Valve  BV 7.14 (377+16),35989.73,Block Valve - I-5 (1235+58),52440.7,16,0.25,,52000,,22,0.06,,,,,0.2,0.3, 06:02,1170,1936,1394,1170,0.839,1.191,1936,1394,,,35.5287344,-119.3991843,297.7,*INT ML,Pinhole,,,MFL/CLP,,
2956,Anomaly - Corrosion,,INT,73647.72,726+69,29.73,29.86,59.59,12810,Block Valve  BV 7.14 (377+16),36007.19,Block Valve - I-5 (1235+58),52423.24,16,0.25,,52000,,20,0.05,,,,,0.4,0.4, 05:04,1170,1933,1392,1170,0.841,1.189,1932,1391,,,35.5287341,-119.399243,297.8, INT ML,Pitting,,,MFL/CLP,,
2957,Weld,,,73677.58,726+98,59.59,59.87,59.87,12820,Block Valve  BV 7.14 (377+16),36037.05,Block Valve - I-5 (1235+58),52393.38,16,0.25,,52000, 12:36,,,,,,,,,,1170,,,1170,,,,,,,35.5287337,-119.3993433,297.8,GIRTH WELD,,,,MFL/CLP,,
2958,Weld,,,73737.45,727+56,59.87,59.57,59.57,12830,Block Valve  BV 7.14 (377+16),36096.92,Block Valve - I-5 (1235+58),52333.51,16,0.25,,52000, 10:20,,,,,,,,,,1170,,,1170,,,,,,,35.5287338,-119.3995446,297.9,GIRTH WELD,,,,MFL/CLP,,
2959,Anomaly - Corrosion,,EXT,73753.97,727+72,16.52,43.05,59.57,12830,Block Valve  BV 7.14 (377+16),36113.44,Block Valve - I-5 (1235+58),52316.99,16,0.25,,52000,,15,0.04,,,,,0.3,0.2, 02:44,1170,1936,1394,1170,0.84,1.191,1936,1394,,,35.5287335,-119.3996001,298, EXT ML,Pinhole,,,MFL/CLP,,
2960,Anomaly - Corrosion,,INT,73786.14,728+04,48.68,10.89,59.57,12830,Block Valve  BV 7.14 (377+16),36145.6,Block Valve - I-5 (1235+58),52284.83,16,0.25,,52000,,15,0.04,,,,,0.4,0.3, 06:03,1170,1935,1393,1170,0.84,1.191,1934,1393,,,35.5287328,-119.3997082,298, INT ML,Pinhole,,,MFL/CLP,,
2961,Weld,,,73797.02,728+14,59.57,59.65,59.65,12840,Block Valve  BV 7.14 (377+16),36156.49,Block Valve - I-5 (1235+58),52273.94,16,0.25,,52000, 01:00,,,,,,,,,,1170,,,1170,,,,,,,35.5287327,-119.3997448,298,GIRTH WELD,,,,MFL/CLP,,
2962,Anomaly - Corrosion,,INT,73799.79,728+17,2.77,56.88,59.65,12840,Block Valve  BV 7.14 (377+16),36159.26,Block Valve - I-5 (1235+58),52271.18,16,0.25,,52000,,15,0.04,,,,,0.4,0.5, 05:55,1170,1933,1392,1170,0.841,1.19,1933,1392,,,35.5287327,-119.3997541,298, INT ML,Pitting,,,MFL/CLP,,
2963,Anomaly - Corrosion,,INT,73815.77,728+32,18.74,40.9,59.65,12840,Block Valve  BV 7.14 (377+16),36175.24,Block Valve - I-5 (1235+58),52255.19,16,0.25,,52000,,21,0.05,,,,,0.3,0.2, 05:54,1170,1935,1393,1170,0.84,1.191,1935,1393,,,35.5287327,-119.3998078,298, INT ML,Pinhole,,,MFL/CLP,,
2964,Anomaly - Corrosion Cluster,,INT,73823.08,728+40,26.06,33.59,59.65,12840,Block Valve  BV 7.14 (377+16),36182.55,Block Valve - I-5 (1235+58),52247.88,16,0.25,,52000,,16,0.04,,,,,1,1.1, 06:05,1170,1915,1379,1170,0.848,1.179,1922,1384,,,35.5287326,-119.3998324,298.1, INT ML,Pitting,,,MFL/CLP,,
2965,Anomaly - Corrosion,,INT,73823.69,728+40,26.67,32.98,59.65,12840,Block Valve  BV 7.14 (377+16),36183.16,Block Valve - I-5 (1235+58),52247.27,16,0.25,,52000,,25,0.06,,,,,0.3,0.5, 05:54,1170,1934,1393,1170,0.84,1.19,1934,1392,,,35.5287326,-119.3998344,298.1,*INT ML,Circumferential Slotting,,,MFL/CLP,,
2966,Anomaly - Corrosion,,INT,73825.6,728+42,28.58,31.07,59.65,12840,Block Valve  BV 7.14 (377+16),36185.07,Block Valve - I-5 (1235+58),52245.36,16,0.25,,52000,,16,0.04,,,,,0.2,0.3, 08:29,1170,1936,1394,1170,0.839,1.191,1936,1394,,,35.5287326,-119.3998409,298.1,*INT ML,Pinhole,,,MFL/CLP,,
2967,Anomaly - Corrosion,,INT,73826.59,728+43,29.56,30.09,59.65,12840,Block Valve  BV 7.14 (377+16),36186.05,Block Valve - I-5 (1235+58),52244.38,16,0.25,,52000,,15,0.04,,,,,0.3,0.5, 05:57,1170,1935,1393,1170,0.84,1.191,1935,1393,,,35.5287326,-119.3998442,298.1, INT ML,Circumferential Slotting,,,MFL/CLP,,
2968,Weld,,,73856.67,728+72,59.65,59.92,59.92,12850,Block Valve  BV 7.14 (377+16),36216.14,Block Valve - I-5 (1235+58),52214.29,16,0.25,,52000, 10:44,,,,,,,,,,1170,,,1170,,,,,,,35.528732,-119.3999453,297.9,GIRTH WELD,,,,MFL/CLP,,
2969,Weld,,,73916.59,729+30,59.92,59.54,59.54,12860,Block Valve  BV 7.14 (377+16),36276.06,Block Valve - I-5 (1235+58),52154.37,16,0.25,,52000, 01:00,,,,,,,,,,1170,,,1170,,,,,,,35.5287304,-119.4001467,298,GIRTH WELD,,,,MFL/CLP,,
2970,Anomaly - Corrosion,,INT,73935.21,729+48,18.62,40.93,59.54,12860,Block Valve  BV 7.14 (377+16),36294.68,Block Valve - I-5 (1235+58),52135.76,16,0.25,,52000,,15,0.04,,,,,0.3,0.3, 05:54,1170,1936,1394,1170,0.84,1.191,1936,1394,,,35.5287303,-119.4002092,298.1, INT ML,Pinhole,,,MFL/CLP,,
2971,Anomaly - Corrosion,,INT,73937.44,729+50,20.85,38.69,59.54,12860,Block Valve  BV 7.14 (377+16),36296.91,Block Valve - I-5 (1235+58),52133.52,16,0.25,,52000,,15,0.04,,,,,0.4,0.4, 06:02,1170,1935,1393,1170,0.84,1.191,1934,1393,,,35.5287303,-119.4002167,298.1, INT ML,Circumferential Slotting,,,MFL/CLP,,
2972,Anomaly - Corrosion,,INT,73954.63,729+67,38.05,21.5,59.54,12860,Block Valve  BV 7.14 (377+16),36314.1,Block Valve - I-5 (1235+58),52116.33,16,0.25,,52000,,15,0.04,,,,,0.4,0.3, 06:11,1170,1935,1393,1170,0.84,1.191,1934,1393,,,35.5287301,-119.4002745,298, INT ML,Pinhole,,,MFL/CLP,,
