Feature Number (sequential order),Vendor-Specific Feature Name,Standard Feature Name,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference Name,Upstream (U/S) Reference Distance From,Downstream (D/S) Reference Name,Downstream (D/S) Reference Distance To,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G Pburst,Modified B31.G Psafe,Design Pressure (72% SMYS),ERF,RPR,Effective Area Pburst,Effective Area Psafe,Group Number,Group Category,NAD 83 Latittude,NAD 83 Longititude,NAVD 88 elevation,Comments,POF classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
10000007,Sleeve Begin,Repair - Welded sleeve begin,,9.64,485+01,1.38,9.48,10.86,160,"Valve (Launcher), Sta. 485+11, Lost Hill 2",9.64,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,809.78",8.625,,,,,,,,,,,,,12:00,1440,,,,,,,,,,35.649896,-119.74531,,"Sleeve Begin - 0 ft,",,,,MFL+DEF (xHD),,
10000007,Sleeve End  ,Repair - Welded sleeve end,,10.8,485+00,2.54,8.32,10.86,160,"Valve (Launcher), Sta. 485+11, Lost Hill 2",10.8,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,808.63",8.625,,,,,,,,,,,,,12:00,1440,,,,,,,,,,35.649896,-119.74531,,Sleeve End  ,,,,MFL+DEF (xHD),,
10000008,Bend Begin,Weld - Bend begin,,11.02,485+00,2.76,8.1,10.86,160,"Valve (Launcher), Sta. 485+11, Lost Hill 2",11.02,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,808.41",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6498995,-119.7453117,,"Bend up - 88 deg., 5D  - FORGED",,,,MFL+DEF (xHD),,
10000008,Bend End  ,Weld - Bend end,,16.93,484+94,8.67,2.19,10.86,160,"Valve (Launcher), Sta. 485+11, Lost Hill 2",16.93,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,802.50",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6498995,-119.7453117,,"Bend up - 88 deg., 5D  - FORGED",,,,MFL+DEF (xHD),,
170,Weld,Weld - Longitudinal seam,,19.12,484+92,,,16.1,160,"Valve (Launcher), Sta. 485+11, Lost Hill 2",19.12,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,800.30",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6498966,-119.7453103,,,,,,MFL+DEF (xHD),,
170,Wall Thickness,Weld - Change in wall thickness,,19.14,484+92,,,16.1,170,"Valve (Launcher), Sta. 485+11, Lost Hill 2",19.14,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,800.28",8.625,0.25,,56000,,,,,,,,,,,1440,,,,,,,,,,35.6498966,-119.7453103,,Wall Thickness,,,,MFL+DEF (xHD),,
180,Weld,Weld - Longitudinal seam,,35.22,484+76,,,40.71,170,"Valve (Launcher), Sta. 485+11, Lost Hill 2",35.22,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,784.20",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6499087,-119.7453161,,,,,,MFL+DEF (xHD),,
190,Weld,Weld - Longitudinal seam,,75.93,484+35,,,0.83,180,"Valve (Launcher), Sta. 485+11, Lost Hill 2",75.93,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,743.49",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6499526,-119.7453348,,,,,,MFL+DEF (xHD),,
10000009,Bend Begin,Weld - Bend begin,,75.95,484+35,0.02,0.81,0.83,190,"Valve (Launcher), Sta. 485+11, Lost Hill 2",75.95,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,743.47",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6499527,-119.7453348,,"Bend left - 25 deg., 3D - FORGED",,,,MFL+DEF (xHD),,
10000009,Bend End  ,Weld - Bend end,,76.76,484+34,0.82,0.01,0.83,190,"Valve (Launcher), Sta. 485+11, Lost Hill 2",76.76,"AGM 1, Sta. 457+00, PLM E/S of RD @ MP 8.5- from 2017 Data","2,742.67",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6499527,-119.7453348,,"Bend left - 25 deg., 3D - FORGED",,,,MFL+DEF (xHD),,
