Feature Number (sequential order),Vendor-Specific Feature Name,Standard Feature Name,INT/ EXT (ID/OD),Odometer,Station Number,Distance to U/S weld,Distance to D/S weld,Joint Length,Defect Joint Number,Upstream (U/S) Reference Name,Upstream (U/S) Reference Distance From,Downstream (D/S) Reference Name,Downstream (D/S) Reference Distance To,Diameter,Nominal Wall Thickness,Measured Wall Thickness,Pipe Grade (SMYS),Long Seam Orientation,Metal Loss Depth,Metal Loss Depth,Deformation Depth,Deformation Depth,Crack Depth,Crack Depth,Length,Width,Orientation,MOP,Modified B31.G Pburst,Modified B31.G Psafe,Design Pressure (72% SMYS),ERF,RPR,Effective Area Pburst,Effective Area Psafe,Group Number,Group Category,NAD 83 Latittude,NAD 83 Longititude,NAVD 88 elevation,Comments,POF classification,Excavation/ Repair Required,SPLC Notes,Tool Type/ Technology,Length/A (x),Width/A (y)
10000057,Sleeve Begin,Repair - Welded sleeve begin,,"9,202.14",393+71,44.55,0.72,45.27,2770,"MAINLINE VALVE, Sta. 405+16","1,148.42","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","2,141.45",8.625,,,,,,,,,,,,,12:00,1440,,,,,,,,,,35.664432,-119.7648045,,"Sleeve Begin - 0 ft,",,,,MFL+DEF (xHD),,
2780,Weld,Weld - Longitudinal seam,,"9,202.86",393+71,,,45.29,2770,"MAINLINE VALVE, Sta. 405+16","1,149.13","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","2,140.74",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6644326,-119.7648061,,,,,,MFL+DEF (xHD),,
10000057,Sleeve End  ,Repair - Welded sleeve end,,"9,203.57",393+70,0.71,44.58,45.29,2780,"MAINLINE VALVE, Sta. 405+16","1,149.84","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","2,140.03",8.625,,,,,,,,,,,,,12:00,1440,,,,,,,,,,35.664432,-119.7648045,,Sleeve End  ,,,,MFL+DEF (xHD),,
2790,Weld,Weld - Longitudinal seam,,"9,248.15",393+26,,,45.31,2780,"MAINLINE VALVE, Sta. 405+16","1,194.43","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","2,095.45",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6644827,-119.7649441,,,,,,MFL+DEF (xHD),,
10000058,Sleeve Begin,Repair - Welded sleeve begin,,"9,249.98",393+24,1.83,43.48,45.31,2790,"MAINLINE VALVE, Sta. 405+16","1,196.26","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","2,093.61",8.625,,,,,,,,,,,,,12:00,1440,,,,,,,,,,35.6644846,-119.7649498,,"Sleeve Begin - 0 ft,",,,,MFL+DEF (xHD),,
10000058,Sleeve End  ,Repair - Welded sleeve end,,"9,251.02",393+23,2.87,42.44,45.31,2790,"MAINLINE VALVE, Sta. 405+16","1,197.30","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","2,092.57",8.625,,,,,,,,,,,,,12:00,1440,,,,,,,,,,35.6644846,-119.7649498,,Sleeve End  ,,,,MFL+DEF (xHD),,
2800,Weld,Weld - Longitudinal seam,,"9,293.46",392+80,,,45.25,2790,"MAINLINE VALVE, Sta. 405+16","1,239.74","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","2,050.13",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.66453,-119.7650858,,,,,,MFL+DEF (xHD),,
2810,Weld,Weld - Longitudinal seam,,"9,338.71",392+35,,,15.98,2800,"MAINLINE VALVE, Sta. 405+16","1,284.98","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","2,004.89",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6645801,-119.7652243,,,,,,MFL+DEF (xHD),,
10000059,Fitting,Offtake,,"9,349.39",392+25,10.74,5.24,15.98,2810,"MAINLINE VALVE, Sta. 405+16","1,295.67","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,994.20",8.625,,,,,,,,,,,,,12:00,1440,,,,,,,,,,35.664593,-119.7652567,,Fitting on top of pipe,,,,MFL+DEF (xHD),,
2820,Weld,Weld - Longitudinal seam,,"9,354.69",392+19,,,22.06,2810,"MAINLINE VALVE, Sta. 405+16","1,300.96","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,988.91",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6646346,-119.7653611,,,,,,MFL+DEF (xHD),,
2820,Wall Thickness,Weld - Change in wall thickness,,"9,354.71",392+19,,,22.06,2820,"MAINLINE VALVE, Sta. 405+16","1,300.98","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,988.89",8.625,0.25,,52000,,,,,,,,,,,1440,,,,,,,,,,35.6646346,-119.7653611,,Wall Thickness,,,,MFL+DEF (xHD),,
2830,Weld,Weld - Longitudinal seam,,"9,376.75",391+97,,,44.72,2820,"MAINLINE VALVE, Sta. 405+16","1,323.02","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,966.85",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6646526,-119.7654098,,,,,,MFL+DEF (xHD),,
2840,Weld,Weld - Longitudinal seam,,"9,421.46",391+53,,,44.78,2830,"MAINLINE VALVE, Sta. 405+16","1,367.74","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,922.13",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6646775,-119.7654779,,,,,,MFL+DEF (xHD),,
2850,Weld,Weld - Longitudinal seam,,"9,466.25",391+08,,,44.44,2840,"MAINLINE VALVE, Sta. 405+16","1,412.52","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,877.35",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6647293,-119.765614,,,,,,MFL+DEF (xHD),,
2860,Weld,Weld - Longitudinal seam,,"9,510.69",390+64,,,44.82,2850,"MAINLINE VALVE, Sta. 405+16","1,456.96","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,832.91",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6647857,-119.7657487,,,,,,MFL+DEF (xHD),,
2870,Weld,Weld - Longitudinal seam,,"9,555.51",390+19,,,44.72,2860,"MAINLINE VALVE, Sta. 405+16","1,501.79","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,788.08",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6648439,-119.7658805,,,,,,MFL+DEF (xHD),,
2880,Weld,Weld - Longitudinal seam,,"9,600.23",389+75,,,44.76,2870,"MAINLINE VALVE, Sta. 405+16","1,546.50","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,743.37",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6648911,-119.7660179,,,,,,MFL+DEF (xHD),,
2890,Weld,Weld - Longitudinal seam,,"9,644.98",389+30,,,44.77,2880,"MAINLINE VALVE, Sta. 405+16","1,591.26","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,698.61",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6649306,-119.7661599,,,,,,MFL+DEF (xHD),,
2900,Weld,Weld - Longitudinal seam,,"9,689.75",388+85,,,44.78,2890,"MAINLINE VALVE, Sta. 405+16","1,636.02","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,653.85",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6649726,-119.7663021,,,,,,MFL+DEF (xHD),,
2910,Weld,Weld - Longitudinal seam,,"9,734.52",388+41,,,35.81,2900,"MAINLINE VALVE, Sta. 405+16","1,680.80","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,609.07",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650166,-119.7664421,,,,,,MFL+DEF (xHD),,
2920,Weld,Weld - Longitudinal seam,,"9,770.33",388+05,,,0.5,2910,"MAINLINE VALVE, Sta. 405+16","1,716.61","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,573.26",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650626,-119.7665807,,,,,,MFL+DEF (xHD),,
10000060,Bend Begin,Weld - Bend begin,,"9,770.35",388+05,0.01,0.49,0.5,2920,"MAINLINE VALVE, Sta. 405+16","1,716.62","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,573.25",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650626,-119.7665807,,"Bend left - 30 deg., 1.5D - FORGED",,,,MFL+DEF (xHD),,
10000060,Bend End  ,Weld - Bend end,,"9,770.82",388+05,0.49,0.01,0.5,2920,"MAINLINE VALVE, Sta. 405+16","1,717.10","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,572.77",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650626,-119.7665807,,"Bend left - 30 deg., 1.5D - FORGED",,,,MFL+DEF (xHD),,
2930,Weld,Weld - Longitudinal seam,,"9,770.84",388+05,,,8.6,2920,"MAINLINE VALVE, Sta. 405+16","1,717.11","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,572.76",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651019,-119.7666895,,,,,,MFL+DEF (xHD),,
2940,Weld,Weld - Longitudinal seam,,"9,779.44",387+96,,,21.9,2930,"MAINLINE VALVE, Sta. 405+16","1,725.71","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,564.16",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.665102,-119.7666911,,,,,,MFL+DEF (xHD),,
2940,Wall Thickness,Weld - Change in wall thickness,,"9,779.46",387+96,,,21.9,2940,"MAINLINE VALVE, Sta. 405+16","1,725.73","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,564.14",8.625,0.25,,42000,,,,,,,,,,,1440,,,,,,,,,,35.665102,-119.7666911,,Wall Thickness,,,,MFL+DEF (xHD),,
10000061,Fitting,Offtake,,"9,784.29",387+91,4.93,16.97,21.9,2940,"MAINLINE VALVE, Sta. 405+16","1,730.56","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,559.31",8.625,,,,,,,,,,,,,12:00,1440,,,,,,,,,,35.6651003,-119.7667073,,Fitting on top of pipe,,,,MFL+DEF (xHD),,
2950,Weld,Weld - Longitudinal seam,,"9,801.34",387+74,,,40.62,2940,"MAINLINE VALVE, Sta. 405+16","1,747.61","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,542.26",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650992,-119.7667178,,,,,,MFL+DEF (xHD),,
2960,Weld,Weld - Longitudinal seam,,"9,841.96",387+34,,,40.72,2950,"MAINLINE VALVE, Sta. 405+16","1,788.24","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,501.63",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650905,-119.7667898,,,,,,MFL+DEF (xHD),,
2970,Weld,Weld - Longitudinal seam,,"9,882.68",386+93,,,1.74,2960,"MAINLINE VALVE, Sta. 405+16","1,828.96","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,460.91",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650766,-119.7669242,,,,,,MFL+DEF (xHD),,
10000062,Bend Begin,Weld - Bend begin,,"9,882.71",386+93,0.03,1.71,1.74,2970,"MAINLINE VALVE, Sta. 405+16","1,828.99","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,460.88",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650766,-119.7669243,,"Bend right - 93 deg., 1.5D - FORGED",,,,MFL+DEF (xHD),,
10000062,Bend End  ,Weld - Bend end,,"9,884.34",386+91,1.65,0.08,1.74,2970,"MAINLINE VALVE, Sta. 405+16","1,830.61","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,459.26",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650766,-119.7669243,,"Bend right - 93 deg., 1.5D - FORGED",,,,MFL+DEF (xHD),,
2980,Weld,Weld - Longitudinal seam,,"9,884.42",386+91,,,40.87,2970,"MAINLINE VALVE, Sta. 405+16","1,830.70","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,459.17",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650637,-119.7670575,,,,,,MFL+DEF (xHD),,
2990,Weld,Weld - Longitudinal seam,,"9,925.29",386+51,,,1.64,2980,"MAINLINE VALVE, Sta. 405+16","1,871.57","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,418.30",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650664,-119.7670606,,,,,,MFL+DEF (xHD),,
10000063,Bend Begin,Weld - Bend begin,,"9,925.32",386+51,0.03,1.61,1.64,2990,"MAINLINE VALVE, Sta. 405+16","1,871.60","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,418.27",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650665,-119.7670606,,"Bend left - 91 deg., 1.5D - FORGED",,,,MFL+DEF (xHD),,
10000063,Bend End  ,Weld - Bend end,,"9,926.87",386+49,1.57,0.07,1.64,2990,"MAINLINE VALVE, Sta. 405+16","1,873.15","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,416.73",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650665,-119.7670606,,"Bend left - 91 deg., 1.5D - FORGED",,,,MFL+DEF (xHD),,
3000,Weld,Weld - Longitudinal seam,,"9,926.94",386+49,,,40.96,2990,"MAINLINE VALVE, Sta. 405+16","1,873.21","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,416.66",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.66518,-119.7670773,,,,,,MFL+DEF (xHD),,
3010,Weld,Weld - Longitudinal seam,,"9,967.90",386+08,,,40.58,3000,"MAINLINE VALVE, Sta. 405+16","1,914.18","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,375.69",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651822,-119.7670813,,,,,,MFL+DEF (xHD),,
40000022,Metal Loss,Anomaly - Corrosion cluster,External,"9,980.23",385+96,12.38,28.2,40.58,3010,"MAINLINE VALVE, Sta. 405+16","1,926.50","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,363.37",8.625,0.25,,42000,,16,0.039,,,,,1.375,2.391,11:45,1440,2926,2107,1753,0.683,1.202,2908,2094,,,35.6651789,-119.7671227,,Metal Loss,GENE,,,MFL+DEF (xHD),,
3020,Weld,Weld - Longitudinal seam,,"10,008.48",385+68,,,40.77,3010,"MAINLINE VALVE, Sta. 405+16","1,954.76","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,335.11",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651711,-119.7672184,,,,,,MFL+DEF (xHD),,
3030,Weld,Weld - Longitudinal seam,,"10,049.25",385+27,,,40.54,3020,"MAINLINE VALVE, Sta. 405+16","1,995.53","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,294.34",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651608,-119.7673526,,,,,,MFL+DEF (xHD),,
3040,Weld,Weld - Longitudinal seam,,"10,089.79",384+87,,,40.59,3030,"MAINLINE VALVE, Sta. 405+16","2,036.07","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,253.80",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651521,-119.7674881,,,,,,MFL+DEF (xHD),,
3050,Weld,Weld - Longitudinal seam,,"10,130.39",384+46,,,40.66,3040,"MAINLINE VALVE, Sta. 405+16","2,076.66","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,213.21",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651454,-119.767623,,,,,,MFL+DEF (xHD),,
3060,Weld,Weld - Longitudinal seam,,"10,171.05",384+06,,,40.82,3050,"MAINLINE VALVE, Sta. 405+16","2,117.32","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,172.55",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651408,-119.7677578,,,,,,MFL+DEF (xHD),,
3070,Weld,Weld - Longitudinal seam,,"10,211.86",383+65,,,20.48,3060,"MAINLINE VALVE, Sta. 405+16","2,158.14","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,131.73",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651381,-119.7678935,,,,,,MFL+DEF (xHD),,
3080,Weld,Weld - Longitudinal seam,,"10,232.34",383+45,,,40.63,3070,"MAINLINE VALVE, Sta. 405+16","2,178.62","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,111.25",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651364,-119.7680302,,,,,,MFL+DEF (xHD),,
3090,Weld,Weld - Longitudinal seam,,"10,272.98",383+04,,,40.73,3080,"MAINLINE VALVE, Sta. 405+16","2,219.25","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,070.62",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651354,-119.7680985,,,,,,MFL+DEF (xHD),,
3100,Weld,Weld - Longitudinal seam,,"10,313.71",382+63,,,40.6,3090,"MAINLINE VALVE, Sta. 405+16","2,259.98","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data","1,029.89",8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651319,-119.768234,,,,,,MFL+DEF (xHD),,
3110,Weld,Weld - Longitudinal seam,,"10,354.31",382+23,,,40.29,3100,"MAINLINE VALVE, Sta. 405+16","2,300.59","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",989.28,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651303,-119.7683698,,,,,,MFL+DEF (xHD),,
3120,Weld,Weld - Longitudinal seam,,"10,394.60",381+83,,,40.59,3110,"MAINLINE VALVE, Sta. 405+16","2,340.87","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",949,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.665128,-119.7685054,,,,,,MFL+DEF (xHD),,
3130,Weld,Weld - Longitudinal seam,,"10,435.19",381+42,,,40.53,3120,"MAINLINE VALVE, Sta. 405+16","2,381.47","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",908.4,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651252,-119.7686397,,,,,,MFL+DEF (xHD),,
3140,Weld,Weld - Longitudinal seam,,"10,475.72",381+02,,,40.21,3130,"MAINLINE VALVE, Sta. 405+16","2,422.00","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",867.88,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651216,-119.7687752,,,,,,MFL+DEF (xHD),,
3150,Weld,Weld - Longitudinal seam,,"10,515.93",380+62,,,40.72,3140,"MAINLINE VALVE, Sta. 405+16","2,462.20","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",827.67,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651165,-119.7689104,,,,,,MFL+DEF (xHD),,
3160,Weld,Weld - Longitudinal seam,,"10,556.65",380+21,,,40.48,3150,"MAINLINE VALVE, Sta. 405+16","2,502.92","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",786.95,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651121,-119.7690435,,,,,,MFL+DEF (xHD),,
3170,Weld,Weld - Longitudinal seam,,"10,597.12",379+81,,,40.6,3160,"MAINLINE VALVE, Sta. 405+16","2,543.40","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",746.47,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651082,-119.7691789,,,,,,MFL+DEF (xHD),,
3180,Weld,Weld - Longitudinal seam,,"10,637.73",379+41,,,40.68,3170,"MAINLINE VALVE, Sta. 405+16","2,584.00","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",705.87,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651056,-119.7693139,,,,,,MFL+DEF (xHD),,
3190,Weld,Weld - Longitudinal seam,,"10,678.41",379+00,,,39.83,3180,"MAINLINE VALVE, Sta. 405+16","2,624.68","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",665.19,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651035,-119.7694493,,,,,,MFL+DEF (xHD),,
3200,Weld,Weld - Longitudinal seam,,"10,718.23",378+60,,,40.66,3190,"MAINLINE VALVE, Sta. 405+16","2,664.51","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",625.36,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651009,-119.7695849,,,,,,MFL+DEF (xHD),,
3210,Weld,Weld - Longitudinal seam,,"10,758.90",378+20,,,33.7,3200,"MAINLINE VALVE, Sta. 405+16","2,705.17","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",584.7,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650964,-119.769717,,,,,,MFL+DEF (xHD),,
3220,Weld,Weld - Longitudinal seam,,"10,792.60",377+86,,,1.08,3210,"MAINLINE VALVE, Sta. 405+16","2,738.87","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",551,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650924,-119.7698522,,,,,,MFL+DEF (xHD),,
10000064,Bend Begin,Weld - Bend begin,,"10,792.64",377+86,0.04,1.03,1.08,3220,"MAINLINE VALVE, Sta. 405+16","2,738.92","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",550.95,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650924,-119.7698524,,"Bend right - 60 deg., 1.5D - FORGED",,,,MFL+DEF (xHD),,
10000064,Bend End  ,Weld - Bend end,,"10,793.64",377+85,1.04,0.03,1.08,3220,"MAINLINE VALVE, Sta. 405+16","2,739.92","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",549.96,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650924,-119.7698524,,"Bend right - 60 deg., 1.5D - FORGED",,,,MFL+DEF (xHD),,
3230,Weld,Weld - Longitudinal seam,,"10,793.67",377+85,,,40.69,3220,"MAINLINE VALVE, Sta. 405+16","2,739.95","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",549.92,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.66509,-119.769963,,,,,,MFL+DEF (xHD),,
40000023,Metal Loss,Anomaly - Corrosion cluster,External,"10,803.47",377+75,9.84,30.85,40.69,3230,"MAINLINE VALVE, Sta. 405+16","2,749.75","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",540.12,8.625,0.25,,42000,,31,0.077,,,,,1.091,0.974,5:00,1440,2873,2069,1753,0.696,1.18,2840,2044,,,35.6651045,-119.7699909,,Metal Loss,PITT,,,MFL+DEF (xHD),,
3240,Weld,Weld - Longitudinal seam,,"10,834.36",377+45,,,40.7,3230,"MAINLINE VALVE, Sta. 405+16","2,780.64","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",509.23,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6650914,-119.7699657,,,,,,MFL+DEF (xHD),,
3250,Weld,Weld - Longitudinal seam,,"10,875.06",377+04,,,40.76,3240,"MAINLINE VALVE, Sta. 405+16","2,821.34","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",468.53,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6651871,-119.7700414,,,,,,MFL+DEF (xHD),,
3260,Weld,Weld - Longitudinal seam,,"10,915.82",376+63,,,40.71,3250,"MAINLINE VALVE, Sta. 405+16","2,862.10","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",427.77,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6652813,-119.7701156,,,,,,MFL+DEF (xHD),,
3270,Weld,Weld - Longitudinal seam,,"10,956.53",376+23,,,40.74,3260,"MAINLINE VALVE, Sta. 405+16","2,902.81","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",387.06,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6653757,-119.7701899,,,,,,MFL+DEF (xHD),,
3280,Weld,Weld - Longitudinal seam,,"10,997.27",375+82,,,14.12,3270,"MAINLINE VALVE, Sta. 405+16","2,943.55","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",346.32,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6654694,-119.7702664,,,,,,MFL+DEF (xHD),,
10000065,Fitting,Offtake,,"11,006.81",375+73,9.62,4.5,14.12,3280,"MAINLINE VALVE, Sta. 405+16","2,953.09","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",336.78,8.625,,,,,,,,,,,,,12:00,1440,,,,,,,,,,35.6654912,-119.7702843,,Fitting on top of pipe,,,,MFL+DEF (xHD),,
3290,Weld,Weld - Longitudinal seam,,"11,011.39",375+68,,,28.09,3280,"MAINLINE VALVE, Sta. 405+16","2,957.66","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",332.21,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6655628,-119.7703429,,,,,,MFL+DEF (xHD),,
3290,Wall Thickness,Weld - Change in wall thickness,,"11,011.41",375+68,,,28.09,3290,"MAINLINE VALVE, Sta. 405+16","2,957.68","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",332.19,8.625,0.322,,42000,,,,,,,,,,,1440,,,,,,,,,,35.6655628,-119.7703429,,Wall Thickness,,,,MFL+DEF (xHD),,
3300,Weld,Weld - Longitudinal seam,,"11,039.47",375+40,,,1.99,3290,"MAINLINE VALVE, Sta. 405+16","2,985.75","AGM 4, Sta. 372+37, Sec. 13 90deg Pl @ PLM- from 2017 Data",304.12,8.625,,,,,,,,,,,,,,1440,,,,,,,,,,35.6655943,-119.7703698,,,,,,MFL+DEF (xHD),,
