ILI Tool,PBF_ID,Adjstd Weld Number,Adjstd Milepost,Adjstd Sta,STA Diff,ODO Diff,Multiplier,Odometer (ft),Odometer Distance to Start of Box (ft),Feature Number,Feature Description,Distance to Nearest Weld (ft),Distance to Upstream Weld (ft),Distance to Downstream Weld (ft),Distance From Top of Pipe (ft),Distance to Nearest AGM (ft),Distance to Upstream AGM (ft),Distance to Downstream AGM (ft),WT (in),Max Depth (%),Max Depth + Tolerance (%),Length (in),Width (in),Oreintation (Degrees),Pipe Length (ft),Long Seam Orient. (Degrees),0.85DL Safe MAOP Rating (psig),0.85DL Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Safe MAOP Rating (psig),Eff. Area B31G of API579 Safe MAOP Rating + Tolerance (psig),Eff. Area B31G of API579 Burst Press. Rating (psig),Eff. Area B31G of API579 Burst Press. Rating + Tolerance (psig),Latitude NAD83,Longitude NAD83,Elevation Above Mean Sea Level NAVD88 (ft),Comments,Pipe Size (in),Pipe Grade ,Pipe Type,MOP (psi)
MFL,71,21,0.172,9+06.7,,,,910.64,,70,Weld,D61.13,61.24,61.13,,U910.64,910.64,2539.39,0.250,,,,,,61.13,,,,,,,,39.5958283,-75.6301835,47.0,,16.000,X56,ERW,960
MFL,72,21,0.174,9+12.7,,,,916.66,916.64,71,ML Cluster Ext,U6.03,6.03,55.11,1.58,U916.66,916.66,2533.37,0.250,17,27,0.47,0.96,136,61.13,,1481,1478,1480,1476,2056,2050,39.5958449,-75.6301834,47.1,,16.000,X56,ERW,960
MFL,73,21,0.184,9+67.4,,,,971.23,971.22,72,ML Cluster Ext,D0.54,60.59,0.54,1.88,U971.23,971.23,2478.80,0.250,11,21,0.47,1.29,162,61.13,,1482,1480,1482,1478,2058,2053,39.5959946,-75.6301820,47.1,,16.000,X56,ERW,960
MFL,74,22,0.184,9+68.0,,,,971.77,,73,Weld,D61.10,61.13,61.10,,U971.77,971.77,2478.26,0.250,,,,,,61.10,,,,,,,,39.5959961,-75.6301820,47.1,,16.000,X56,ERW,960
MFL,75,22,0.184,9+68.5,,,,972.32,972.29,74,ML Cluster Ext,U0.55,0.55,60.55,2.09,U972.32,972.32,2477.71,0.250,17,27,1.49,3.85,180,61.10,,1451,1426,1457,1431,2024,1988,39.5959977,-75.6301820,47.1,,16.000,X56,ERW,960
MFL,76,23,0.196,10+29.2,,,,1032.87,,75,Weld,U61.10,61.10,61.29,,U1032.87,1032.87,2417.16,0.250,,,,,,61.29,,,,,,,,39.5961640,-75.6301799,46.4,,16.000,X56,ERW,960
MFL,77,24,0.207,10+90.7,,,,1094.15,,76,Weld,D61.23,61.29,61.23,,U1094.15,1094.15,2355.88,0.250,,,,,,61.23,,,,,,,,39.5963323,-75.6301769,44.7,,16.000,X56,ERW,960
MFL,78,24,0.219,11+51.0,,,,1154.32,,77,Hard Spot,D1.07,60.17,1.07,2.97,U1154.32,1154.32,2295.71,0.250,,,1.18,5.02,255,61.23,,,,,,,,39.5964969,-75.6301736,39.9,,16.000,X56,ERW,960
MFL,79,24,0.219,11+51.6,,,,1154.85,,78,Hard Spot,D0.54,60.69,0.54,3.24,U1154.85,1154.85,2295.19,0.250,,,2.71,8.88,279,61.23,,,,,,,,39.5964984,-75.6301736,39.9,,16.000,X56,ERW,960
MFL,80,25,0.219,11+52.1,,,,1155.38,,79,Weld,U61.23,61.23,61.30,,U1155.38,1155.38,2294.65,0.250,,,,,,61.30,,,,,,,,39.5964998,-75.6301736,39.8,,16.000,X56,ERW,960
MFL,81,25,0.219,11+52.8,,,,1156.14,,80,Hard Spot,U0.75,0.75,60.55,0.06,U1156.14,1156.14,2293.89,0.250,,,2.39,14.81,6,61.30,,,,,,,,39.5965019,-75.6301736,39.7,,16.000,X56,ERW,960
MFL,82,25,0.219,11+53.1,,,,1156.40,,81,Hard Spot,U1.02,1.02,60.28,3.90,U1156.40,1156.40,2293.63,0.250,,,0.74,5.38,336,61.30,,,,,,,,39.5965026,-75.6301736,39.7,,16.000,X56,ERW,960
MFL,83,26,0.230,12+13.6,,,,1216.68,,82,Weld,D61.24,61.30,61.24,,U1216.68,1216.68,2233.35,0.250,,,,,,61.24,,,,,,,,39.5966667,-75.6301710,31.8,,16.000,X56,ERW,960
MFL,84,26,0.230,12+13.7,,,,1216.82,1216.81,83,ML Cluster Ext Weld Adjacent,U0.14,0.14,61.10,2.10,U1216.82,1216.82,2233.21,0.250,28,38,1.14,3.35,181,61.24,,1445,1425,1447,1425,2010,1979,39.5966672,-75.6301710,31.8,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,85,26,0.231,12+13.9,,,,1217.07,1217.06,84,ML Cluster Ext Weld Adjacent,U0.39,0.39,60.86,1.55,U1217.07,1217.07,2232.96,0.250,23,33,0.43,1.02,133,61.24,,1480,1477,1479,1475,2054,2048,39.5966678,-75.6301709,31.7,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,86,26,0.231,12+14.0,,,,1217.16,1217.14,85,ML Ext Weld Adjacent,U0.47,0.47,60.77,1.87,U1217.16,1217.16,2232.88,0.250,12,22,0.43,0.61,161,61.24,,1483,1480,1482,1479,2058,2054,39.5966681,-75.6301709,31.7,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,87,26,0.231,12+14.2,,,,1217.34,1217.33,86,ML Ext,U0.66,0.66,60.58,2.25,U1217.34,1217.34,2232.69,0.250,18,28,0.24,0.38,193,61.24,,1484,1483,1484,1483,2061,2059,39.5966686,-75.6301709,31.7,,16.000,X56,ERW,960
MFL,88,26,0.231,12+14.5,,,,1217.60,,87,Hard Spot,U0.92,0.92,60.33,4.18,U1217.60,1217.60,2232.43,0.250,,,2.94,18.18,359,61.24,,,,,,,,39.5966693,-75.6301709,31.7,,16.000,X56,ERW,960
MFL,89,26,0.236,12+43.3,,,,1246.37,,88,8° 35.5D Sag Right Cold Bend,U29.69,29.69,31.55,,U1246.37,1246.37,2203.66,0.250,,,,,35,61.24,,,,,,,,39.5967476,-75.6301684,27.8,,16.000,X56,ERW,960
MFL,90,26,0.237,12+48.4,,,,1251.45,,89,Manufacturing Indication Ext,D26.47,34.77,26.47,3.34,U1251.45,1251.45,2198.58,0.250,,,1.02,1.07,287,61.24,,,,,,,,39.5967615,-75.6301668,27.6,,16.000,X56,ERW,960
MFL,91,27,0.242,12+75.0,,,,1277.92,,90,Weld,U61.24,61.24,61.36,,U1277.92,1277.92,2172.11,0.250,,,,,,61.36,,,,,,,,39.5968337,-75.6301568,27.0,,16.000,X56,ERW,960
MFL,92,27,0.245,12+90.5,,,,1293.36,,91,6.9° 36D Sag Left Cold Bend,U15.44,15.44,45.92,,U1293.36,1293.36,2156.67,0.250,,,,,316,61.36,,,,,,,,39.5968758,-75.6301515,26.7,,16.000,X56,ERW,960
MFL,93,27,0.247,13+02.7,,,,1305.54,1305.53,92,ML Cluster Ext,U27.61,27.61,33.75,0.17,U1305.54,1305.54,2144.50,0.250,14,24,1.22,4.21,15,61.36,,1465,1448,1461,1440,2030,2000,39.5969092,-75.6301508,27.4,,16.000,X56,ERW,960
MFL,94,27,0.247,13+03.9,,,,1306.77,1306.75,93,ML Cluster Ext,U28.85,28.85,32.51,0.57,U1306.77,1306.77,2143.26,0.250,16,26,0.35,2.39,49,61.36,,1483,1481,1483,1480,2059,2056,39.5969126,-75.6301507,27.5,,16.000,X56,ERW,960
MFL,95,27,0.254,13+35.7,,,,1338.49,,94,Hard Spot,D0.79,60.57,0.79,0.87,U1338.49,1338.49,2111.54,0.250,,,3.84,47.34,75,61.36,,,,,,,,39.5969997,-75.6301494,29.5,,16.000,X56,ERW,960
MFL,96,27,0.254,13+36.4,,,,1339.23,1339.16,95,ML Cluster Ext Weld Adjacent,D0.05,61.31,0.05,2.25,U1339.23,1339.23,2110.80,0.250,12,22,0.90,2.18,193,61.36,,1475,1465,1474,1462,2047,2030,39.5970017,-75.6301494,29.5,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,97,28,0.254,13+36.5,,,,1339.28,,96,Weld,D57.45,61.36,57.45,,U1339.28,1339.28,2110.75,0.250,,,,,,57.45,,,,,,,,39.5970018,-75.6301494,29.5,,16.000,X56,ERW,960
MFL,98,28,0.254,13+36.6,,,,1339.39,1339.39,97,ML Cluster Ext Weld Adjacent,U0.11,0.11,57.34,2.01,U1339.39,1339.39,2110.64,0.250,12,22,1.33,2.13,173,57.45,,1466,1447,1469,1454,2041,2019,39.5970021,-75.6301494,29.5,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,99,28,0.254,13+37.1,,,,1339.85,1339.79,98,ML Cluster Ext,U0.57,0.57,56.88,2.14,U1339.85,1339.85,2110.18,0.250,27,37,2.20,5.83,184,57.45,,1384,1335,1418,1368,1970,1899,39.5970034,-75.6301494,29.6,,16.000,X56,ERW,960
MFL,100,28,0.259,13+66.0,,,,1368.75,,99,3.3° 47.1D Sag Cold Bend,D27.98,29.47,27.98,,U1368.75,1368.75,2081.28,0.250,,,,,14,57.45,,,,,,,,39.5970827,-75.6301481,31.1,,16.000,X56,ERW,960
MFL,101,28,0.263,13+84.6,,,,1387.29,1387.26,100,ML Int Manufacturing Related,D9.44,48.01,9.44,2.98,U1387.29,1387.29,2062.74,0.250,13,23,0.63,0.47,257,57.45,,1480,1474,1478,1472,2053,2044,39.5971333,-75.6301462,32.7,,16.000,X56,ERW,960
MFL,102,29,0.265,13+94.1,,,,1396.73,,101,Weld,U57.45,57.45,61.14,,U1396.73,1396.73,2053.30,0.250,,,,,,61.14,,,,,,,,39.5971592,-75.6301452,33.6,,16.000,X56,ERW,960
MFL,103,30,0.276,14+55.4,,,,1457.87,,102,Weld,D59.22,61.14,59.22,,U1457.87,1457.87,1992.16,0.250,,,,,,59.22,281,,,,,,,39.5973263,-75.6301402,39.7,,16.000,X56,ERW,960
MFL,104,31,0.287,15+14.8,,,,1517.09,,103,Weld,U59.22,59.22,61.24,,U1517.09,1517.09,1932.94,0.250,,,,,,61.24,,,,,,,,39.5974888,-75.6301374,41.7,,16.000,X56,ERW,960
MFL,105,31,0.299,15+76.0,,,,1578.12,1578.11,104,ML Ext Weld Adjacent,D0.20,61.03,0.20,1.45,U1578.12,1578.12,1871.91,0.250,20,30,0.24,0.35,125,61.24,,1484,1483,1483,1482,2060,2059,39.5976565,-75.6301336,41.2,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,106,32,0.299,15+76.2,,,,1578.32,,105,Weld,D61.22,61.24,61.22,,U1578.32,1578.32,1871.71,0.250,,,,,,61.22,162,,,,,,,39.5976571,-75.6301336,41.2,,16.000,X56,ERW,960
MFL,107,33,0.311,16+37.6,,,,1639.54,,106,Weld,D61.18,61.22,61.18,,U1639.54,1639.54,1810.49,0.250,,,,,,61.18,,,,,,,,39.5978253,-75.6301312,41.3,,16.000,X56,ERW,960
MFL,108,33,0.312,16+47.3,,,,1649.26,,107,6.5° 33.1D Over Cold Bend,U9.71,9.71,51.47,,U1649.26,1649.26,1800.77,0.250,,,,,170,61.18,,,,,,,,39.5978519,-75.6301308,41.1,,16.000,X56,ERW,960
MFL,109,33,0.321,16+92.7,,,,1694.49,,108,3.3° 41.4D Over Cold Bend,D6.24,54.95,6.24,,U1694.49,1694.49,1755.54,0.250,,,,,172,61.18,,,,,,,,39.5979751,-75.6301267,35.4,,16.000,X56,ERW,960
MFL,110,33,0.322,16+97.8,,,,1699.61,,109,Hard Spot,D1.12,60.07,1.12,1.51,U1699.61,1699.61,1750.42,0.250,,,2.71,27.56,130,61.18,,,,,,,,39.5979889,-75.6301262,34.4,,16.000,X56,ERW,960
MFL,111,34,0.322,16+98.9,,,,1700.73,,110,Weld,D61.16,61.18,61.16,,U1700.73,1700.73,1749.30,0.250,,,,,,61.16,,,,,,,,39.5979919,-75.6301261,34.2,,16.000,X56,ERW,960
MFL,112,34,0.327,17+22.8,,,,1724.50,,111,5.6° 40.7D Sag Left Cold Bend,U23.78,23.78,37.39,,D1700.97,1724.50,1725.53,0.250,,,,,337,61.16,,,,,,,,39.5980560,-75.6301245,29.7,,16.000,X56,ERW,960
MFL,113,34,0.332,17+50.1,,,,1751.73,,112,4.4° 37.9D Sag Cold Bend,D10.16,51.00,10.16,,D1673.74,1751.73,1698.30,0.250,,,,,3,61.16,,,,,,,,39.5981303,-75.6301269,26.5,,16.000,X56,ERW,960
MFL,114,34,0.333,17+59.0,,,,1760.66,,113,Hard Spot,D1.24,59.93,1.24,0.87,D1664.81,1760.66,1689.38,0.250,,,3.22,30.94,75,61.16,,,,,,,,39.5981547,-75.6301277,26.1,,16.000,X56,ERW,960
MFL,115,35,0.334,17+60.3,,,,1761.89,,114,Weld,U61.16,61.16,61.34,,D1663.58,1761.89,1688.14,0.250,,,,,,61.34,,,,,,,,39.5981582,-75.6301279,26.0,,16.000,X56,ERW,960
MFL,116,35,0.334,17+60.8,,,,1762.47,,115,Hard Spot,U0.57,0.58,60.77,2.57,D1663.00,1762.47,1687.57,0.250,,,2.63,25.28,221,61.34,,,,,,,,39.5981597,-75.6301279,26.0,,16.000,X56,ERW,960
MFL,117,36,0.345,18+21.8,,,,1823.23,,116,Weld,D61.04,61.34,61.04,,D1602.24,1823.23,1626.80,0.250,,,,,,61.04,,,,,,,,39.5983265,-75.6301344,23.7,,16.000,X56,ERW,960
MFL,118,36,0.347,18+31.5,,,,1832.90,,117,3.5° 44.1D Right Sag Cold Bend,U9.67,9.67,51.36,,D1592.56,1832.90,1617.13,0.250,,,,,66,61.04,,,,,,,,39.5983529,-75.6301352,23.4,,16.000,X56,ERW,960
MFL,119,36,0.353,18+63.0,,,,1864.30,,118,MCP,D19.97,41.06,19.97,0.00,D1561.17,1864.30,1585.74,0.250,,,2.27,5.50,0,61.04,,,,,,,,39.5984392,-75.6301321,23.1,Touching Metal Object,16.000,X56,ERW,960
MFL,120,36,0.357,18+81.1,,,,1882.37,,119,Manufacturing Indication Int,D1.90,59.14,1.90,3.35,D1543.10,1882.37,1567.66,0.250,,,1.06,0.91,288,61.04,,,,,,,,39.5984887,-75.6301303,22.9,,16.000,X56,ERW,960
MFL,121,37,0.357,18+83.0,,,,1884.27,,120,Weld,U61.04,61.04,61.14,,D1541.20,1884.27,1565.76,0.250,,,,,,61.14,,,,,,,,39.5984939,-75.6301301,22.9,,16.000,X56,ERW,960
MFL,122,38,0.368,19+44.3,,,,1945.41,,121,Weld,U61.14,61.14,61.55,,D1480.06,1945.41,1504.62,0.250,,,,,,61.55,,,,,,,,39.5986620,-75.6301225,23.1,,16.000,X56,ERW,960
MFL,123,38,0.369,19+44.8,,,,1945.90,,122,Hard Spot,U0.49,0.49,61.06,3.76,D1479.57,1945.90,1504.13,0.250,,,3.96,44.38,323,61.55,,,,,,,,39.5986633,-75.6301225,23.1,,16.000,X56,ERW,960
MFL,124,39,0.380,20+06.0,,,,2006.95,,123,Weld,D61.06,61.55,61.06,,D1418.51,2006.95,1443.08,0.250,,,,,,61.06,,,,,,,,39.5988310,-75.6301151,22.6,,16.000,X56,ERW,960
MFL,125,39,0.380,20+07.0,,,,2007.94,,124,Hard Spot,U0.99,0.99,60.07,3.33,D1417.53,2007.94,1442.09,0.250,,,2.35,44.74,286,61.06,,,,,,,,39.5988337,-75.6301150,22.5,,16.000,X56,ERW,960
MFL,126,40,0.392,20+67.2,,,,2068.02,,125,Weld,D46.90,61.06,46.90,,D1357.45,2068.02,1382.02,0.250,,,,,,46.90,,,,,,,,39.5989986,-75.6301096,22.5,,16.000,X56,ERW,960
MFL,127,41,0.401,21+14.3,,,,2114.91,,126,Weld,U46.90,46.90,61.35,,D1310.56,2114.91,1335.12,0.250,,,,,,61.35,,,,,,,,39.5991274,-75.6301066,22.3,,16.000,X56,ERW,960
MFL,128,41,0.405,21+38.1,,,,2138.69,,127,3.5° 66.2D Sag Cold Bend,U23.78,23.78,37.57,,D1286.78,2138.69,1311.34,0.250,,,,,358,61.35,,,,,,,,39.5991926,-75.6301063,21.5,,16.000,X56,ERW,960
MFL,129,41,0.407,21+49.7,,,,2150.20,,128,MCP,D26.07,35.28,26.07,2.44,D1275.27,2150.20,1299.84,0.250,,,2.51,3.64,210,61.35,,,,,,,,39.5992242,-75.6301061,21.6,Close Metal Object,16.000,X56,ERW,960
MFL,130,41,0.410,21+64.2,,,,2164.71,,129,MCP,D11.56,49.80,11.56,3.14,D1260.76,2164.71,1285.32,0.250,,,21.80,15.56,270,61.35,,,,,,,,39.5992641,-75.6301059,21.7,Touching Metal Object,16.000,X56,ERW,960
MFL,131,42,0.412,21+75.8,,,,2176.27,,130,Weld,D52.87,61.35,52.87,,D1249.20,2176.27,1273.77,0.250,,,,,,52.87,,,,,,,,39.5992958,-75.6301059,21.5,,16.000,X56,ERW,960
MFL,132,42,0.416,21+95.4,,,,2195.78,,131,4.9° 61.9D Sag Right Cold Bend,U19.51,19.51,33.35,,D1229.69,2195.78,1254.25,0.250,,,,,33,52.87,,,,,,,,39.5993495,-75.6301056,21.2,,16.000,X56,ERW,960
MFL,133,42,0.420,22+19.7,,,,2220.03,,132,3.3° 68.8D Left Over Cold Bend,D9.11,43.76,9.11,,D1205.44,2220.03,1230.01,0.250,,,,,230,52.87,,,,,,,,39.5994159,-75.6301016,22.3,,16.000,X56,ERW,960
MFL,134,43,0.422,22+28.8,,,,2229.13,,133,Weld,D36.74,52.87,36.74,,D1196.34,2229.13,1220.90,0.250,,,,,,36.74,,,,,,,,39.5994409,-75.6301012,22.6,,16.000,X56,ERW,960
MFL,135,43,0.429,22+65.0,,,,2265.27,2265.24,134,ML Cluster Ext,D0.60,36.14,0.60,1.98,D1160.20,2265.27,1184.76,0.250,19,29,0.51,1.57,171,36.74,,1479,1475,1479,1475,2055,2048,39.5995402,-75.6300994,23.5,,16.000,X56,ERW,960
MFL,136,44,0.429,22+65.6,,,,2265.87,,135,Weld,U36.74,36.74,41.20,,D1159.60,2265.87,1184.16,0.250,,,,,,41.20,155,,,,,,,39.5995418,-75.6300993,23.5,,16.000,X56,ERW,960
MFL,137,44,0.430,22+68.6,,,,2268.78,,136,Casing Start,U2.92,2.92,38.29,,D1156.68,2268.78,1181.25,0.250,,,,,,41.20,,,,,,,,39.5995498,-75.6300992,23.6,,16.000,X56,ERW,960
MFL,138,45,0.437,23+07.0,,,,2307.07,,137,Weld,U41.20,41.20,46.97,,D1118.40,2307.07,1142.96,0.250,,,,,,46.97,,,,,,,,39.5996551,-75.6300980,23.7,,16.000,X56,ERW,960
MFL,139,45,0.445,23+52.0,,,,2351.96,,138,Casing End,D2.09,44.89,2.09,,D1073.51,2351.96,1098.07,0.250,,,,,,46.97,,,,,,,,39.5997783,-75.6300961,23.4,,16.000,X56,ERW,960
MFL,140,46,0.446,23+54.1,,,,2354.04,,139,Weld,U46.97,46.97,61.40,,D1071.43,2354.04,1095.99,0.250,,,,,,61.40,332,,,,,,,39.5997839,-75.6300959,23.4,,16.000,X56,ERW,960
MFL,141,46,0.446,23+55.1,,,,2355.12,2355.07,140,ML Cluster Ext,U1.08,1.08,60.31,2.18,D1070.34,2355.12,1094.91,0.250,36,46,0.98,4.62,188,61.40,,1442,1423,1438,1415,1998,1965,39.5997870,-75.6300958,23.4,,16.000,X56,ERW,960
MFL,142,46,0.448,23+67.0,,,,2366.91,,141,5.7° 39.7D Right Sag Cold Bend,U12.87,12.87,48.53,,D1058.56,2366.91,1083.12,0.250,,,,,61,61.40,,,,,,,,39.5998193,-75.6300941,23.2,,16.000,X56,ERW,960
MFL,143,46,0.455,24+03.0,,,,2402.89,,142,4° 57.1D Over Cold Bend,D12.55,48.85,12.55,,D1022.58,2402.89,1047.14,0.250,,,,,181,61.40,,,,,,,,39.5999173,-75.6300787,24.5,,16.000,X56,ERW,960
MFL,144,47,0.457,24+15.6,,,,2415.44,,143,Weld,D60.83,61.40,60.83,,D1010.03,2415.44,1034.59,0.250,,,,,,60.83,7,,,,,,,39.5999517,-75.6300735,24.1,,16.000,X56,ERW,960
MFL,145,47,0.458,24+16.5,,,,2416.29,,144,Hard Spot,U0.85,0.85,59.97,2.02,D1009.18,2416.29,1033.74,0.250,,,3.33,22.22,174,60.83,,,,,,,,39.5999540,-75.6300732,24.1,,16.000,X56,ERW,960
MFL,146,47,0.464,24+48.4,,,,2448.16,,145,6.3° 40.2D Right Cold Bend,D28.10,32.73,28.10,,D977.31,2448.16,1001.87,0.250,,,,,68,60.83,,,,,,,,39.6000409,-75.6300609,23.2,,16.000,X56,ERW,960
MFL,147,48,0.469,24+76.6,,,,2476.26,,146,Weld,U60.83,60.83,61.29,,D949.20,2476.26,973.77,0.250,,,,,,61.29,342,,,,,,,39.6001168,-75.6300415,23.2,,16.000,X56,ERW,960
MFL,148,48,0.471,24+84.8,,,,2484.40,,147,3° 63.5D Over Cold Bend,U8.13,8.13,53.16,,D941.07,2484.40,965.63,0.250,,,,,185,61.29,,,,,,,,39.6001387,-75.6300358,23.1,,16.000,X56,ERW,960
MFL,149,48,0.479,25+28.4,,,,2527.94,,148,11.2° 38.6D Left Cold Bend,D9.62,51.68,9.62,,D897.53,2527.94,922.09,0.250,,,,,284,61.29,,,,,,,,39.6002557,-75.6300065,20.1,,16.000,X56,ERW,960
MFL,150,49,0.481,25+38.1,,,,2537.55,,149,Weld,D42.90,61.29,42.90,,D887.91,2537.55,912.48,0.250,,,,,,42.90,71,,,,,,,39.6002822,-75.6300057,19.8,,16.000,X56,ERW,960
MFL,151,49,0.482,25+46.6,,,,2546.04,2546.03,150,ML Ext,U8.49,8.49,34.41,3.03,D879.42,2546.04,903.99,0.250,20,30,0.39,0.48,261,42.90,,1481,1479,1481,1477,2056,2052,39.6003054,-75.6300056,19.7,,16.000,X56,ERW,960
MFL,152,49,0.484,25+56.3,,,,2555.76,2553.08,151,ML Ext Manufacturing Related,U18.21,18.21,24.69,2.91,D869.71,2555.76,894.27,0.250,18,28,32.86,2.13,251,42.90,,1274,1155,1236,1095,1717,1521,39.6003320,-75.6300054,19.5,,16.000,X56,ERW,960
MFL,153,50,0.489,25+81.1,,,,2580.46,,152,Weld,U42.90,42.90,61.48,,D845.01,2580.46,869.58,0.250,,,,,,61.48,,,,,,,,39.6004000,-75.6300050,19.1,,16.000,X56,ERW,960
MFL,154,50,0.490,25+85.6,,,,2584.98,2584.96,153,ML Int Manufacturing Related,U4.52,4.52,56.96,0.41,D840.49,2584.98,865.05,0.250,29,39,0.74,0.63,35,61.48,,1465,1456,1461,1447,2029,2010,39.6004124,-75.6300049,19.0,,16.000,X56,ERW,960
MFL,155,50,0.495,26+15.1,,,,2614.33,2614.32,154,ML Cluster Int Manufacturing Related,D27.61,33.87,27.61,2.07,D811.14,2614.33,835.70,0.250,24,34,1.18,0.50,178,61.48,,1450,1431,1469,1456,2040,2022,39.6004930,-75.6300042,18.8,,16.000,X56,ERW,960
MFL,156,50,0.499,26+33.9,,,,2633.12,2633.10,155,ML Cluster Int Manufacturing Related,D8.82,52.66,8.82,1.30,D792.35,2633.12,816.92,0.250,15,25,1.33,0.54,112,61.48,,1460,1440,1464,1443,2033,2005,39.6005447,-75.6300039,18.7,,16.000,X56,ERW,960
MFL,157,51,0.500,26+42.8,,,,2641.94,,156,Weld,U61.48,61.48,61.51,,D783.53,2641.94,808.09,0.250,,,,,,61.51,,,,,,,,39.6005689,-75.6300038,18.6,,16.000,X56,ERW,960
MFL,158,52,0.512,27+04.4,,,,2703.45,,157,Weld,D60.65,61.51,60.65,,D722.02,2703.45,746.58,0.250,,,,,,60.65,33,,,,,,,39.6007380,-75.6300042,18.4,,16.000,X56,ERW,960
MFL,159,52,0.512,27+04.8,,,,2703.86,,158,Hard Spot,U0.41,0.41,60.24,3.97,D721.61,2703.86,746.17,0.250,,,2.63,28.25,341,60.65,,,,,,,,39.6007391,-75.6300042,18.4,,16.000,X56,ERW,960
MFL,160,53,0.524,27+65.2,,,,2764.10,,159,Weld,D55.14,60.65,55.14,,D661.37,2764.10,685.93,0.250,,,,,,55.14,267,,,,,,,39.6009045,-75.6300043,18.6,,16.000,X56,ERW,960
MFL,161,53,0.524,27+67.0,,,,2765.83,2765.82,160,ML Ext,U1.73,1.73,53.41,2.18,D659.64,2765.83,684.20,0.250,14,24,0.35,0.41,188,55.14,,1483,1481,1483,1480,2059,2056,39.6009092,-75.6300043,18.6,,16.000,X56,ERW,960
MFL,162,53,0.531,28+03.2,,,,2801.96,,161,11.4° 47.3D Left Cold Bend,D17.28,37.86,17.28,,D623.51,2801.96,648.07,0.250,,,,,292,55.14,,,,,,,,39.6010084,-75.6300039,17.9,,16.000,X56,ERW,960
MFL,163,54,0.534,28+20.5,,,,2819.24,,162,Weld,U55.14,55.14,61.32,,D606.23,2819.24,630.79,0.250,,,,,,61.32,12,,,,,,,39.6010553,-75.6300139,18.3,,16.000,X56,ERW,960
MFL,164,54,0.537,28+37.0,,,,2835.60,,163,11.5° 41.6D Left Cold Bend,U16.37,16.37,44.95,,D589.86,2835.60,614.43,0.250,,,,,272,61.32,,,,,,,,39.6010993,-75.6300251,18.9,,16.000,X56,ERW,960
MFL,165,54,0.542,28+62.8,,,,2861.37,,164,25° 44.1D Right Cold Bend,D19.19,42.13,19.19,,D564.10,2861.37,588.67,0.250,,,,,87,61.32,,,,,,,,39.6011663,-75.6300535,20.2,,16.000,X56,ERW,960
MFL,166,54,0.545,28+81.6,,,,2880.13,2880.05,165,ML Cluster Ext Weld Adjacent,D0.42,60.90,0.42,2.08,D545.33,2880.13,569.90,0.250,19,29,1.69,2.28,179,61.32,,1438,1408,1450,1424,2014,1978,39.6012177,-75.6300555,21.4,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,167,55,0.546,28+82.0,,,,2880.56,,166,Weld,D21.85,61.32,21.85,,D544.91,2880.56,569.47,0.250,,,,,,21.85,322,,,,,,,39.6012188,-75.6300555,21.4,,16.000,X56,ERW,960
MFL,168,55,0.546,28+82.5,,,,2881.00,2880.71,167,ML Cluster Ext Weld Adjacent,U0.44,0.44,21.41,2.09,D544.47,2881.00,569.03,0.250,18,28,4.08,4.21,180,21.85,,1369,1295,1409,1340,1957,1862,39.6012200,-75.6300554,21.5,Weld Adjacent = 3.75 x sqrt (pipe radius x wall thickness),16.000,X56,ERW,960
MFL,169,56,0.550,29+03.9,,,,2902.40,,168,Weld,U21.85,21.85,61.39,,D523.06,2902.40,547.63,0.250,,,,,,61.39,,,,,,,,39.6012786,-75.6300520,22.5,,16.000,X56,ERW,960
MFL,170,56,0.550,29+07.6,,,,2906.03,,169,Casing Start,U3.63,3.63,57.76,,D519.44,2906.03,544.00,0.250,,,,,,61.39,,,,,,,,39.6012885,-75.6300516,22.7,,16.000,X56,ERW,960
MFL,171,56,0.558,29+47.9,,,,2946.26,,170,Casing End Eccentric @ 6:00,D17.54,43.85,17.54,,D479.21,2946.26,503.78,0.250,,,,,,61.39,,,,,,,,39.6013991,-75.6300471,22.5,,16.000,X56,ERW,960
MFL,172,56,0.558,29+48.6,,,,2946.96,,171,Sleeve Start,D16.83,44.56,16.83,,D478.51,2946.96,503.07,0.250,,,,,,61.39,,,,,,,,39.6014010,-75.6300470,22.5,,16.000,X56,ERW,960
MFL,173,56,0.559,29+50.6,,,,2948.94,,172,Sleeve End,D14.85,46.54,14.85,,D476.53,2948.94,501.09,0.250,,,,,,61.39,,,,,,,,39.6014064,-75.6300467,22.4,,16.000,X56,ERW,960
