Tool,"Weld
Number","Approx.
Milepost
(miles)","Approx. 
Map Station 
(ft)","Odometer
(ft)","Feature
Number",Feature Description,"Distance to
Nearest
Weld
(ft)","Distance
to
Upstream
Weld
(ft)","Distance
to
Down-
Stream
Weld
(ft)","Distance
to
Nearest
AGM
(ft)","Distance
to
Upstream
AGM
(ft)","Distance
to Down-
Stream
AGM
(ft)","WT
(in)","Max
Depth
(%)","Seam Weld
Interaction","Length
(in)","Width
(in)","Orient
(deg)","Pipe
Length
(ft)","Long
Seam
Orient
(deg)",Adjacent to Long Seam,"0.85DL 
B31.G 
Safe MAOP 
Rating 
(psig)","Eff. Area 
Safe MAOP 
Rating 
(psig)","Eff. Area 
Burst Press. 
Rating 
(psig)","Max
Depth w/ Tolerance 
(%)","0.85DL
B31.G
Safe MAOP
Rating w/
Tolerance
(psig)","Eff. Area
Safe MAOP
Rating w/
Tolerance
(psig)","Eff. Area
Burst Press.
Rating w/
Tolerance
(psig)","Latitude 
NAD83","Longitude 
NAD83","Elevation 
Above Sea Level 
(ft) NAVD88",Comments/Rationale,Multiple Apex Dent
MFL,137,1.268,68+91,6692.53,,WELD,,,,,,,0.219,,,,,,59.33,,,,,,,,,,35.0764586,-119.3889526,708.1,,
MFL,138,1.279,69+49,6751.85,,WELD,,,,,,,0.219,,,,,,59.54,,,,,,,,,,35.0764543,-119.3887551,707.0,,
MFL,,1.279,69+50,6752.80,40000683,ml-int,U0.95,0.95,58.60,D1643.92,2233.08,1643.92,0.219,9,N,0.51,0.50,122,,,N,2259,2257,3135,19,2249,2245,3118,35.0764543,-119.3887520,707.0,,
MFL,,1.287,69+91,6794.27,40000684,ml-int,D17.13,42.42,17.13,D1602.45,2274.55,1602.45,0.219,10,N,0.29,0.36,125,,,N,2264,2263,3144,20,2261,2259,3138,35.0764522,-119.3886145,703.3,,
MFL,,1.287,69+91,6794.33,40000685,ml-ext,D17.06,42.48,17.06,D1602.39,2274.61,1602.39,0.219,10,N,0.81,0.86,295,,,N,2247,2243,3116,20,2224,2215,3076,35.0764522,-119.3886143,703.3,,
MFL,,1.287,69+92,6794.75,40000686,ml-ext,D16.65,42.90,16.65,D1601.97,2275.03,1601.97,0.219,11,N,0.46,0.51,280,,,N,2259,2258,3136,21,2251,2248,3122,35.0764521,-119.3886130,703.2,,
MFL,,1.287,69+92,6795.57,40000687,ml-ext,D15.83,43.71,15.83,D1601.15,2275.85,1601.15,0.219,13,N,3.16,2.41,280,,,N,2127,2183,3032,23,2011,2052,2850,35.0764521,-119.3886102,703.2,,
MFL,,1.287,69+93,6796.04,40000688,ml-ext,D15.35,44.19,15.35,D1600.68,2276.32,1600.68,0.219,13,N,5.21,3.07,275,,,N,2096,2168,3011,23,1952,2003,2782,35.0764521,-119.3886087,703.2,,
MFL,,1.287,69+93,6796.51,40000689,ml-ext,D14.88,44.66,14.88,D1600.21,2276.79,1600.21,0.219,16,N,0.49,0.56,270,,,N,2253,2250,3125,26,2242,2237,3106,35.0764521,-119.3886071,703.1,,
MFL,,1.287,69+94,6796.84,40000690,ml-ext,D14.56,44.99,14.56,D1599.88,2277.12,1599.88,0.219,35,N,2.93,1.54,284,,,N,1883,2098,2914,45,1746,1962,2725,35.0764521,-119.3886060,703.1,,
MFL,,1.287,69+94,6797.12,40000691,ml-ext,D14.27,45.27,14.27,D1599.60,2277.40,1599.60,0.219,29,N,0.55,0.76,279,,,N,2234,2226,3092,39,2217,2203,3060,35.0764520,-119.3886051,703.1,,
MFL,,1.287,69+94,6797.28,40000692,ml-ext,D14.12,45.43,14.12,D1599.44,2277.56,1599.44,0.219,10,N,0.59,0.39,274,,,N,2256,2254,3130,20,2242,2237,3107,35.0764520,-119.3886045,703.1,,
MFL,,1.289,70+04,6806.91,40000693,ml-ext,D4.48,55.06,4.48,D1589.81,2287.19,1589.81,0.219,10,N,0.71,0.66,293,,,N,2251,2248,3123,20,2233,2225,3091,35.0764516,-119.3885725,702.7,,
MFL,,1.289,70+05,6808.36,40000694,ml-ext,D3.04,56.51,3.04,D1588.36,2288.64,1588.36,0.219,18,N,1.69,2.37,173,,,N,2159,2138,2969,28,2086,2046,2842,35.0764515,-119.3885677,702.6,,
MFL,,1.289,70+05,6808.54,40000695,ml-ext,D2.85,56.69,2.85,D1588.18,2288.82,1588.18,0.219,10,N,0.69,0.75,168,,,N,2252,2249,3124,20,2235,2227,3094,35.0764515,-119.3885671,702.6,,
MFL,,1.290,70+06,6809.85,40000696,ml-ext,D1.54,58.00,1.54,D1586.87,2290.13,1586.87,0.219,11,N,1.85,2.66,318,,,N,2196,2182,3030,21,2122,2092,2905,35.0764515,-119.3885627,702.6,,
MFL,,1.290,70+07,6810.77,40000697,ml-ext,D0.63,58.92,0.63,D1585.95,2291.05,1585.95,0.219,38,N,0.71,0.87,227,,,N,2189,2168,3011,48,2156,2121,2946,35.0764514,-119.3885597,702.5,,
MFL,139,1.290,70+08,6811.40,,WELD,,,,,,,0.219,,,,,,20.37,,,,,,,,,,35.0764514,-119.3885576,702.5,,
MFL,,1.291,70+13,6816.42,40000698,ml-ext,U5.02,5.02,15.35,D1580.31,2296.70,1580.31,0.219,9,N,0.60,0.81,167,,,N,2257,2255,3131,19,2243,2238,3108,35.0764511,-119.3885409,702.4,,
MFL,,1.291,70+14,6817.12,40000699,ml-ext,U5.73,5.73,14.64,D1579.60,2297.40,1579.60,0.219,10,N,0.63,0.52,187,,,N,2255,2252,3128,20,2240,2234,3103,35.0764511,-119.3885385,702.4,,
MFL,,1.291,70+15,6818.29,40000700,ml-ext,U6.89,6.89,13.48,D1578.43,2298.57,1578.43,0.219,10,N,0.56,0.54,7,,,N,2257,2255,3132,20,2245,2240,3111,35.0764510,-119.3885347,702.4,,
MFL,,1.291,70+15,6819.00,40000701,ml-ext,U7.60,7.60,12.77,D1577.72,2299.28,1577.72,0.219,10,N,0.56,0.44,301,,,N,2257,2254,3131,20,2244,2239,3110,35.0764510,-119.3885323,702.4,,
MFL,,1.292,70+16,6819.49,10000034,Sleeve Begin,U8.09,8.09,12.28,D1577.23,2299.77,1577.23,0.219,,,,,,,,,,,,,,,,35.0764508,-119.3885113,702.5,,
MFL,,1.294,70+27,6831.13,10000034,Sleeve End  ,D0.64,19.74,0.64,D1565.59,2311.41,1565.59,0.219,,,,,,,,,,,,,,,,35.0764508,-119.3885113,702.5,,
MFL,140,1.294,70+28,6831.77,,WELD,,,,,,,0.219,,,,,,59.36,,,,,,,,,,35.0764507,-119.3884898,702.7,,
MFL,,1.295,70+35,6838.75,40000702,ml-int,U6.98,6.98,52.37,D1557.97,2319.03,1557.97,0.219,19,N,1.24,0.80,120,,,N,2191,2199,3054,29,2140,2139,2971,35.0764509,-119.3884665,702.9,,
MFL,,1.296,70+39,6842.88,40000703,ml-int,U11.11,11.11,48.25,D1553.84,2323.16,1553.84,0.219,18,N,0.56,0.66,130,,,N,2247,2243,3115,28,2233,2225,3090,35.0764511,-119.3884528,703.0,,
MFL,,1.297,70+42,6845.59,40000704,ml-int,U13.83,13.83,45.53,D1551.13,2325.87,1551.13,0.219,10,N,0.47,0.60,134,,,N,2260,2258,3136,20,2251,2247,3121,35.0764513,-119.3884438,703.0,,
MFL,,1.297,70+43,6846.93,40000705,ml-int,U15.16,15.16,44.20,D1549.79,2327.21,1549.79,0.219,10,N,0.15,0.36,134,,,N,2266,2266,3147,20,2265,2265,3146,35.0764513,-119.3884393,703.1,,
MFL,,1.304,70+81,6885.50,40000706,ml-int,D5.63,53.73,5.63,D1511.23,2365.78,1511.23,0.219,14,N,0.44,0.36,133,,,N,2257,2255,3133,24,2249,2245,3118,35.0764519,-119.3883110,703.1,,
MFL,141,1.305,70+87,6891.12,,WELD,,,,,,,0.219,,,,,,59.51,,,,,,,,,,35.0764517,-119.3882922,703.4,,
MFL,,1.308,70+99,6903.75,40000707,ml-int,U12.63,12.63,46.89,D1492.97,2384.03,1492.97,0.219,13,N,0.40,0.33,132,,,N,2260,2259,3137,23,2253,2250,3126,35.0764512,-119.3882502,703.3,,
MFL,,1.308,71+00,6905.08,40000708,ml-int,U13.96,13.96,45.55,D1491.64,2385.36,1491.64,0.219,17,N,0.61,0.50,132,,,N,2245,2241,3112,27,2229,2220,3084,35.0764512,-119.3882458,703.2,,
MFL,,1.308,71+03,6907.82,40000709,ml-int,U16.70,16.70,42.82,D1488.90,2388.10,1488.90,0.219,13,N,0.54,0.33,131,,,N,2254,2252,3127,23,2242,2236,3106,35.0764511,-119.3882367,703.2,,
MFL,,1.309,71+05,6910.04,40000710,ml-int,U18.92,18.92,40.60,D1486.68,2390.32,1486.68,0.219,10,N,0.37,0.36,131,,,N,2262,2261,3141,20,2257,2255,3131,35.0764511,-119.3882293,703.1,,
MFL,,1.310,71+13,6917.80,40000711,ml-int,U26.67,26.67,32.84,D1478.93,2398.07,1478.93,0.219,10,N,0.44,0.37,136,,,N,2261,2259,3138,20,2253,2250,3125,35.0764510,-119.3882035,702.9,,
MFL,,1.310,71+14,6919.01,40000712,ml-int,U27.88,27.88,31.63,D1477.71,2399.29,1477.71,0.219,13,N,0.44,0.33,136,,,N,2258,2256,3133,23,2249,2245,3119,35.0764510,-119.3881994,702.8,,
MFL,,1.311,71+16,6920.55,40000713,ml-int,U29.42,29.42,30.09,D1476.17,2400.83,1476.17,0.219,10,N,0.59,0.33,136,,,N,2256,2254,3130,20,2242,2237,3107,35.0764510,-119.3881943,702.8,,
MFL,,1.311,71+17,6921.74,40000714,ml-int,D28.90,30.61,28.90,D1474.99,2402.01,1474.99,0.219,14,N,0.92,0.63,130,,,N,2232,2225,3091,24,2202,2187,3037,35.0764510,-119.3881904,702.7,,
MFL,,1.313,71+25,6930.17,40000715,ml-int,D20.47,39.04,20.47,D1466.55,2410.45,1466.55,0.219,9,N,0.37,0.37,130,,,N,2263,2262,3141,19,2257,2255,3132,35.0764510,-119.3881623,702.6,,
MFL,,1.313,71+25,6930.35,40000716,ml-int,D20.29,39.23,20.29,D1466.37,2410.63,1466.37,0.219,20,N,0.58,0.44,130,,,N,2244,2239,3109,30,2228,2219,3081,35.0764510,-119.3881617,702.5,,
MFL,,1.313,71+26,6930.77,40000717,ml-int,D19.86,39.65,19.86,D1465.95,2411.05,1465.95,0.219,12,N,0.60,0.33,140,,,N,2253,2250,3126,22,2239,2233,3101,35.0764510,-119.3881603,702.5,,
MFL,,1.314,71+32,6937.07,40000718,ml-int,D13.57,45.95,13.57,D1459.65,2417.35,1459.65,0.219,19,N,0.70,0.49,135,,,N,2236,2230,3097,29,2215,2203,3060,35.0764509,-119.3881393,702.4,,
MFL,,1.314,71+34,6939.09,40000719,ml-int,D11.54,47.97,11.54,D1457.63,2419.37,1457.63,0.219,12,N,0.46,0.76,139,,,N,2259,2257,3135,22,2250,2246,3120,35.0764509,-119.3881326,702.4,,
MFL,,1.315,71+35,6940.64,40000720,ml-int,D10.00,49.51,10.00,D1456.08,2420.92,1456.08,0.219,13,N,0.52,0.55,129,,,N,2255,2252,3128,23,2243,2238,3108,35.0764509,-119.3881274,702.4,,
MFL,142,1.316,71+45,6950.64,,WELD,,,,,,,0.219,,,,,,24.42,,,,,,,,,,35.0764507,-119.3880942,702.2,,
MFL,,1.320,71+63,6969.13,40000721,ml-int,D5.92,18.49,5.92,D1427.59,2449.41,1427.59,0.219,10,N,0.36,0.33,132,,,N,2263,2262,3141,20,2257,2255,3132,35.0764505,-119.3880326,701.6,,
MFL,143,1.321,71+69,6975.05,,WELD - WT Change - Begin 0.322 ERW,,,,,,,0.322,,,,,,1.06,,,,,,,,,,35.0764504,-119.3880129,701.5,,
MFL,144,1.321,71+70,6976.11,,WELD,,,,,,,0.322,,,,,,1.15,,,,,,,,,,35.0764504,-119.3880094,701.5,,
MFL,,1.321,71+71,6976.70,10000035,Tee at 270 deg.,D0.56,0.59,0.56,D1420.02,2456.98,1420.02,0.322,,,6,4,314,,,,,,,,,,,35.0764504,-119.3880074,701.5,,
MFL,145,1.321,71+71,6977.26,,WELD,,,,,,,0.322,,,,,,1.04,,,,,,,,,,35.0764504,-119.3880055,701.5,,
MFL,146,1.322,71+72,6978.30,,WELD - WT Change - Begin 0.219 ERW,,,,,,,0.219,,,,,,34.97,,,,,,,,,,35.0764504,-119.3880021,701.5,,
MFL,,1.322,71+74,6979.65,40000722,ml-int,U1.35,1.35,33.62,D1417.07,2459.93,1417.07,0.219,10,N,0.49,0.54,138,,,N,2259,2258,3136,20,2250,2246,3120,35.0764504,-119.3879976,701.5,,
MFL,,1.325,71+92,6998.27,40000723,ml-int,D15.00,19.97,15.00,D1398.45,2478.55,1398.45,0.219,10,N,0.19,0.33,134,,,N,2266,2265,3147,20,2264,2264,3144,35.0764502,-119.3879356,701.4,,
MFL,,1.327,72+02,7008.52,40000724,ml-int,D4.75,30.22,4.75,D1388.20,2488.80,1388.20,0.219,12,N,0.55,0.78,139,,,N,2255,2253,3129,22,2244,2238,3109,35.0764500,-119.3879015,701.3,,
MFL,147,1.328,72+07,7013.27,,WELD,,,,,,,0.219,,,,,,17.64,,,,,,,,,,35.0764499,-119.3878857,701.3,,
MFL,148,1.332,72+24,7030.91,,WELD,,,,,,,0.219,,,,,,3.16,,,,,,,,,,35.0764496,-119.3878269,701.0,,
MFL,149,1.332,72+27,7034.08,,WELD,,,,,,,0.219,,,,,,9.05,,,,,,,,,,35.0764495,-119.3878164,700.9,,
MFL,150,1.334,72+36,7043.13,,WELD,,,,,,,0.219,,,,,,9.05,,,,,,,,,,35.0764494,-119.3877863,700.8,,
MFL,151,1.336,72+45,7052.18,,WELD,,,,,,,0.219,,,,,,9.32,,,,,,,,,,35.0764494,-119.3877561,700.7,,
MFL,152,1.337,72+54,7061.50,,WELD,,,,,,,0.219,,,,,,30.67,,,,,,,,,,35.0764492,-119.3877251,700.4,,
MFL,153,1.343,72+85,7092.17,,WELD,,,,,,,0.219,,,,,,59.37,,,,,,,,,,35.0764482,-119.3876230,699.7,,
MFL,,1.351,73+28,7135.84,40000725,ml-int,D15.70,43.67,15.70,D1260.89,2616.11,1260.89,0.219,10,N,0.12,0.33,147,,,N,2266,2266,3148,20,2266,2266,3147,35.0764456,-119.3874777,698.8,,
MFL,154,1.354,73+43,7151.53,,WELD,,,,,,,0.219,,,,,,59.22,,,,,,,,,,35.0764445,-119.3874255,698.8,,
MFL,,1.355,73+44,7152.64,40000726,ml-int,U1.10,1.10,58.11,D1244.09,2632.91,1244.09,0.219,12,N,0.51,0.38,143,,,N,2257,2255,3131,22,2246,2241,3113,35.0764444,-119.3874218,698.7,,
MFL,,1.356,73+50,7158.99,40000727,ml-int,U7.45,7.45,51.76,D1237.74,2639.26,1237.74,0.219,22,N,0.55,0.48,149,,,N,2242,2237,3107,32,2227,2217,3080,35.0764440,-119.3874007,698.7,,
MFL,,1.356,73+51,7159.72,40000728,ml-int,U8.19,8.19,51.03,D1237.00,2640.00,1237.00,0.219,10,N,0.59,0.54,139,,,N,2256,2254,3130,20,2243,2237,3107,35.0764440,-119.3873982,698.7,,
MFL,,1.359,73+64,7173.15,40000729,ml-ext,U21.62,21.62,37.60,D1223.57,2653.43,1223.57,0.219,13,N,0.27,0.33,179,,,N,2264,2263,3143,23,2260,2259,3137,35.0764429,-119.3873536,698.1,,
MFL,,1.359,73+65,7173.55,40000730,ml-ext,U22.02,22.02,37.20,D1223.17,2653.83,1223.17,0.219,10,N,0.36,0.48,174,,,N,2263,2262,3141,20,2257,2255,3132,35.0764428,-119.3873522,698.1,,
MFL,,1.359,73+65,7173.71,40000731,ml-ext,U22.18,22.18,37.04,D1223.01,2653.99,1223.01,0.219,10,N,0.51,1.37,184,,,N,2258,2257,3134,20,2248,2244,3116,35.0764428,-119.3873517,698.1,,
MFL,,1.366,74+01,7210.58,40000732,ml-ext,D0.17,59.05,0.17,D1186.14,2690.86,1186.14,0.219,10,N,0.70,0.65,152,,,N,2252,2249,3123,20,2234,2227,3093,35.0764399,-119.3872293,695.7,,
MFL,155,1.366,74+01,7210.75,,WELD,,,,,,,0.219,,,,,,59.30,,,,,,,,,,35.0764399,-119.3872287,695.7,,
MFL,,1.366,74+03,7212.41,40000733,ml-ext,U1.66,1.66,57.64,D1184.31,2692.69,1184.31,0.219,14,N,0.58,0.41,92,,,N,2251,2248,3122,24,2237,2230,3098,35.0764399,-119.3872232,695.6,,
MFL,,1.366,74+04,7212.88,40000734,ml-ext,U2.13,2.13,57.17,D1183.84,2693.16,1183.84,0.219,11,N,1.70,2.12,107,,,N,2199,2207,3065,21,2131,2128,2955,35.0764399,-119.3872216,695.5,,
MFL,,1.366,74+05,7214.47,40000735,ml-int,U3.72,3.72,55.58,D1182.26,2694.74,1182.26,0.219,10,N,0.22,0.33,137,,,N,2265,2265,3146,20,2263,2263,3142,35.0764398,-119.3872164,695.4,,
MFL,,1.367,74+06,7215.26,40000736,ml-ext,U4.51,4.51,54.78,D1181.46,2695.54,1181.46,0.219,11,N,0.53,0.67,177,,,N,2257,2255,3132,21,2246,2241,3112,35.0764398,-119.3872137,695.3,,
MFL,,1.367,74+06,7215.51,40000737,ml-ext,U4.76,4.76,54.54,D1181.21,2695.79,1181.21,0.219,10,N,0.53,0.50,167,,,N,2258,2256,3133,20,2247,2243,3115,35.0764398,-119.3872129,695.3,,
MFL,,1.367,74+07,7215.94,40000738,ml-ext,U5.19,5.19,54.10,D1180.78,2696.22,1180.78,0.219,10,N,0.96,0.53,182,,,N,2241,2236,3105,20,2210,2198,3053,35.0764398,-119.3872115,695.3,,
MFL,,1.367,74+07,7216.53,40000739,ml-ext,U5.78,5.78,53.52,D1180.19,2696.81,1180.19,0.219,12,N,1.04,0.77,337,,,N,2231,2224,3089,22,2195,2179,3027,35.0764398,-119.3872095,695.3,,
MFL,,1.367,74+07,7216.63,40000740,ml-ext,U5.88,5.88,53.42,D1180.09,2696.91,1180.09,0.219,11,N,1.07,1.02,207,,,N,2233,2226,3092,21,2196,2181,3029,35.0764398,-119.3872092,695.3,,
MFL,,1.367,74+07,7216.83,40000741,ml-ext,U6.08,6.08,53.22,D1179.89,2697.11,1179.89,0.219,12,N,0.53,0.48,212,,,N,2256,2254,3131,22,2245,2240,3111,35.0764398,-119.3872085,695.2,,
MFL,,1.368,74+11,7220.62,10000036,Sleeve Begin,U9.87,9.87,49.43,D1176.10,2700.90,1176.10,0.219,,,,,,,,,,,,,,,,35.0764396,-119.3871942,695.0,,
MFL,,1.368,74+12,7221.68,10000036,Sleeve End  ,U10.93,10.93,48.36,D1175.04,2701.96,1175.04,0.219,,,,,,,,,,,,,,,,35.0764396,-119.3871942,695.0,,
MFL,,1.368,74+12,7221.84,40000742,ml-ext,U11.09,11.09,48.21,D1174.88,2702.12,1174.88,0.219,20,N,0.57,1.85,28,,,N,2244,2239,3109,30,2228,2219,3082,35.0764396,-119.3871919,695.0,,
MFL,,1.369,74+17,7226.41,40000743,ml-ext,U15.66,15.66,43.64,D1170.32,2706.69,1170.32,0.219,10,N,3.10,3.83,233,,,N,2165,2181,3029,20,2054,2051,2849,35.0764394,-119.3871767,694.8,,
MFL,,1.369,74+17,7226.90,40000744,ml-ext,U16.15,16.15,43.14,D1169.82,2707.18,1169.82,0.219,13,N,2.14,3.81,248,,,N,2172,2192,3044,23,2086,2092,2906,35.0764394,-119.3871750,694.8,,
MFL,,1.369,74+18,7227.36,40000745,ml-ext,U16.61,16.61,42.69,D1169.36,2707.64,1169.36,0.219,12,N,1.52,1.03,278,,,N,2207,2196,3050,22,2148,2123,2948,35.0764394,-119.3871735,694.8,,
MFL,,1.369,74+18,7227.88,40000746,ml-ext,U17.13,17.13,42.17,D1168.84,2708.16,1168.84,0.219,10,N,1.20,1.24,223,,,N,2230,2223,3087,20,2187,2170,3014,35.0764393,-119.3871718,694.7,,
MFL,,1.369,74+19,7228.66,40000747,ml-ext,U17.91,17.91,41.39,D1168.06,2708.94,1168.06,0.219,10,N,0.93,0.61,153,,,N,2242,2238,3108,20,2213,2202,3058,35.0764393,-119.3871692,694.7,,
MFL,,1.369,74+19,7228.94,40000748,ml-ext,U18.19,18.19,41.11,D1167.78,2709.22,1167.78,0.219,10,N,1.38,2.31,173,,,N,2222,2214,3075,20,2171,2151,2987,35.0764393,-119.3871682,694.7,,
MFL,,1.371,74+30,7239.37,40000749,ml-int,U28.62,28.62,30.68,D1157.36,2719.65,1157.36,0.219,14,N,0.39,0.44,134,,,N,2260,2258,3136,24,2253,2250,3125,35.0764387,-119.3871335,694.4,,
MFL,,1.373,74+42,7251.75,40000750,ml-int,D18.30,41.00,18.30,D1144.98,2732.02,1144.98,0.219,10,N,0.35,0.33,139,,,N,2263,2262,3142,20,2258,2256,3133,35.0764379,-119.3870923,694.2,,
MFL,,1.374,74+45,7254.69,40000751,ml-int,D15.36,43.94,15.36,D1142.03,2734.97,1142.03,0.219,11,N,0.30,0.33,139,,,N,2263,2263,3143,21,2260,2258,3136,35.0764377,-119.3870825,694.2,,
MFL,156,1.377,74+60,7270.05,,WELD,,,,,,,0.219,,,,,,58.99,,,,,,,,,,35.0764369,-119.3870314,694.0,,
MFL,157,1.388,75+18,7329.04,,WELD,,,,,,,0.219,,,,,,59.39,,,,,,,,,,35.0764330,-119.3868351,693.7,,
MFL,,1.395,75+54,7365.15,40000752,ml-ext,D23.28,36.11,23.28,D1031.57,2845.43,1031.57,0.219,10,N,0.43,0.42,155,,,N,2261,2260,3138,20,2253,2250,3126,35.0764312,-119.3867149,693.2,,
MFL,,1.395,75+54,7365.59,40000753,ml-ext,D22.84,36.55,22.84,D1031.13,2845.87,1031.13,0.219,10,N,0.49,1.29,45,,,N,2259,2257,3135,20,2249,2245,3119,35.0764312,-119.3867134,693.2,,
MFL,,1.395,75+54,7365.91,40000754,ml-ext,D22.52,36.87,22.52,D1030.81,2846.19,1030.81,0.219,10,N,0.51,0.74,40,,,N,2258,2257,3134,20,2248,2244,3116,35.0764311,-119.3867124,693.2,,
MFL,,1.395,75+55,7366.13,40000755,ml-ext,D22.30,37.09,22.30,D1030.59,2846.41,1030.59,0.219,13,N,0.47,0.47,10,,,N,2258,2256,3133,23,2248,2244,3117,35.0764311,-119.3867116,693.2,,
MFL,,1.395,75+55,7366.36,40000756,ml-ext,D22.07,37.32,22.07,D1030.36,2846.64,1030.36,0.219,18,N,0.78,0.77,350,,,N,2232,2225,3090,28,2207,2193,3046,35.0764311,-119.3867109,693.2,,
MFL,,1.395,75+55,7366.92,40000757,ml-ext,D21.51,37.88,21.51,D1029.80,2847.20,1029.80,0.219,15,N,1.94,0.85,350,,,N,2164,2197,3052,25,2083,2106,2925,35.0764311,-119.3867090,693.1,,
MFL,,1.395,75+56,7368.08,40000758,ml-ext,D20.34,39.04,20.34,D1028.64,2848.36,1028.64,0.219,10,N,0.61,0.95,5,,,N,2255,2253,3129,20,2241,2235,3104,35.0764310,-119.3867051,693.1,,
MFL,,1.396,75+57,7368.34,40000759,ml-ext,D20.09,39.29,20.09,D1028.39,2848.61,1028.39,0.219,10,N,0.61,0.82,0,,,N,2255,2253,3129,20,2241,2235,3105,35.0764310,-119.3867043,693.1,,
MFL,,1.396,75+57,7368.63,40000760,ml-ext,D19.79,39.59,19.79,D1028.09,2848.91,1028.09,0.219,10,N,0.48,0.50,25,,,N,2259,2258,3136,20,2251,2247,3121,35.0764310,-119.3867033,693.1,,
MFL,,1.396,75+57,7369.06,10000037,u/s marker band,D19.37,40.01,19.37,D1027.67,2849.33,1027.67,0.219,,,,,,,,,,,,,,,,35.0764304,-119.3866700,693.1,,
MFL,,1.396,75+60,7371.36,40000761,ml-int - between marker bands,D17.06,42.32,17.06,D1025.36,2851.64,1025.36,0.219,12,N,0.65,0.83,135,,,N,2250,2247,3120,22,2233,2226,3092,35.0764308,-119.3866942,693.1,,
MFL,,1.396,75+62,7373.39,40000762,ml-ext - between marker bands,D15.04,44.35,15.04,D1023.33,2853.67,1023.33,0.219,11,N,0.48,0.39,135,,,N,2258,2257,3134,21,2249,2245,3118,35.0764307,-119.3866875,693.1,,
MFL,,1.396,75+62,7373.51,40000763,ml-ext - between marker bands,D14.92,44.47,14.92,D1023.21,2853.79,1023.21,0.219,10,N,0.62,0.54,165,,,N,2255,2252,3128,20,2240,2234,3103,35.0764307,-119.3866871,693.1,,
MFL,,1.397,75+63,7374.39,40000764,ml-ext - between marker bands,D14.04,45.35,14.04,D1022.33,2854.67,1022.33,0.219,10,N,0.57,0.44,190,,,N,2256,2254,3131,20,2244,2239,3109,35.0764307,-119.3866841,693.0,,
MFL,,1.398,75+71,7383.06,40000765,ml-ext - between marker bands,D5.36,54.02,5.36,D1013.66,2863.34,1013.66,0.219,10,N,0.62,0.66,106,,,N,2255,2252,3128,20,2240,2234,3103,35.0764302,-119.3866553,693.2,,
MFL,,1.398,75+72,7383.40,40000766,ml-ext - between marker bands,D5.02,54.36,5.02,D1013.32,2863.68,1013.32,0.219,15,N,0.56,1.18,151,,,N,2251,2247,3121,25,2237,2230,3097,35.0764302,-119.3866541,693.2,,
MFL,,1.398,75+72,7383.73,40000767,ml-ext - between marker bands,D4.69,54.69,4.69,D1012.99,2864.01,1012.99,0.219,15,N,0.50,0.40,111,,,N,2254,2251,3127,25,2243,2238,3108,35.0764301,-119.3866530,693.2,,
MFL,,1.398,75+72,7383.82,40000768,ml-ext - between marker bands,D4.60,54.78,4.60,D1012.90,2864.10,1012.90,0.219,14,N,0.61,0.79,171,,,N,2250,2247,3121,24,2235,2228,3095,35.0764301,-119.3866527,693.2,,
MFL,,1.399,75+72,7384.09,40000769,ml-ext - between marker bands,D4.34,55.05,4.34,D1012.63,2864.37,1012.63,0.219,13,N,1.72,0.64,101,,,N,2189,2216,3078,23,2119,2137,2968,35.0764301,-119.3866518,693.2,,
MFL,,1.399,75+72,7384.20,40000770,ml-ext - between marker bands,D4.23,55.16,4.23,D1012.52,2864.48,1012.52,0.219,12,N,0.64,0.52,176,,,N,2251,2248,3122,22,2235,2228,3094,35.0764301,-119.3866515,693.2,,
MFL,,1.399,75+73,7384.35,40000771,ml-ext - between marker bands,D4.08,55.31,4.08,D1012.37,2864.63,1012.37,0.219,19,N,1.00,0.63,101,,,N,2210,2198,3053,29,2172,2150,2986,35.0764301,-119.3866510,693.2,,
MFL,,1.399,75+73,7384.72,40000772,ml-ext - between marker bands,D3.71,55.68,3.71,D1012.00,2865.00,1012.00,0.219,12,N,0.55,0.49,176,,,N,2255,2253,3129,22,2243,2237,3107,35.0764301,-119.3866498,693.2,,
MFL,,1.399,75+73,7385.03,40000773,ml-ext - between marker bands,D3.39,55.99,3.39,D1011.69,2865.31,1011.69,0.219,10,N,0.65,1.35,116,,,N,2254,2251,3126,20,2238,2231,3099,35.0764301,-119.3866487,693.2,,
MFL,,1.399,75+74,7385.57,40000774,ml-ext - between marker bands,D2.86,56.53,2.86,D1011.15,2865.85,1011.15,0.219,12,N,0.66,0.78,111,,,N,2251,2248,3122,22,2234,2227,3093,35.0764300,-119.3866469,693.2,,
MFL,,1.399,75+74,7385.90,40000775,ml-ext - between marker bands,D2.52,56.86,2.52,D1010.82,2866.18,1010.82,0.219,11,N,0.76,0.47,161,,,N,2248,2244,3116,21,2226,2218,3080,35.0764300,-119.3866458,693.2,,
MFL,,1.399,75+74,7386.08,40000776,ml-ext - between marker bands,D2.35,57.04,2.35,D1010.64,2866.36,1010.64,0.219,11,N,0.45,0.36,156,,,N,2259,2258,3136,21,2251,2248,3122,35.0764300,-119.3866452,693.3,,
MFL,,1.399,75+76,7388.24,10000037,d/s marker band,D0.18,59.20,0.18,D1008.48,2868.52,1008.48,0.219,,,,,,,,,,,,,,,,35.0764304,-119.3866700,693.1,,
MFL,158,1.399,75+77,7388.43,,WELD,,,,,,,0.219,,,,,,59.50,,,,,,,,,,35.0764298,-119.3866374,693.3,,
