Tool,"Weld
Number","Approx.
Milepost
(miles)","Approx. 
Map Station 
(ft)","Odometer
(ft)","Feature
Number",Feature Description,"Distance to
Nearest
Weld
(ft)","Distance
to
Upstream
Weld
(ft)","Distance
to
Down-
Stream
Weld
(ft)","Distance
to
Nearest
AGM
(ft)","Distance
to
Upstream
AGM
(ft)","Distance
to Down-
Stream
AGM
(ft)","WT
(in)","Max
Depth
(%)","Seam Weld
Interaction","Length
(in)","Width
(in)","Orient
(deg)","Pipe
Length
(ft)","Long
Seam
Orient
(deg)",Adjacent to Long Seam,"0.85DL 
B31.G 
Safe MAOP 
Rating 
(psig)","Eff. Area 
Safe MAOP 
Rating 
(psig)","Eff. Area 
Burst Press. 
Rating 
(psig)","Max
Depth w/ Tolerance 
(%)","0.85DL
B31.G
Safe MAOP
Rating w/
Tolerance
(psig)","Eff. Area
Safe MAOP
Rating w/
Tolerance
(psig)","Eff. Area
Burst Press.
Rating w/
Tolerance
(psig)","Latitude 
NAD83","Longitude 
NAD83","Elevation 
Above Sea Level 
(ft) NAVD88",Comments/Rationale,Multiple Apex Dent
MFL,,0.080,10+30,424.70,40000007,ml-int,D4.56,58.60,4.56,U417.72,417.72,4095.02,0.250,18,N,0.64,0.61,186,,,N,2149,2144,2978,28,2134,2125,2951,35.0865531,-119.4045677,764.5,,
MFL,,0.080,10+30,424.90,40000008,ml-int,D4.36,58.79,4.36,U417.92,417.92,4094.82,0.250,10,N,1.24,1.90,191,,,N,2136,2134,2964,20,2096,2087,2898,35.0865527,-119.4045673,764.5,,
MFL,,0.081,10+30,425.32,40000009,ml-int,D3.94,59.22,3.94,U418.34,418.34,4094.40,0.250,10,N,0.45,0.33,186,,,N,2164,2163,3005,20,2158,2155,2993,35.0865517,-119.4045665,764.5,,
MFL,12,0.081,10+34,429.26,,WELD,,,,,,,0.250,,,,,,45.96,,,,,,,,,,35.0865431,-119.4045586,764.4,,
MFL,13,0.090,10+76,475.22,,WELD,,,,,,,0.250,,,,,,0.68,,,,,,,,,,35.0864424,-119.4044672,764.5,,
MFL,,0.090,10+76,475.56,10000008,"Bend left - 22 deg., 1.5D",U0.34,0.34,0.34,U468.58,468.58,4044.16,0.250,,,,,,,,,,,,,,,,35.0864418,-119.4044664,764.5,,
MFL,14,0.090,10+76,475.90,,WELD - WT Change - Begin 0.219 ERW,,,,,,,0.219,,,,,,56.25,,,,,,,,,,35.0864412,-119.4044655,764.5,,
MFL,,0.090,10+77,477.15,40000010,ml-ext,U1.24,1.24,55.01,U470.17,470.17,4042.57,0.219,10,N,0.57,0.33,175,,,N,2256,2254,3131,20,2244,2239,3110,35.0864394,-119.4044621,764.6,,
MFL,,0.093,10+88,488.97,40000011,ml-int,U13.07,13.07,43.18,U481.99,481.99,4030.75,0.219,10,N,0.60,0.55,180,,,N,2255,2253,3129,20,2242,2236,3106,35.0864228,-119.4044283,765.0,,
MFL,,0.093,10+92,492.63,40000012,ml-int,U16.73,16.73,39.53,U485.65,485.65,4027.09,0.219,10,N,0.33,0.35,157,,,N,2263,2263,3142,20,2259,2257,3135,35.0864174,-119.4044181,765.1,,
MFL,,0.094,10+93,493.71,40000013,ml-int,U17.80,17.80,38.45,U486.72,486.72,4026.02,0.219,10,N,0.19,0.33,156,,,N,2266,2265,3146,20,2264,2264,3144,35.0864158,-119.4044151,765.1,,
MFL,,0.094,10+94,495.75,40000014,ml-ext,U19.85,19.85,36.40,U488.77,488.77,4023.97,0.219,12,N,0.25,0.33,159,,,N,2264,2264,3144,22,2262,2260,3139,35.0864127,-119.4044094,765.2,,
MFL,,0.095,10+99,501.35,40000015,ml-int,U25.45,25.45,30.80,U494.37,494.37,4018.37,0.219,11,N,0.45,0.43,149,,,N,2260,2258,3136,21,2251,2248,3122,35.0864043,-119.4043939,765.3,,
MFL,,0.095,11+01,503.46,40000016,ml-int,U27.56,27.56,28.70,U496.48,496.48,4016.26,0.219,10,N,0.38,0.35,148,,,N,2262,2261,3141,20,2256,2254,3131,35.0864011,-119.4043880,765.3,,
MFL,,0.096,11+05,507.47,40000017,ml-int,D24.69,31.57,24.69,U500.49,500.49,4012.25,0.219,10,N,0.30,0.40,151,,,N,2264,2264,3144,20,2260,2259,3138,35.0863951,-119.4043769,765.5,,
MFL,,0.097,11+10,513.30,40000018,ml-int,D18.86,37.40,18.86,U506.32,506.32,4006.42,0.219,18,N,0.42,0.33,147,,,N,2255,2253,3129,28,2247,2242,3114,35.0863863,-119.4043607,765.7,,
MFL,15,0.101,11+27,532.16,,WELD,,,,,,,0.219,,,,,,59.64,,,,,,,,,,35.0863577,-119.4043087,767.0,,
MFL,,0.103,11+36,541.56,40000019,ml-int,U9.41,9.41,50.23,U534.58,534.58,3978.16,0.219,10,N,0.36,0.33,132,,,N,2262,2262,3141,20,2257,2255,3132,35.0863434,-119.4042828,767.8,,
MFL,,0.107,11+59,566.79,40000020,ml-int,D25.00,34.64,25.00,U559.81,559.81,3952.93,0.219,16,N,0.37,0.38,112,,,N,2259,2257,3135,26,2253,2249,3124,35.0863049,-119.4042137,770.3,,
MFL,,0.110,11+73,582.85,40000021,ml-int,D8.95,50.69,8.95,U575.87,575.87,3936.87,0.219,12,N,1.45,1.75,113,,,N,2208,2204,3062,22,2152,2136,2967,35.0862802,-119.4041697,771.7,,
MFL,,0.110,11+74,583.01,40000022,ml-ext,D8.79,50.85,8.79,U576.03,576.03,3936.72,0.219,10,N,0.60,0.50,253,,,N,2255,2252,3128,20,2241,2235,3104,35.0862799,-119.4041693,771.7,,
MFL,16,0.112,11+82,591.80,,WELD,,,,,,,0.219,,,,,,59.23,,,,,,,,,,35.0862663,-119.4041453,772.4,,
MFL,17,0.123,12+35,651.03,,WELD,,,,,,,0.219,,,,,,59.37,,,,,,,,,,35.0861741,-119.4039838,776.4,,
MFL,,0.132,12+79,698.95,40000023,ml-ext,D11.44,47.92,11.44,U691.97,691.97,3820.77,0.219,10,N,0.57,0.46,36,,,N,2257,2255,3131,20,2244,2239,3110,35.0860992,-119.4038532,776.7,,
MFL,18,0.135,12+89,710.39,,WELD,,,,,,,0.219,,,,,,59.70,,,,,,,,,,35.0860821,-119.4038220,774.8,,
MFL,19,0.146,13+44,770.09,,WELD,,,,,,,0.219,,,,,,59.58,,,,,,,,,,35.0859969,-119.4036609,759.3,,
MFL,20,0.157,13+98,829.67,,WELD,,,,,,,0.219,,,,,,59.36,,,,,,,,,,35.0859104,-119.4034993,745.8,,
MFL,,0.166,14+38,873.90,40000024,ml-int,D15.13,44.23,15.13,U866.92,866.92,3645.82,0.219,12,N,0.51,0.33,32,,,N,2256,2254,3131,22,2246,2241,3112,35.0858445,-119.4033782,738.6,,
MFL,21,0.168,14+52,889.03,,WELD,,,,,,,0.219,,,,,,59.50,,,,,,,,,,35.0858219,-119.4033366,736.7,,
MFL,22,0.180,15+06,948.54,,WELD,,,,,,,0.219,,,,,,59.44,,,,,,,,,,35.0857327,-119.4031724,730.3,,
MFL,23,0.191,15+60,1007.97,,WELD,,,,,,,0.219,,,,,,9.13,,,,,,,,,,35.0856428,-119.4030085,725.3,,
MFL,,0.192,15+64,1012.60,40000025,ml-int,D4.50,4.63,4.50,U1005.62,1005.62,3507.12,0.219,12,N,0.48,0.33,140,,,N,2257,2255,3132,22,2248,2243,3116,35.0856358,-119.4029958,724.8,,
MFL,,0.192,15+65,1013.46,40000026,ml-int,D3.64,5.49,3.64,U1006.48,1006.48,3506.27,0.219,21,N,1.21,0.90,130,,,N,2181,2189,3040,31,2130,2128,2956,35.0856345,-119.4029934,724.7,,
MFL,,0.192,15+65,1013.93,40000027,ml-int,D3.17,5.96,3.17,U1006.95,1006.95,3505.79,0.219,12,N,0.51,0.33,135,,,N,2256,2254,3130,22,2245,2240,3112,35.0856338,-119.4029921,724.7,,
MFL,,0.192,15+67,1016.12,10000009,Tap,D0.98,8.15,0.98,U1009.14,1009.14,3503.60,0.219,,,1,2,315,,,,,,,,,,,35.0856304,-119.4029861,724.4,,
MFL,24,0.193,15+68,1017.10,,WELD - WT Change - Begin 0.322 ERW,,,,,,,0.322,,,,,,13.39,,,,,,,,,,35.0856289,-119.4029834,724.3,,
MFL,25,0.195,15+80,1030.49,,WELD,,,,,,,0.322,,,,,,5.54,,,,,,,,,,35.0856086,-119.4029467,722.9,,
MFL,,0.195,15+80,1032.13,10000010,"Bend right-up - 32 deg., 7D ",U1.65,1.65,3.90,U1025.15,1025.15,3487.59,0.322,,,,,,,,,,,,,,,,35.0856055,-119.4029429,722.7,,
MFL,26,0.196,15+85,1036.03,,WELD,,,,,,,0.322,,,,,,13.03,,,,,,,,,,35.0855961,-119.4029371,722.5,,
MFL,27,0.199,15+97,1049.06,,WELD,,,,,,,0.322,,,,,,40.65,,,,,,,,,,35.0855635,-119.4029196,721.6,,
MFL,28,0.206,16+34,1089.71,,WELD,,,,,,,0.322,,,,,,40.05,,,,,,,,,,35.0854633,-119.4028619,718.5,,
MFL,29,0.214,16+70,1129.76,,WELD,,,,,,,0.322,,,,,,40.68,,,,,,,,,,35.0853661,-119.4028009,717.3,,
MFL,30,0.222,17+07,1170.44,,WELD,,,,,,,0.322,,,,,,40.86,,,,,,,,,,35.0852678,-119.4027377,716.1,,
MFL,31,0.229,17+44,1211.30,,WELD,,,,,,,0.322,,,,,,34.24,,,,,,,,,,35.0851693,-119.4026736,717.4,,
MFL,32,0.236,17+76,1245.54,,WELD - WT Change - Begin 0.219 ERW,,,,,,,0.219,,,,,,58.45,,,,,,,,,,35.0850866,-119.4026208,720.1,,
MFL,,0.236,17+77,1246.80,10000011,Tap,U1.26,1.26,57.20,U1239.82,1239.82,3272.92,0.219,,,1,2,332,,,,,,,,,,,35.0850836,-119.4026189,720.2,,
MFL,,0.237,17+80,1250.59,40000028,ml-int,U5.05,5.05,53.40,U1243.61,1243.61,3269.13,0.219,13,N,1.28,0.49,141,,,N,2216,2217,3079,23,2167,2160,3000,35.0850744,-119.4026131,720.5,,
MFL,,0.238,17+87,1258.29,40000029,ml-int,U12.75,12.75,45.70,U1251.31,1251.31,3261.43,0.219,12,N,1.04,0.40,101,,,N,2231,2248,3122,22,2196,2209,3067,35.0850558,-119.4026012,721.1,,
MFL,,0.239,17+88,1259.49,40000030,ml-int,U13.95,13.95,44.50,U1252.51,1252.51,3260.23,0.219,10,N,0.40,0.33,146,,,N,2262,2261,3140,20,2255,2253,3129,35.0850529,-119.4025994,721.1,,
MFL,,0.240,17+95,1267.49,40000031,ml-int,U21.95,21.95,36.50,U1260.51,1260.51,3252.23,0.219,10,N,0.38,0.48,145,,,N,2262,2261,3140,20,2256,2253,3130,35.0850335,-119.4025872,721.6,,
MFL,,0.241,17+98,1270.22,40000032,ml-int,U24.68,24.68,33.77,U1263.24,1263.24,3249.50,0.219,21,N,0.63,0.40,150,,,N,2238,2232,3100,31,2220,2208,3067,35.0850269,-119.4025830,721.8,,
MFL,,0.241,18+00,1272.62,40000033,ml-int,U27.07,27.07,31.38,U1265.64,1265.64,3247.10,0.219,15,N,0.67,0.40,154,,,N,2246,2241,3113,25,2228,2219,3082,35.0850211,-119.4025794,721.9,,
MFL,33,0.247,18+29,1304.00,,WELD,,,,,,,0.219,,,,,,59.42,,,,,,,,,,35.0849447,-119.4025319,723.1,,
MFL,,0.251,18+48,1324.77,40000034,ml-int,U20.77,20.77,38.64,U1317.79,1317.79,3194.95,0.219,10,N,0.46,0.36,161,,,N,2260,2258,3137,20,2251,2248,3122,35.0848943,-119.4025003,723.6,,
MFL,,0.252,18+52,1329.29,40000035,ml-int,U25.29,25.29,34.13,U1322.31,1322.31,3190.43,0.219,11,N,0.70,0.33,135,,,N,2250,2247,3121,21,2232,2225,3090,35.0848833,-119.4024934,723.8,,
MFL,,0.253,18+56,1334.42,40000036,ml-int,D29.00,30.42,29.00,U1327.44,1327.44,3185.30,0.219,12,N,0.44,0.33,114,,,N,2259,2257,3135,22,2251,2247,3121,35.0848708,-119.4024855,724.0,,
MFL,,0.254,18+64,1342.88,40000037,ml-int,D20.54,38.88,20.54,U1335.90,1335.90,3176.84,0.219,10,N,0.14,0.33,147,,,N,2266,2266,3147,20,2266,2265,3146,35.0848503,-119.4024726,724.3,,
MFL,,0.255,18+66,1344.62,40000038,ml-int,D18.80,40.62,18.80,U1337.64,1337.64,3175.11,0.219,10,N,0.56,0.33,147,,,N,2257,2255,3132,20,2245,2240,3111,35.0848461,-119.4024699,724.4,,
MFL,34,0.258,18+83,1363.41,,WELD,,,,,,,0.219,,,,,,59.61,,,,,,,,,,35.0848006,-119.4024410,725.3,,
MFL,,0.259,18+88,1369.04,40000039,ml-int,U5.63,5.63,53.98,U1362.06,1362.06,3150.68,0.219,13,N,0.37,0.39,151,,,N,2261,2260,3138,23,2255,2252,3128,35.0847870,-119.4024323,725.6,,
MFL,,0.265,19+16,1400.45,40000040,ml-int,D22.57,37.04,22.57,U1393.47,1393.47,3119.27,0.219,10,N,0.70,0.93,164,,,N,2252,2249,3124,20,2234,2227,3093,35.0847110,-119.4023837,726.6,,
MFL,,0.267,19+24,1409.12,40000041,ml-int,D13.90,45.71,13.90,U1402.14,1402.14,3110.60,0.219,11,N,0.37,0.35,162,,,N,2262,2261,3140,21,2256,2253,3130,35.0846901,-119.4023701,726.8,,
MFL,35,0.270,19+37,1423.02,,WELD,,,,,,,0.219,,,,,,59.69,,,,,,,,,,35.0846565,-119.4023484,727.2,,
MFL,,0.278,19+78,1468.86,40000042,ml-int,D13.85,45.84,13.85,U1461.88,1461.88,3050.86,0.219,10,N,0.29,0.33,148,,,N,2264,2263,3144,20,2260,2259,3137,35.0845459,-119.4022769,728.7,,
MFL,36,0.281,19+91,1482.71,,WELD,,,,,,,0.219,,,,,,59.44,,,,,,,,,,35.0845124,-119.4022553,729.2,,
MFL,,0.282,19+97,1489.41,40000043,ml-int,U6.70,6.70,52.74,U1482.43,1482.43,3030.31,0.219,13,N,0.53,0.63,151,,,N,2254,2252,3127,23,2242,2237,3107,35.0844963,-119.4022448,729.2,,
MFL,,0.282,19+98,1490.64,13000000,MCP,U7.93,7.93,51.51,U1483.66,1483.66,3029.08,,,,1,4,131,,,,,,,,,,,35.0844933,-119.4022429,729.2,,
MFL,,0.283,20+03,1496.13,40000044,ml-int,U13.42,13.42,46.02,U1489.15,1489.15,3023.59,0.219,10,N,0.23,0.37,146,,,N,2265,2265,3145,20,2263,2262,3141,35.0844800,-119.4022344,729.2,,
MFL,37,0.292,20+45,1542.15,,WELD,,,,,,,0.219,,,,,,59.17,,,,,,,,,,35.0843685,-119.4021636,727.9,,
MFL,38,0.303,20+99,1601.32,,WELD,,,,,,,0.219,,,,,,59.39,,,,,,,,,,35.0842223,-119.4020795,726.7,,
MFL,,0.305,21+05,1608.09,40000045,ml-int,U6.77,6.77,52.62,U1601.11,1601.11,2911.63,0.219,10,N,0.21,0.33,150,,,N,2265,2265,3146,20,2264,2263,3143,35.0842053,-119.4020705,726.6,,
MFL,,0.307,21+14,1618.56,40000046,ml-int,U17.25,17.25,42.14,U1611.58,1611.58,2901.16,0.219,12,N,0.34,0.46,154,,,N,2262,2261,3141,22,2258,2255,3133,35.0841790,-119.4020567,726.4,,
MFL,,0.310,21+31,1636.94,40000047,ml-ext,D23.77,35.62,23.77,U1629.96,1629.96,2882.79,0.219,11,N,1.25,0.70,27,,,N,2225,2216,3078,21,2179,2160,3000,35.0841327,-119.4020329,726.3,,
MFL,,0.310,21+32,1638.17,40000048,ml-int,D22.54,36.85,22.54,U1631.19,1631.19,2881.56,0.219,18,N,0.47,0.35,152,,,N,2253,2250,3124,28,2242,2236,3106,35.0841296,-119.4020313,726.3,,
MFL,,0.310,21+33,1638.59,40000049,ml-ext,D22.12,37.27,22.12,U1631.61,1631.61,2881.13,0.219,10,N,0.77,0.68,207,,,N,2249,2246,3119,20,2228,2219,3082,35.0841285,-119.4020308,726.3,,
MFL,,0.314,21+49,1656.93,40000050,ml-ext,D3.77,55.62,3.77,U1649.95,1649.95,2862.79,0.219,15,N,0.48,0.49,301,,,N,2255,2252,3128,25,2245,2240,3111,35.0840822,-119.4020075,726.3,,
MFL,,0.314,21+49,1657.00,40000051,ml-ext,D3.71,55.68,3.71,U1650.02,1650.02,2862.72,0.219,14,N,0.70,0.62,256,,,N,2245,2241,3112,24,2226,2217,3079,35.0840820,-119.4020074,726.3,,
MFL,,0.314,21+50,1657.29,40000052,ml-ext,D3.41,55.97,3.41,U1650.31,1650.31,2862.43,0.219,19,N,4.72,3.23,291,,,N,2014,2113,2934,29,1869,1949,2707,35.0840813,-119.4020070,726.3,,
MFL,,0.314,21+50,1657.57,40000053,ml-ext,D3.13,56.25,3.13,U1650.59,1650.59,2862.15,0.219,10,N,0.74,0.57,231,,,N,2250,2247,3121,20,2231,2223,3087,35.0840806,-119.4020067,726.3,,
MFL,39,0.315,21+53,1660.70,,WELD,,,,,,,0.219,,,,,,58.96,,,,,,,,,,35.0840726,-119.4020027,726.3,,
MFL,,0.315,21+55,1663.18,40000054,ml-ext,U2.48,2.48,56.49,U1656.20,1656.20,2856.54,0.219,10,N,0.70,0.82,66,,,N,2252,2249,3123,20,2234,2226,3092,35.0840664,-119.4019996,726.3,,
MFL,,0.315,21+55,1663.48,40000055,ml-ext,U2.77,2.77,56.19,U1656.50,1656.50,2856.24,0.219,10,N,0.74,0.48,46,,,N,2250,2247,3121,20,2231,2223,3087,35.0840656,-119.4019992,726.3,,
MFL,,0.316,21+58,1666.98,40000056,ml-ext,U6.28,6.28,52.68,U1660.00,1660.00,2852.74,0.219,10,N,0.72,0.92,101,,,N,2251,2248,3122,20,2232,2224,3089,35.0840568,-119.4019948,726.4,,
MFL,,0.316,21+59,1667.15,40000057,ml-ext,U6.45,6.45,52.51,U1660.17,1660.17,2852.57,0.219,12,N,0.47,0.46,106,,,N,2258,2256,3134,22,2249,2245,3118,35.0840563,-119.4019946,726.4,,
MFL,,0.316,21+59,1667.60,40000058,ml-ext,U6.89,6.89,52.07,U1660.62,1660.62,2852.12,0.219,11,N,0.52,0.34,76,,,N,2257,2256,3133,21,2247,2242,3114,35.0840552,-119.4019940,726.4,,
MFL,,0.316,21+60,1669.22,40000059,ml-ext,U8.51,8.51,50.45,U1662.23,1662.23,2850.51,0.219,10,N,0.69,0.50,90,,,N,2252,2249,3124,20,2235,2228,3094,35.0840511,-119.4019920,726.4,,
MFL,,0.318,21+68,1677.46,40000060,ml-ext,U16.76,16.76,42.21,U1670.48,1670.48,2842.26,0.219,10,N,1.25,2.53,184,,,N,2228,2227,3094,20,2183,2174,3019,35.0840302,-119.4019816,726.6,,
MFL,,0.319,21+75,1685.28,40000061,ml-ext,U24.57,24.57,34.39,U1678.30,1678.30,2834.44,0.219,10,N,1.05,1.34,209,,,N,2237,2231,3099,20,2202,2188,3039,35.0840104,-119.4019719,726.8,,
MFL,,0.323,21+93,1705.22,40000062,ml-ext,D14.45,44.52,14.45,U1698.24,1698.24,2814.50,0.219,11,N,0.22,0.33,148,,,N,2265,2265,3146,21,2263,2262,3142,35.0839598,-119.4019471,727.5,,
MFL,,0.325,22+04,1716.99,40000063,ml-ext,D2.68,56.28,2.68,U1710.01,1710.01,2802.73,0.219,10,N,0.71,0.55,252,,,N,2251,2248,3123,20,2233,2226,3091,35.0839300,-119.4019325,727.9,,
MFL,40,0.326,22+06,1719.67,,WELD,,,,,,,0.219,,,,,,59.75,,,,,,,,,,35.0839232,-119.4019292,728.0,,
MFL,,0.327,22+11,1724.79,40000064,ml-ext,U5.12,5.12,54.63,U1717.81,1717.81,2794.93,0.219,10,N,0.17,0.33,156,,,N,2266,2266,3147,20,2265,2264,3144,35.0839102,-119.4019229,728.1,,
MFL,,0.330,22+26,1741.18,20000076,ml-mill related - internal,U21.51,21.51,38.24,U1734.20,1734.20,2778.54,0.219,,N,1.09,1.51,146,,,N,,,,,,,,35.0838685,-119.4019030,728.2,,
MFL,,0.336,22+55,1773.63,40000065,ml-int,D5.79,53.96,5.79,U1766.65,1766.65,2746.09,0.219,19,N,0.54,0.56,152,,,N,2247,2243,3116,29,2234,2226,3092,35.0837860,-119.4018632,728.4,,
MFL,41,0.337,22+61,1779.42,,WELD,,,,,,,0.219,,,,,,59.51,,,,,,,,,,35.0837713,-119.4018560,728.5,,
MFL,,0.338,22+67,1786.31,40000066,ml-int,U6.89,6.89,52.62,U1779.33,1779.33,2733.41,0.219,12,N,0.44,0.33,148,,,N,2259,2257,3135,22,2250,2247,3120,35.0837538,-119.4018475,728.6,,
MFL,,0.343,22+89,1810.66,40000067,ml-ext,D28.27,31.24,28.27,U1803.68,1803.68,2709.06,0.219,11,N,0.58,0.45,151,,,N,2255,2253,3129,21,2242,2237,3107,35.0836921,-119.4018171,728.6,,
MFL,42,0.348,23+15,1838.93,,WELD,,,,,,,0.219,,,,,,59.43,,,,,,,,,,35.0836206,-119.4017813,728.4,,
MFL,,0.350,23+25,1850.25,40000068,ml-int,U11.32,11.32,48.12,U1843.27,1843.27,2669.47,0.219,13,N,0.60,0.46,159,,,N,2251,2248,3122,23,2237,2230,3097,35.0835920,-119.4017670,728.3,,
MFL,,0.355,23+48,1875.90,40000069,ml-int,D22.47,36.97,22.47,U1868.92,1868.92,2643.82,0.219,10,N,0.48,0.33,153,,,N,2259,2258,3136,20,2250,2247,3120,35.0835270,-119.4017348,728.1,,
MFL,,0.359,23+66,1895.60,40000070,ml-ext,D2.77,56.66,2.77,U1888.62,1888.62,2624.13,0.219,10,N,0.88,0.66,78,,,N,2245,2240,3111,20,2218,2208,3066,35.0834771,-119.4017109,726.5,,
